ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,358.06,49.53,11.03,2.21,Simple,0.93,NE
2,317.03,29.94,10.3,2.06,Simple,0.93,NE
3,338.17,91.65,12.04,2.41,Simple,0.93,NE
4,153.59,143.86,11.22,2.24,Simple,0.93,NW
5,369.86,12.61,10.35,2.07,Simple,0.93,NE
6,157.97,58.78,8.91,1.78,Simple,0.92,NW
7,339.75,146.02,10.58,2.12,Simple,0.92,NE
8,143.98,192.22,9.17,1.83,Simple,0.92,NW
9,195.59,131.88,10.75,2.15,Simple,0.92,NW
10,201.48,149.02,10.34,2.07,Simple,0.92,NW
11,51.37,258.16,13.53,2.71,Simple,0.92,SW
12,293.31,152.95,9.57,1.91,Simple,0.91,NE
13,137.28,383.51,36.88,7.38,Complex,0.91,SW
14,140.71,177.68,9.89,1.98,Simple,0.91,NW
15,285.2,375.98,16.63,3.33,Simple,0.91,SE
16,262.84,54.11,12.23,2.45,Simple/Overlapping,0.91,NE
17,400.99,29.44,10.42,2.08,Simple,0.91,NE
18,408.95,162.64,11.96,2.39,Simple,0.91,NE
19,393.35,323.77,10.3,2.06,Simple,0.91,SE
20,302.0,277.39,10.53,2.11,Simple,0.9,SE
21,96.69,123.08,8.26,1.65,Simple,0.9,NW
22,146.5,260.03,11.98,2.4,Simple,0.9,SW
23,392.69,126.84,9.72,1.94,Simple,0.9,NE
24,372.39,57.94,10.92,2.18,Simple,0.9,NE
25,33.8,286.14,8.53,1.71,Simple,0.9,SW
26,216.62,267.87,14.79,2.96,Simple,0.9,SE
27,209.23,299.29,9.8,1.96,Simple,0.9,SE
28,264.6,32.75,12.06,2.41,Simple,0.9,NE
29,229.19,258.9,9.21,1.84,Simple,0.9,SE
30,292.45,71.86,11.81,2.36,Simple,0.89,NE
31,201.13,304.67,8.8,1.76,Simple,0.89,SW
32,57.95,174.65,11.1,2.22,Simple,0.89,NW
33,348.88,112.52,8.71,1.74,Simple,0.89,NE
34,110.85,365.4,30.54,6.11,Complex,0.88,SW
35,239.51,334.64,7.95,1.59,Simple,0.88,SE
36,180.47,90.38,9.13,1.83,Simple,0.88,NW
37,188.92,257.83,7.9,1.58,Simple,0.88,SW
38,371.73,30.16,7.72,1.54,Simple,0.88,NE
39,404.1,144.71,13.32,2.66,Simple,0.88,NE
40,177.66,137.62,8.03,1.61,Simple,0.88,NW
41,6.91,315.17,7.73,1.55,Simple,0.88,SW
42,231.96,226.07,10.39,2.08,Simple/Overlapping,0.87,SE
43,93.81,400.41,32.72,6.54,Complex,0.87,SW
44,183.59,52.57,9.57,1.91,Simple,0.87,NW
45,194.97,280.44,7.76,1.55,Simple,0.87,SW
46,247.28,307.65,8.14,1.63,Simple,0.87,SE
47,266.89,314.57,8.41,1.68,Simple,0.87,SE
48,90.33,105.47,7.8,1.56,Simple,0.87,NW
49,324.9,368.89,8.25,1.65,Simple,0.86,SE
50,110.52,53.37,39.38,7.88,Complex,0.86,NW
51,175.13,219.12,9.18,1.84,Simple,0.86,SW
52,329.25,32.66,7.77,1.55,Simple,0.86,NE
53,283.89,149.43,8.41,1.68,Simple,0.86,NE
54,263.56,115.29,8.54,1.71,Simple,0.85,NE
55,277.93,30.61,9.32,1.86,Simple,0.85,NE
56,202.0,238.45,8.45,1.69,Simple,0.85,SW
57,279.37,212.67,8.06,1.61,Simple,0.85,SE
58,256.23,22.84,16.72,3.34,Simple,0.85,NE
59,403.03,321.85,8.11,1.62,Simple,0.85,SE
60,211.04,222.07,12.32,2.46,Simple,0.85,SE
61,193.75,192.81,7.12,1.42,Simple,0.85,NW
62,374.82,102.81,8.86,1.77,Simple,0.84,NE
63,8.2,111.73,14.54,2.91,Simple,0.84,NW
64,204.2,213.25,9.98,2.0,Simple,0.84,SW
65,255.89,7.59,9.6,1.92,Simple/Overlapping,0.83,NE
66,249.64,214.96,9.92,1.98,Simple,0.83,SE
67,361.71,244.48,7.49,1.5,Simple,0.83,SE
68,231.0,308.56,7.75,1.55,Simple,0.82,SE
69,35.25,385.91,23.27,4.65,Complex,0.82,SW
70,196.59,181.3,8.78,1.76,Simple,0.82,NW
71,217.14,211.62,12.11,2.42,Simple,0.82,SE
72,258.99,104.42,8.51,1.7,Simple,0.82,NE
73,364.36,94.03,8.71,1.74,Simple,0.82,NE
74,412.63,299.37,6.88,1.38,Simple,0.82,SE
75,304.34,128.25,7.41,1.48,Simple,0.81,NE
76,208.57,378.01,11.22,2.24,Simple,0.81,SE
77,215.52,312.84,7.76,1.55,Simple,0.81,SE
78,63.99,180.41,7.05,1.41,Simple,0.81,NW
79,154.32,183.66,7.61,1.52,Simple,0.78,NW
80,97.58,264.37,11.54,2.31,Simple,0.78,SW
81,237.11,141.74,7.07,1.41,Simple,0.78,NE
82,398.21,210.95,9.8,1.96,Simple,0.78,SE
83,349.6,211.9,7.1,1.42,Simple,0.78,SE
84,261.53,230.09,7.17,1.43,Simple,0.77,SE
85,355.83,90.2,10.05,2.01,Simple,0.77,NE
86,395.55,203.38,7.81,1.56,Simple,0.77,NE
87,98.71,72.28,8.8,1.76,Simple,0.76,NW
88,240.87,196.96,7.14,1.43,Simple,0.76,NE
89,106.8,270.99,9.74,1.95,Simple/Overlapping,0.75,SW
90,273.16,375.53,7.49,1.5,Simple,0.75,SE
91,318.25,64.68,7.22,1.44,Simple,0.74,NE
92,203.51,189.93,6.84,1.37,Simple,0.74,NW
93,180.39,101.92,9.4,1.88,Simple/Overlapping,0.74,NW
94,244.97,219.96,6.97,1.39,Simple,0.74,SE
95,30.12,175.19,14.55,2.91,Simple,0.73,NW
96,216.57,149.67,7.54,1.51,Simple,0.73,NE
97,59.9,388.28,10.23,2.05,Simple,0.73,SW
98,207.62,117.48,7.19,1.44,Simple,0.73,NW
99,290.46,298.87,7.55,1.51,Simple,0.73,SE
100,104.26,279.84,19.4,3.88,Simple/Overlapping,0.71,SW
101,91.85,244.06,12.76,2.55,Simple,0.71,SW
102,367.33,203.58,7.3,1.46,Simple,0.7,NE
103,192.7,316.5,6.85,1.37,Simple,0.7,SW
104,236.26,210.75,6.72,1.34,Simple,0.69,SE
105,329.65,157.84,6.87,1.37,Simple,0.69,NE
106,69.13,133.43,6.7,1.34,Simple,0.69,NW
107,389.11,297.05,7.31,1.46,Simple,0.69,SE
108,363.93,83.53,8.41,1.68,Simple,0.69,NE
109,47.27,32.85,6.8,1.36,Simple,0.68,NW
110,270.27,277.0,7.12,1.42,Simple,0.68,SE
111,121.92,33.4,7.47,1.49,Simple,0.68,NW
112,412.36,136.26,8.96,1.79,Simple,0.67,NE
113,413.84,24.87,10.2,2.04,Degraded,0.67,NE
114,152.8,198.66,6.37,1.27,Simple,0.67,NW
115,30.7,221.47,13.77,2.75,Simple,0.67,SW
116,62.39,405.74,15.89,3.18,Simple,0.67,SW
117,266.47,16.94,8.65,1.73,Simple,0.66,NE
118,315.74,359.64,15.53,3.11,Simple,0.66,SE
119,36.53,78.6,6.99,1.4,Simple,0.66,NW
120,409.66,257.67,6.97,1.39,Simple,0.65,SE
121,389.05,77.16,7.84,1.57,Simple,0.65,NE
122,249.61,352.92,7.2,1.44,Simple,0.65,SE
123,170.35,314.6,6.79,1.36,Simple,0.65,SW
124,255.22,387.2,29.08,5.82,Complex/Overlapping,0.65,SE
