ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,397.4,360.79,9.44,1.89,Simple,0.93,SE
2,295.63,131.95,13.66,2.73,Simple,0.93,NE
3,341.55,70.53,11.65,2.33,Simple,0.92,NE
4,269.7,47.4,30.41,6.08,Complex,0.92,NE
5,356.38,98.51,11.33,2.27,Simple,0.91,NE
6,287.93,77.43,21.68,4.34,Complex,0.91,NE
7,382.19,399.35,7.98,1.6,Simple,0.91,SE
8,145.74,234.18,11.84,2.37,Simple,0.91,SW
9,220.35,152.97,9.34,1.87,Simple,0.91,NE
10,197.07,84.02,12.01,2.4,Simple,0.91,NW
11,234.73,88.59,11.43,2.29,Simple,0.91,NE
12,394.32,87.33,9.34,1.87,Simple,0.9,NE
13,249.26,177.18,10.96,2.19,Simple,0.9,NE
14,381.81,129.43,11.04,2.21,Simple,0.9,NE
15,136.0,176.32,36.0,7.2,Complex,0.89,NW
16,46.14,387.08,7.08,1.42,Simple,0.89,SW
17,343.98,268.89,9.68,1.94,Simple,0.89,SE
18,386.61,100.78,11.45,2.29,Simple,0.89,NE
19,372.78,50.69,7.53,1.51,Simple,0.88,NE
20,394.32,28.16,9.43,1.89,Simple,0.88,NE
21,377.2,287.13,14.1,2.82,Simple,0.88,SE
22,160.0,150.25,7.86,1.57,Simple,0.87,NW
23,393.47,113.3,7.78,1.56,Simple,0.87,NE
24,370.66,383.06,6.94,1.39,Simple,0.86,SE
25,28.52,80.21,7.74,1.55,Simple,0.86,NW
26,338.13,82.76,11.68,2.34,Simple,0.86,NE
27,399.59,18.8,11.19,2.24,Simple,0.85,NE
28,239.04,101.44,7.81,1.56,Simple,0.85,NE
29,27.43,220.34,10.0,2.0,Simple,0.85,SW
30,339.92,155.03,7.27,1.45,Simple,0.84,NE
31,302.49,246.1,6.79,1.36,Simple,0.84,SE
32,340.54,110.02,7.24,1.45,Simple,0.84,NE
33,337.71,24.66,11.76,2.35,Simple,0.84,NE
34,226.73,25.97,9.83,1.97,Simple,0.84,NE
35,141.88,391.7,7.34,1.47,Simple,0.83,SW
36,293.83,32.53,19.56,3.91,Simple,0.82,NE
37,252.93,214.0,69.52,13.9,Complex,0.82,SE
38,95.9,115.0,7.16,1.43,Simple,0.81,NW
39,401.5,5.45,8.85,1.77,Simple,0.81,NE
40,96.57,148.84,12.15,2.43,Simple,0.79,NW
41,360.47,376.88,7.57,1.51,Simple,0.79,SE
42,172.3,10.28,9.99,2.0,Simple,0.79,NW
43,403.23,69.11,11.55,2.31,Simple,0.77,NE
44,309.99,355.77,5.82,1.16,Simple,0.76,SE
45,182.26,7.09,10.72,2.14,Simple,0.75,NW
46,63.75,38.63,6.38,1.28,Simple,0.74,NW
47,190.38,14.8,9.04,1.81,Simple,0.73,NW
48,337.43,16.41,8.25,1.65,Simple,0.7,NE
49,399.89,207.84,8.11,1.62,Simple,0.7,NE
50,243.67,26.45,7.1,1.42,Simple,0.7,NE
51,49.52,366.96,5.78,1.16,Simple,0.69,SW
52,348.75,57.02,6.88,1.38,Simple,0.69,NE
53,199.98,19.47,7.51,1.5,Simple,0.65,NW
54,309.65,4.95,7.27,1.45,Simple,0.65,NE
55,36.57,38.21,6.5,1.3,Simple,0.65,NW
56,152.95,243.49,7.0,1.4,Simple,0.63,SW
57,325.2,81.56,9.96,1.99,Simple,0.63,NE
58,197.9,47.42,8.17,1.63,Simple,0.63,NW
59,355.62,284.85,6.16,1.23,Simple,0.62,SE
60,56.25,208.5,13.03,2.61,Simple,0.62,SW
61,255.53,230.67,5.65,1.13,Simple,0.61,SE
62,184.04,33.29,7.44,1.49,Simple,0.6,NW
63,264.01,371.14,5.57,1.11,Simple,0.59,SE
64,403.78,255.34,11.8,2.36,Degraded,0.56,SE
65,183.17,19.43,6.8,1.36,Simple,0.55,NW
66,288.4,13.27,6.61,1.32,Simple,0.54,NE
67,273.24,312.18,6.33,1.27,Simple,0.53,SE
68,66.65,3.06,6.31,1.26,Simple,0.52,NW
69,252.32,243.75,19.01,3.8,Simple,0.52,SE
70,277.04,131.17,11.13,2.23,Simple,0.52,NE
71,220.09,12.97,6.75,1.35,Simple,0.51,NE
72,380.68,275.91,5.94,1.19,Simple,0.51,SE
73,194.51,60.86,6.49,1.3,Simple,0.49,NW
74,313.48,67.7,8.06,1.61,Simple,0.49,NE
75,216.37,25.28,7.36,1.47,Simple,0.49,NE
76,178.2,170.5,5.94,1.19,Simple,0.49,NW
77,77.52,359.27,5.89,1.18,Simple,0.46,SW
78,215.45,303.15,6.38,1.28,Simple,0.44,SE
79,256.46,3.77,7.05,1.41,Simple,0.43,NE
80,195.42,142.14,5.83,1.17,Simple,0.42,NW
81,358.51,11.4,6.51,1.3,Simple,0.41,NE
82,280.33,139.86,7.49,1.5,Simple,0.4,NE
83,261.03,93.15,5.98,1.2,Simple,0.38,NE
84,377.81,105.25,7.53,1.51,Simple,0.36,NE
85,273.1,27.91,7.86,1.57,Simple,0.35,NE
86,396.6,65.08,7.5,1.5,Simple,0.33,NE
87,367.6,388.39,5.3,1.06,Simple,0.33,SE
88,141.28,76.7,7.19,1.44,Simple,0.31,NW
89,217.53,345.36,5.84,1.17,Simple,0.31,SE
90,33.87,125.72,24.37,4.87,Complex,0.3,NW
91,257.8,207.93,5.93,1.19,Simple,0.3,NE
92,374.72,269.06,5.65,1.13,Simple,0.29,SE
