ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,599.01,594.05,35.09,7.02,Complex,0.79,SE
2,463.98,597.78,10.76,2.15,Simple,0.76,SE
3,540.48,608.71,24.06,4.81,Complex,0.72,SE
4,515.87,372.65,15.56,3.11,Simple,0.69,SE
5,583.6,569.3,32.9,6.58,Complex,0.65,SE
6,519.24,443.98,11.92,2.38,Simple,0.63,SE
7,475.17,554.39,37.85,7.57,Complex,0.6,SE
8,491.39,375.42,12.59,2.52,Simple,0.6,SE
9,633.56,575.49,16.17,3.23,Simple,0.59,SE
10,450.03,503.97,11.4,2.28,Simple,0.58,SE
11,509.3,454.82,11.06,2.21,Simple,0.53,SE
12,586.69,628.57,31.81,6.36,Degraded,0.53,SE
13,504.12,593.17,8.59,1.72,Simple,0.52,SE
14,290.58,483.98,12.02,2.4,Simple,0.46,SW
15,301.13,344.42,9.02,1.8,Simple,0.44,SW
16,582.89,429.64,12.39,2.48,Simple,0.43,SE
17,316.56,445.07,23.88,4.78,Complex,0.41,SW
18,89.67,346.8,11.64,2.33,Simple,0.39,SW
19,168.5,528.76,11.87,2.37,Simple,0.38,SW
20,514.12,525.32,41.04,8.21,Complex,0.37,SE
21,209.47,542.21,8.29,1.66,Simple,0.37,SW
22,510.06,404.99,7.1,1.42,Simple,0.36,SE
23,298.04,512.88,7.56,1.51,Simple,0.35,SW
24,561.96,373.89,9.67,1.93,Simple,0.34,SE
25,233.95,587.97,11.44,2.29,Simple,0.33,SW
26,561.49,443.36,8.52,1.7,Simple,0.32,SE
27,619.84,335.98,9.57,1.91,Simple,0.31,SE
28,368.9,372.62,10.03,2.01,Simple,0.3,SE
29,636.66,611.53,11.98,2.4,Degraded,0.3,SE
30,626.25,611.52,8.48,1.7,Simple,0.29,SE
31,82.6,535.92,25.71,5.14,Complex,0.28,SW
32,554.43,437.72,8.83,1.77,Simple,0.25,SE
33,505.32,223.83,10.34,2.07,Simple,0.25,NE
34,546.29,369.27,10.72,2.14,Simple,0.25,SE
