ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,320.93,381.72,24.83,4.97,Complex,0.93,SE
2,122.92,196.07,19.43,3.89,Simple,0.93,NW
3,340.65,101.61,9.55,1.91,Simple,0.93,NE
4,62.28,202.38,12.53,2.51,Simple,0.92,NW
5,277.86,391.81,9.59,1.92,Simple,0.92,SE
6,215.56,184.38,27.2,5.44,Complex/Overlapping,0.92,NE
7,281.89,20.31,10.11,2.02,Simple,0.91,NE
8,92.78,323.63,41.19,8.24,Complex,0.91,SW
9,302.94,335.76,8.34,1.67,Simple,0.91,SE
10,404.12,186.0,14.83,2.97,Simple,0.91,NE
11,163.72,219.9,21.0,4.2,Complex/Overlapping,0.91,SW
12,51.27,183.66,9.14,1.83,Simple/Overlapping,0.91,NW
13,168.93,79.3,11.52,2.3,Simple,0.91,NW
14,41.5,20.05,9.59,1.92,Simple,0.91,NW
15,209.83,405.8,23.59,4.72,Complex,0.91,SE
16,337.98,251.06,10.5,2.1,Simple,0.9,SE
17,21.98,118.5,10.16,2.03,Simple,0.9,NW
18,384.8,320.69,21.34,4.27,Complex,0.9,SE
19,280.01,154.56,7.76,1.55,Simple,0.9,NE
20,173.21,121.42,9.6,1.92,Simple,0.9,NW
21,303.09,402.94,10.85,2.17,Simple,0.9,SE
22,324.17,127.42,9.72,1.94,Simple,0.9,NE
23,158.44,29.82,8.86,1.77,Simple,0.89,NW
24,67.63,266.14,11.05,2.21,Simple,0.89,SW
25,333.35,134.86,10.34,2.07,Simple,0.89,NE
26,5.96,252.93,10.02,2.0,Simple,0.89,SW
27,54.42,261.3,13.01,2.6,Simple,0.89,SW
28,350.33,174.4,8.35,1.67,Simple,0.89,NE
29,83.56,95.48,8.91,1.78,Simple,0.89,NW
30,137.02,267.25,10.04,2.01,Simple,0.87,SW
31,251.46,405.25,22.55,4.51,Complex,0.87,SE
32,78.04,142.31,7.74,1.55,Simple,0.87,NW
33,166.61,262.56,8.46,1.69,Simple,0.87,SW
34,167.23,351.64,8.03,1.61,Simple,0.87,SW
35,87.88,396.05,8.64,1.73,Simple,0.87,SW
36,137.45,224.97,13.1,2.62,Simple,0.87,SW
37,116.52,229.92,33.52,6.7,Complex/Overlapping,0.86,SW
38,90.68,269.01,8.94,1.79,Simple,0.86,SW
39,120.44,174.94,11.41,2.28,Simple,0.86,NW
40,11.84,302.5,9.0,1.8,Simple,0.86,SW
41,48.59,236.07,8.56,1.71,Simple,0.86,SW
42,289.07,386.76,15.14,3.03,Simple,0.85,SE
43,16.06,270.72,23.44,4.69,Complex/Overlapping,0.85,SW
44,34.63,181.71,8.47,1.69,Simple,0.85,NW
45,246.73,23.53,8.63,1.73,Simple,0.84,NE
46,121.91,83.91,8.86,1.77,Simple,0.84,NW
47,161.29,357.63,11.07,2.21,Simple,0.83,SW
48,136.83,380.73,37.94,7.59,Complex/Overlapping,0.83,SW
49,134.54,389.74,20.63,4.13,Complex/Overlapping,0.82,SW
50,15.66,142.86,7.72,1.54,Simple,0.82,NW
51,288.08,355.96,12.74,2.55,Simple,0.81,SE
52,117.66,274.34,8.87,1.77,Simple,0.81,SW
53,298.13,367.23,20.05,4.01,Complex,0.8,SE
54,194.05,227.46,11.3,2.26,Simple,0.79,SW
55,189.45,161.45,16.24,3.25,Simple,0.79,NW
56,95.59,380.91,7.64,1.53,Simple,0.78,SW
57,326.39,339.72,8.07,1.61,Simple,0.77,SE
58,114.77,46.38,7.61,1.52,Simple,0.76,NW
59,101.12,259.38,9.15,1.83,Simple,0.76,SW
60,126.57,263.45,10.8,2.16,Simple,0.76,SW
61,348.85,43.5,15.09,3.02,Simple,0.75,NE
62,180.89,284.13,118.1,23.62,Complex,0.75,SW
63,247.85,358.32,11.11,2.22,Simple,0.75,SE
64,211.22,165.13,24.43,4.89,Complex/Overlapping,0.74,NE
65,393.87,259.53,11.1,2.22,Simple,0.74,SE
66,229.21,378.91,8.59,1.72,Simple,0.72,SE
67,316.18,139.07,8.06,1.61,Simple,0.72,NE
68,176.36,308.73,6.87,1.37,Simple,0.71,SW
69,208.9,274.69,7.47,1.49,Simple,0.69,SE
70,380.92,412.1,15.56,3.11,Degraded,0.69,SE
71,267.3,11.87,7.77,1.55,Simple,0.68,NE
72,140.58,151.35,26.2,5.24,Complex,0.68,NW
73,350.0,26.7,6.07,1.21,Simple,0.67,NE
74,149.62,36.59,6.89,1.38,Simple,0.67,NW
75,341.08,374.98,8.72,1.74,Simple,0.67,SE
76,135.75,10.17,12.92,2.58,Simple/Overlapping,0.67,NW
77,25.35,356.19,6.86,1.37,Simple,0.66,SW
78,278.97,365.55,12.57,2.51,Simple,0.66,SE
79,76.94,180.33,6.98,1.4,Simple,0.65,NW
80,184.83,14.41,6.35,1.27,Simple,0.65,NW
81,123.4,124.73,6.66,1.33,Simple,0.64,NW
82,239.61,179.93,21.97,4.39,Complex,0.64,NE
83,42.88,247.74,7.53,1.51,Simple,0.63,SW
84,53.82,179.82,6.63,1.33,Simple/Overlapping,0.63,NW
85,33.86,238.22,7.16,1.43,Simple,0.63,SW
86,88.45,102.22,6.91,1.38,Simple,0.63,NW
87,207.64,329.9,18.68,3.74,Simple,0.62,SW
88,133.5,7.51,8.92,1.78,Simple/Overlapping,0.61,NW
89,7.3,76.9,7.03,1.41,Simple,0.61,NW
90,390.48,334.93,16.93,3.39,Simple,0.61,SE
91,380.39,140.24,8.97,1.79,Simple,0.6,NE
92,242.72,380.18,6.35,1.27,Simple,0.6,SE
93,186.79,99.53,6.38,1.28,Simple,0.6,NW
94,323.57,354.16,9.98,2.0,Simple,0.59,SE
95,245.13,53.11,6.98,1.4,Simple,0.59,NE
96,253.37,39.02,7.73,1.55,Simple,0.59,NE
97,388.97,251.99,6.81,1.36,Simple,0.58,SE
98,174.93,211.54,7.86,1.57,Simple,0.57,SW
99,261.86,337.02,10.61,2.12,Simple,0.57,SE
100,153.37,77.78,6.23,1.25,Simple,0.56,NW
101,63.24,330.2,6.35,1.27,Simple,0.56,SW
102,384.71,280.95,23.55,4.71,Complex,0.54,SE
103,224.0,411.9,6.01,1.2,Simple,0.54,SE
104,329.02,259.26,5.72,1.14,Simple,0.52,SE
105,279.33,326.73,25.83,5.17,Complex,0.52,SE
106,286.62,374.57,11.47,2.29,Simple,0.52,SE
107,139.8,15.77,6.03,1.21,Simple/Overlapping,0.52,NW
108,40.41,278.28,7.51,1.5,Simple,0.51,SW
109,119.8,301.76,9.19,1.84,Simple,0.5,SW
110,5.54,177.63,7.39,1.48,Simple,0.5,NW
111,291.81,155.47,6.65,1.33,Simple,0.5,NE
112,147.49,203.03,7.85,1.57,Simple,0.48,NW
113,158.44,109.53,6.44,1.29,Simple,0.48,NW
114,68.02,130.7,6.48,1.3,Simple,0.48,NW
115,140.39,310.84,13.3,2.66,Simple,0.46,SW
116,119.11,320.96,7.81,1.56,Simple,0.46,SW
117,235.96,253.94,6.9,1.38,Simple,0.45,SE
118,177.34,289.39,6.43,1.29,Simple,0.45,SW
119,199.33,175.09,9.8,1.96,Simple,0.44,NW
120,2.11,215.59,8.02,1.6,Degraded,0.44,SW
121,43.89,263.1,6.65,1.33,Simple,0.44,SW
122,210.67,288.69,8.34,1.67,Simple,0.42,SE
123,374.21,355.81,16.22,3.24,Simple/Overlapping,0.42,SE
124,136.23,172.05,7.26,1.45,Simple,0.41,NW
125,325.87,180.4,5.64,1.13,Simple,0.4,NE
126,402.15,224.37,63.62,12.72,Degraded,0.4,SE
127,40.86,132.47,6.3,1.26,Simple,0.4,NW
128,110.8,164.34,6.04,1.21,Simple,0.4,NW
129,115.08,21.6,5.49,1.1,Simple,0.39,NW
130,126.25,282.84,6.84,1.37,Simple,0.39,SW
131,102.09,57.98,6.07,1.21,Simple,0.39,NW
132,145.07,260.87,6.8,1.36,Simple,0.39,SW
133,18.22,266.58,16.82,3.36,Simple/Overlapping,0.37,SW
134,154.69,137.83,10.28,2.06,Simple,0.37,NW
135,96.11,349.09,6.12,1.22,Simple,0.37,SW
136,18.05,13.26,6.01,1.2,Simple,0.37,NW
137,382.21,105.38,12.83,2.57,Simple,0.37,NE
138,52.11,358.49,7.14,1.43,Simple,0.36,SW
139,167.21,233.96,6.39,1.28,Simple,0.35,SW
140,333.76,354.75,9.79,1.96,Simple,0.35,SE
141,252.08,372.52,6.35,1.27,Simple,0.34,SE
142,142.63,217.7,6.81,1.36,Simple,0.34,SW
143,121.84,240.79,13.87,2.77,Simple/Overlapping,0.34,SW
144,335.96,406.22,17.79,3.56,Simple,0.34,SE
145,149.95,230.77,9.69,1.94,Simple,0.34,SW
146,185.02,323.18,24.82,4.96,Complex/Overlapping,0.33,SW
147,382.02,23.02,6.18,1.24,Simple,0.33,NE
148,96.4,235.84,8.48,1.7,Simple,0.33,SW
149,363.94,361.93,43.36,8.67,Complex/Overlapping,0.33,SE
150,159.47,257.82,6.8,1.36,Simple,0.32,SW
151,243.32,199.42,13.22,2.64,Simple,0.32,NE
152,173.54,256.37,6.56,1.31,Simple,0.31,SW
153,232.89,400.48,6.95,1.39,Simple,0.31,SE
154,185.96,334.37,13.27,2.65,Simple/Overlapping,0.31,SW
155,47.24,253.2,6.8,1.36,Simple,0.3,SW
156,172.03,235.59,38.7,7.74,Complex/Overlapping,0.29,SW
157,260.5,141.47,5.79,1.16,Simple,0.28,NE
158,98.33,411.71,7.63,1.53,Simple,0.28,SW
159,398.66,156.37,55.35,11.07,Degraded,0.27,NE
160,222.51,225.26,7.44,1.49,Simple,0.27,SE
161,135.73,210.17,6.75,1.35,Simple,0.26,SW
162,121.49,344.84,6.12,1.22,Simple,0.26,SW
