ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,16.14,113.25,10.81,2.16,Simple,0.93,NW
2,66.16,183.94,7.65,1.53,Simple,0.92,NW
3,27.48,348.15,10.3,2.06,Simple,0.91,SW
4,389.87,115.98,8.58,1.72,Simple,0.91,NE
5,262.15,92.89,7.53,1.51,Simple,0.9,NE
6,184.81,7.92,7.9,1.58,Simple,0.9,NW
7,305.14,82.27,10.91,2.18,Simple,0.9,NE
8,247.52,233.81,7.55,1.51,Simple,0.9,SE
9,311.64,26.87,8.9,1.78,Simple,0.89,NE
10,128.71,300.08,7.91,1.58,Simple,0.89,SW
11,175.18,358.66,7.37,1.47,Simple,0.89,SW
12,165.0,238.61,8.69,1.74,Simple,0.89,SW
13,404.12,70.85,7.79,1.56,Simple,0.89,NE
14,133.3,366.13,6.35,1.27,Simple,0.88,SW
15,405.68,123.91,8.91,1.78,Simple,0.87,NE
16,297.54,133.88,7.12,1.42,Simple,0.85,NE
17,105.69,403.65,7.22,1.44,Simple,0.85,SW
18,162.08,226.13,6.91,1.38,Simple,0.84,SW
19,61.65,160.13,7.09,1.42,Simple,0.83,NW
20,114.43,407.84,11.09,2.22,Simple/Overlapping,0.81,SW
21,85.27,8.03,6.2,1.24,Simple,0.8,NW
22,93.55,134.33,6.8,1.36,Simple,0.79,NW
23,22.13,409.77,8.44,1.69,Simple,0.78,SW
24,131.42,402.33,6.54,1.31,Simple,0.77,SW
25,354.9,217.3,5.69,1.14,Simple,0.74,SE
26,406.3,63.46,6.21,1.24,Simple,0.73,NE
27,13.85,61.91,6.83,1.37,Simple,0.71,NW
28,402.41,407.32,6.37,1.27,Simple,0.7,SE
29,153.52,141.33,5.76,1.15,Simple,0.7,NW
30,181.36,330.86,5.57,1.11,Simple,0.67,SW
31,123.32,411.05,15.14,3.03,Degraded/Overlapping,0.67,SW
32,20.44,313.99,5.98,1.2,Simple,0.65,SW
33,11.73,411.54,12.8,2.56,Degraded,0.65,SW
34,5.99,375.23,6.58,1.32,Simple,0.65,SW
35,75.94,304.47,5.66,1.13,Simple,0.63,SW
36,61.65,168.5,6.39,1.28,Simple,0.62,NW
37,208.61,70.02,6.12,1.22,Simple,0.61,NE
38,327.82,132.9,5.62,1.12,Simple,0.61,NE
39,158.06,265.39,5.77,1.15,Simple,0.59,SW
40,107.83,260.86,5.69,1.14,Simple,0.59,SW
41,45.27,101.82,5.24,1.05,Simple,0.58,NW
42,393.41,204.99,5.28,1.06,Simple,0.58,NE
43,314.68,74.16,5.7,1.14,Simple,0.55,NE
44,100.3,58.89,5.97,1.19,Simple,0.54,NW
45,156.6,27.55,5.2,1.04,Simple,0.54,NW
46,405.39,213.18,6.12,1.22,Simple,0.51,SE
47,389.87,287.1,5.99,1.2,Simple,0.51,SE
48,272.99,206.53,5.49,1.1,Simple,0.5,NE
49,336.53,102.79,5.39,1.08,Simple,0.5,NE
50,352.66,315.61,5.3,1.06,Simple,0.47,SE
51,233.47,150.69,5.75,1.15,Simple,0.47,NE
52,361.16,176.52,5.63,1.13,Simple,0.47,NE
53,328.89,344.52,5.03,1.01,Simple,0.46,SE
54,390.63,126.38,5.23,1.05,Simple,0.44,NE
55,127.64,262.87,5.14,1.03,Simple,0.43,SW
56,254.81,9.84,5.54,1.11,Simple,0.43,NE
57,256.15,302.0,5.09,1.02,Simple,0.4,SE
58,380.36,178.35,5.06,1.01,Simple,0.4,NE
59,97.91,261.24,4.53,0.91,Simple,0.38,SW
60,292.64,77.13,6.57,1.31,Simple,0.38,NE
61,351.45,60.79,5.61,1.12,Simple,0.37,NE
62,267.82,80.33,5.2,1.04,Simple,0.37,NE
63,33.84,246.51,5.44,1.09,Simple,0.36,SW
64,50.98,363.28,4.89,0.98,Simple,0.35,SW
65,263.45,213.07,6.49,1.3,Simple,0.34,SE
66,178.44,223.95,5.3,1.06,Simple,0.33,SW
67,235.57,210.93,5.37,1.07,Simple,0.33,SE
68,51.91,149.97,5.24,1.05,Simple,0.32,NW
69,83.35,279.73,5.24,1.05,Simple,0.31,SW
70,173.17,154.83,4.84,0.97,Simple,0.31,NW
71,317.19,343.8,5.5,1.1,Simple,0.3,SE
72,53.03,272.82,5.19,1.04,Simple,0.3,SW
73,8.77,17.14,5.44,1.09,Simple,0.29,NW
74,123.42,319.33,5.17,1.03,Simple,0.28,SW
75,30.29,299.65,5.24,1.05,Simple,0.28,SW
76,247.56,331.06,5.38,1.08,Simple,0.27,SE
77,89.58,262.48,4.72,0.94,Simple,0.26,SW
78,316.75,248.42,5.3,1.06,Simple,0.25,SE
