ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,246.58,257.22,29.43,5.89,Complex,0.95,SE
2,219.19,24.88,11.35,2.27,Simple,0.94,NE
3,193.86,257.44,11.16,2.23,Simple,0.92,SW
4,202.74,325.82,10.99,2.2,Simple,0.9,SW
5,295.98,373.21,9.43,1.89,Simple,0.9,SE
6,170.09,63.12,10.34,2.07,Simple,0.89,NW
7,148.43,103.13,15.32,3.06,Simple,0.89,NW
8,205.75,380.8,7.59,1.52,Simple,0.89,SW
9,286.98,54.63,11.38,2.28,Simple,0.88,NE
10,290.66,403.85,8.45,1.69,Simple,0.87,SE
11,277.88,389.68,8.14,1.63,Simple,0.86,SE
12,301.69,219.18,7.58,1.52,Simple,0.83,SE
13,263.87,344.09,7.13,1.43,Simple,0.83,SE
14,228.67,243.65,9.27,1.85,Simple,0.81,SE
15,236.81,246.65,8.26,1.65,Simple,0.81,SE
16,268.94,331.26,6.87,1.37,Simple,0.79,SE
17,258.52,309.3,6.67,1.33,Simple,0.79,SE
18,141.43,290.16,7.33,1.47,Simple,0.76,SW
19,116.77,280.41,6.8,1.36,Simple,0.75,SW
20,233.5,323.1,7.29,1.46,Simple,0.75,SE
21,140.09,119.17,6.97,1.39,Simple,0.71,NW
22,229.18,105.58,10.43,2.09,Simple,0.69,NE
23,161.41,267.64,7.13,1.43,Simple,0.62,SW
24,203.46,144.66,6.84,1.37,Simple,0.61,NW
25,184.18,311.47,6.27,1.25,Simple,0.6,SW
26,286.81,284.68,6.22,1.24,Simple,0.57,SE
27,220.14,39.27,7.46,1.49,Simple,0.56,NE
28,273.57,94.41,7.1,1.42,Simple,0.53,NE
29,122.58,53.38,7.3,1.46,Simple,0.51,NW
30,221.84,247.83,6.34,1.27,Simple,0.48,SE
31,224.36,31.21,7.04,1.41,Simple,0.47,NE
32,121.07,38.2,27.88,5.58,Complex/Overlapping,0.46,NW
33,119.91,248.91,6.78,1.36,Simple,0.46,SW
34,256.28,243.13,6.67,1.33,Simple,0.45,SE
35,237.54,172.96,6.42,1.28,Simple,0.45,NE
36,118.71,87.79,18.47,3.69,Simple,0.42,NW
37,259.7,128.32,18.69,3.74,Simple,0.4,NE
38,285.65,95.49,16.12,3.22,Simple,0.37,NE
39,293.66,380.16,6.44,1.29,Simple,0.37,SE
40,230.77,275.55,6.62,1.32,Simple,0.36,SE
41,117.91,42.07,20.82,4.16,Degraded/Overlapping,0.34,NW
42,226.16,282.2,6.28,1.26,Simple,0.33,SE
43,217.55,253.69,6.8,1.36,Simple,0.33,SE
44,241.52,288.93,14.17,2.83,Simple/Overlapping,0.32,SE
45,164.53,261.52,6.75,1.35,Simple,0.31,SW
46,150.81,89.52,6.63,1.33,Simple,0.28,NW
47,259.27,285.22,6.9,1.38,Simple,0.28,SE
48,217.42,361.46,5.56,1.11,Simple,0.27,SE
49,242.56,287.26,18.15,3.63,Simple/Overlapping,0.26,SE
50,250.47,346.37,6.72,1.34,Simple,0.25,SE
