ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,126.21,251.5,24.47,4.89,Complex/Overlapping,0.94,SW
2,266.79,68.28,35.23,7.05,Complex,0.94,NE
3,254.42,193.97,29.64,5.93,Complex,0.92,NE
4,213.99,393.78,20.3,4.06,Complex,0.92,SE
5,162.44,346.3,12.96,2.59,Simple,0.92,SW
6,208.61,14.13,22.86,4.57,Complex,0.92,NE
7,187.25,6.77,11.17,2.23,Simple,0.9,NW
8,206.79,319.65,17.26,3.45,Simple,0.9,SW
9,194.98,94.17,8.77,1.75,Simple,0.89,NW
10,174.99,313.92,15.59,3.12,Simple,0.89,SW
11,128.11,235.67,10.09,2.02,Simple,0.89,SW
12,170.65,245.67,10.79,2.16,Simple,0.89,SW
13,252.85,246.08,10.09,2.02,Simple,0.89,SE
14,207.02,134.64,18.98,3.8,Simple,0.88,NW
15,243.08,50.0,9.13,1.83,Simple,0.88,NE
16,123.72,375.46,10.77,2.15,Simple,0.87,SW
17,196.34,378.62,12.63,2.53,Simple,0.87,SW
18,174.32,237.21,8.83,1.77,Simple,0.87,SW
19,192.53,158.41,8.34,1.67,Simple,0.87,NW
20,198.1,3.87,9.53,1.91,Simple,0.86,NW
21,199.44,305.01,22.29,4.46,Complex,0.86,SW
22,215.22,281.68,14.93,2.99,Simple/Overlapping,0.86,SE
23,142.28,361.6,7.91,1.58,Simple,0.86,SW
24,233.28,51.63,10.48,2.1,Simple,0.86,NE
25,247.51,264.07,8.25,1.65,Simple,0.86,SE
26,197.9,330.23,8.29,1.66,Simple,0.86,SW
27,267.04,176.54,20.34,4.07,Complex,0.86,NE
28,268.51,280.91,9.45,1.89,Simple,0.85,SE
29,241.67,15.99,20.67,4.13,Complex/Overlapping,0.85,NE
30,115.7,66.34,11.06,2.21,Simple,0.84,NW
31,250.93,136.88,9.22,1.84,Simple,0.84,NE
32,246.31,253.16,9.23,1.85,Simple,0.83,SE
33,253.05,227.46,7.56,1.51,Simple,0.83,SE
34,189.55,39.02,7.39,1.48,Simple,0.83,NW
35,257.72,125.44,7.67,1.53,Simple,0.83,NE
36,135.31,368.88,10.62,2.12,Simple,0.82,SW
37,146.9,120.36,18.78,3.76,Simple,0.82,NW
38,168.96,146.7,11.17,2.23,Simple,0.81,NW
39,197.17,45.81,13.05,2.61,Simple,0.81,NW
40,136.39,235.83,41.94,8.39,Complex/Overlapping,0.8,SW
41,119.49,297.11,7.42,1.48,Simple,0.8,SW
42,259.79,268.59,7.21,1.44,Simple,0.8,SE
43,121.14,411.52,9.8,1.96,Simple,0.79,SW
44,195.59,366.75,12.5,2.5,Simple,0.79,SW
45,184.9,320.46,7.82,1.56,Simple,0.79,SW
46,119.18,268.01,9.21,1.84,Simple,0.78,SW
47,177.26,3.64,9.93,1.99,Degraded,0.78,NW
48,198.95,400.16,12.86,2.57,Simple,0.78,SW
49,233.07,268.65,26.12,5.22,Complex,0.78,SE
50,182.62,409.88,8.31,1.66,Simple,0.77,SW
51,146.92,279.32,19.76,3.95,Simple,0.77,SW
52,195.93,192.23,8.14,1.63,Simple,0.76,NW
53,238.14,322.55,9.39,1.88,Simple,0.76,SE
54,226.59,330.34,7.16,1.43,Simple,0.76,SE
55,134.64,20.39,20.56,4.11,Complex,0.75,NW
56,228.93,152.02,9.0,1.8,Simple,0.75,NE
57,119.5,91.55,12.76,2.55,Simple,0.74,NW
58,281.61,290.45,8.49,1.7,Simple,0.74,SE
59,169.66,8.23,7.95,1.59,Simple,0.74,NW
60,194.08,236.63,17.26,3.45,Simple,0.73,SW
61,299.42,30.29,19.44,3.89,Degraded,0.71,NE
62,176.34,61.57,20.08,4.02,Complex/Overlapping,0.71,NW
63,256.03,323.68,9.46,1.89,Simple,0.71,SE
64,179.65,262.35,8.44,1.69,Simple,0.7,SW
65,276.54,100.18,7.0,1.4,Simple,0.69,NE
66,165.87,64.3,7.35,1.47,Simple,0.69,NW
67,200.69,81.36,10.45,2.09,Simple,0.69,NW
68,178.64,368.45,6.23,1.25,Simple,0.68,SW
69,200.91,249.65,11.75,2.35,Simple,0.68,SW
70,270.38,133.58,14.7,2.94,Simple,0.67,NE
71,227.04,340.43,13.88,2.78,Simple/Overlapping,0.67,SE
72,158.74,57.24,7.05,1.41,Simple/Overlapping,0.67,NW
73,186.01,257.74,8.33,1.67,Simple,0.67,SW
74,180.69,157.03,7.18,1.44,Simple,0.66,NW
75,134.86,239.92,5.51,1.1,Simple,0.66,SW
76,132.61,318.08,7.5,1.5,Simple,0.65,SW
77,156.26,94.6,8.99,1.8,Simple,0.64,NW
78,186.34,125.08,6.88,1.38,Simple,0.64,NW
79,229.18,364.38,5.46,1.09,Simple,0.64,SE
80,184.44,277.45,7.27,1.45,Simple,0.63,SW
81,158.32,9.86,12.9,2.58,Simple/Overlapping,0.62,NW
82,299.11,48.85,9.49,1.9,Simple,0.6,NE
83,283.24,4.19,9.39,1.88,Simple,0.59,NE
84,142.71,190.09,7.48,1.5,Simple,0.59,NW
85,255.99,90.37,15.37,3.07,Simple,0.59,NE
86,228.99,124.48,11.82,2.36,Simple,0.59,NE
87,160.18,56.44,9.66,1.93,Simple/Overlapping,0.58,NW
88,205.33,72.72,8.12,1.62,Simple,0.58,NW
89,291.51,53.72,8.21,1.64,Simple,0.58,NE
90,254.59,216.04,6.94,1.39,Simple,0.57,SE
91,282.95,114.32,31.96,6.39,Complex,0.57,NE
92,171.39,137.81,10.13,2.03,Simple,0.56,NW
93,160.1,68.17,9.75,1.95,Simple,0.56,NW
94,176.5,343.44,10.52,2.1,Simple,0.56,SW
95,192.81,147.97,6.52,1.3,Simple,0.56,NW
96,166.66,181.08,6.68,1.34,Simple,0.55,NW
97,137.28,349.75,6.55,1.31,Simple,0.54,SW
98,179.75,39.9,8.45,1.69,Simple,0.54,NW
99,149.61,13.51,10.8,2.16,Simple/Overlapping,0.52,NW
100,161.35,54.59,10.83,2.17,Simple/Overlapping,0.52,NW
101,170.91,112.82,10.11,2.02,Simple/Overlapping,0.5,NW
102,193.0,83.41,6.1,1.22,Simple,0.49,NW
103,242.62,14.43,17.69,3.54,Simple/Overlapping,0.48,NE
104,200.69,410.65,7.8,1.56,Simple,0.48,SW
105,257.14,279.62,5.86,1.17,Simple,0.47,SE
106,222.85,339.62,10.52,2.1,Simple/Overlapping,0.47,SE
107,167.92,267.25,6.65,1.33,Simple,0.45,SW
108,250.54,277.97,6.1,1.22,Simple,0.45,SE
109,199.81,161.86,8.94,1.79,Simple,0.45,NW
110,211.7,60.37,8.89,1.78,Simple/Overlapping,0.44,NE
111,184.22,78.47,10.71,2.14,Simple,0.44,NW
112,184.81,51.32,16.7,3.34,Simple/Overlapping,0.44,NW
113,247.03,327.1,8.58,1.72,Simple,0.43,SE
114,117.39,174.11,6.65,1.33,Simple,0.41,NW
115,228.96,323.2,8.38,1.68,Simple,0.41,SE
116,151.92,146.65,6.05,1.21,Simple,0.4,NW
117,207.59,209.62,6.21,1.24,Simple,0.39,SW
118,234.33,68.31,8.75,1.75,Simple,0.38,NE
119,131.94,149.87,8.82,1.76,Simple,0.38,NW
120,157.08,84.0,14.2,2.84,Simple,0.37,NW
121,142.64,239.4,29.34,5.87,Complex/Overlapping,0.36,SW
122,156.43,11.13,15.86,3.17,Simple/Overlapping,0.36,NW
123,120.04,7.79,6.27,1.25,Simple,0.36,NW
124,203.33,121.07,9.88,1.98,Simple,0.35,NW
125,214.09,283.36,13.49,2.7,Simple/Overlapping,0.34,SE
126,130.91,43.32,6.16,1.23,Simple,0.34,NW
127,223.2,73.68,9.6,1.92,Simple,0.33,NE
128,168.81,1.59,7.04,1.41,Degraded,0.33,NW
129,211.49,62.06,8.94,1.79,Simple/Overlapping,0.33,NE
130,281.13,121.23,8.34,1.67,Simple,0.32,NE
131,233.13,81.89,9.08,1.82,Simple,0.31,NE
132,280.73,282.67,7.3,1.46,Simple,0.3,SE
133,208.74,39.96,8.53,1.71,Simple/Overlapping,0.29,NE
134,176.27,108.6,9.73,1.95,Simple/Overlapping,0.28,NW
135,293.06,3.4,6.41,1.28,Simple,0.28,NE
136,155.29,32.97,6.41,1.28,Simple,0.28,NW
137,190.9,347.09,5.7,1.14,Simple,0.27,SW
138,208.74,35.7,6.62,1.32,Simple/Overlapping,0.26,NE
139,270.61,213.31,10.05,2.01,Simple,0.26,SE
