ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,309.93,274.29,24.29,4.86,Complex,0.93,SE
2,364.85,151.33,31.52,6.3,Complex,0.92,NE
3,280.68,260.99,11.02,2.2,Simple,0.92,SE
4,304.26,172.05,8.99,1.8,Simple,0.92,NE
5,311.11,370.12,10.53,2.11,Simple,0.91,SE
6,350.55,178.41,45.92,9.18,Complex,0.91,NE
7,307.28,132.24,9.0,1.8,Simple,0.91,NE
8,117.96,252.22,16.28,3.26,Simple,0.91,SW
9,103.89,71.62,20.11,4.02,Complex,0.91,NW
10,91.39,48.06,16.86,3.37,Simple,0.91,NW
11,318.47,212.21,12.59,2.52,Simple,0.91,SE
12,360.84,121.86,15.75,3.15,Simple,0.91,NE
13,95.16,326.35,12.51,2.5,Simple,0.9,SW
14,229.66,30.55,10.5,2.1,Simple,0.9,NE
15,125.05,231.17,13.12,2.62,Simple,0.89,SW
16,245.01,203.12,10.47,2.09,Simple,0.89,NE
17,353.87,310.32,11.26,2.25,Simple,0.89,SE
18,195.25,118.41,10.09,2.02,Simple,0.89,NW
19,225.82,74.74,8.1,1.62,Simple,0.89,NE
20,287.53,156.09,9.48,1.9,Simple,0.88,NE
21,309.48,57.24,8.72,1.74,Simple,0.88,NE
22,98.39,192.26,67.47,13.49,Complex,0.87,NW
23,291.82,241.66,7.56,1.51,Simple,0.87,SE
24,213.45,51.28,9.01,1.8,Simple,0.87,NE
25,283.17,201.79,36.32,7.26,Complex,0.86,NE
26,148.56,181.71,10.65,2.13,Simple,0.86,NW
27,257.08,217.24,27.29,5.46,Complex/Overlapping,0.86,SE
28,181.48,174.3,8.04,1.61,Simple,0.86,NW
29,340.93,127.07,9.63,1.93,Simple,0.86,NE
30,81.1,110.43,11.58,2.32,Simple,0.86,NW
31,345.68,5.07,8.97,1.79,Simple,0.85,NE
32,212.63,244.77,30.34,6.07,Complex,0.85,SE
33,228.64,269.91,12.09,2.42,Simple,0.84,SE
34,263.02,116.13,8.62,1.72,Simple,0.84,NE
35,62.61,313.26,66.1,13.22,Complex,0.83,SW
36,80.45,229.12,25.43,5.09,Complex,0.83,SW
37,356.14,99.73,7.66,1.53,Simple,0.83,NE
38,153.31,189.78,9.29,1.86,Simple,0.83,NW
39,372.53,19.86,12.33,2.47,Simple,0.83,NE
40,88.45,150.1,8.09,1.62,Simple,0.82,NW
41,230.39,83.84,11.41,2.28,Simple,0.82,NE
42,237.2,47.24,7.52,1.5,Simple,0.82,NE
43,102.26,231.73,9.28,1.86,Simple,0.82,SW
44,157.63,253.64,8.64,1.73,Simple,0.81,SW
45,287.92,29.83,7.95,1.59,Simple,0.81,NE
46,357.95,30.08,7.73,1.55,Simple,0.81,NE
47,265.78,128.97,10.15,2.03,Simple,0.81,NE
48,134.53,201.78,13.17,2.63,Simple,0.81,NW
49,149.05,125.0,7.64,1.53,Simple,0.8,NW
50,84.74,245.72,7.81,1.56,Simple,0.8,SW
51,223.58,346.5,29.54,5.91,Complex,0.8,SE
52,239.71,74.11,12.2,2.44,Simple,0.8,NE
53,220.92,226.7,8.29,1.66,Simple,0.79,SE
54,243.16,108.51,6.97,1.39,Simple,0.78,NE
