ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,216.93,272.24,43.91,8.78,Complex,0.93,SE
2,75.24,372.66,12.14,2.43,Simple,0.93,SW
3,294.26,279.68,10.94,2.19,Simple,0.92,SE
4,39.38,54.69,8.93,1.79,Simple,0.92,NW
5,305.25,294.24,10.4,2.08,Simple,0.92,SE
6,356.78,194.78,9.81,1.96,Simple,0.92,NE
7,283.98,84.39,8.66,1.73,Simple,0.91,NE
8,136.0,361.62,15.74,3.15,Simple,0.91,SW
9,395.7,371.28,15.95,3.19,Simple,0.91,SE
10,252.54,400.4,11.47,2.29,Simple,0.9,SE
11,366.99,174.31,8.35,1.67,Simple,0.9,NE
12,314.08,267.8,8.54,1.71,Simple,0.9,SE
13,251.11,115.76,9.81,1.96,Simple,0.9,NE
14,149.98,317.41,29.86,5.97,Complex/Overlapping,0.89,SW
15,401.5,14.12,9.79,1.96,Simple,0.89,NE
16,87.34,316.65,9.19,1.84,Simple,0.89,SW
17,18.35,159.17,9.74,1.95,Simple,0.89,NW
18,144.84,397.31,8.26,1.65,Simple,0.89,SW
19,186.15,398.48,9.63,1.93,Simple,0.89,SW
20,291.96,26.4,9.48,1.9,Simple,0.89,NE
21,15.17,266.04,9.05,1.81,Simple,0.89,SW
22,302.83,184.32,9.4,1.88,Simple,0.88,NE
23,148.68,350.69,10.05,2.01,Simple,0.88,SW
24,161.82,298.82,10.2,2.04,Simple,0.88,SW
25,219.77,380.5,8.06,1.61,Simple,0.88,SE
26,173.96,371.79,8.16,1.63,Simple,0.87,SW
27,143.37,370.72,8.6,1.72,Simple,0.87,SW
28,293.57,315.36,105.03,21.01,Complex,0.87,SE
29,168.75,171.68,10.76,2.15,Simple,0.87,NW
30,132.58,228.19,7.81,1.56,Simple,0.87,SW
31,382.43,389.88,19.58,3.92,Simple,0.86,SE
32,398.36,273.14,28.87,5.77,Complex,0.85,SE
33,185.95,302.66,13.85,2.77,Simple,0.84,SW
34,152.85,270.99,7.71,1.54,Simple,0.84,SW
35,247.46,174.57,7.32,1.46,Simple,0.83,NE
36,72.93,318.94,23.38,4.68,Complex,0.83,SW
37,362.47,6.24,7.81,1.56,Simple,0.83,NE
38,273.27,84.52,7.4,1.48,Simple,0.82,NE
39,155.6,388.44,8.55,1.71,Simple,0.82,SW
40,362.84,406.99,14.41,2.88,Simple,0.81,SE
41,249.22,152.57,6.95,1.39,Simple,0.8,NE
42,365.3,71.32,8.94,1.79,Simple,0.8,NE
43,187.07,348.91,18.39,3.68,Simple,0.79,SW
44,299.34,30.47,9.27,1.85,Simple,0.79,NE
45,251.77,206.84,7.28,1.46,Simple,0.79,NE
46,402.26,287.38,7.45,1.49,Simple,0.78,SE
47,17.28,323.9,9.68,1.94,Simple,0.77,SW
48,148.26,379.45,8.45,1.69,Simple,0.76,SW
49,338.46,200.67,6.71,1.34,Simple,0.76,NE
50,62.6,334.31,6.9,1.38,Simple,0.76,SW
51,275.05,109.11,7.35,1.47,Simple,0.76,NE
52,262.19,349.7,12.66,2.53,Simple,0.76,SE
53,356.56,39.99,6.35,1.27,Simple,0.76,NE
54,203.96,32.63,14.49,2.9,Simple,0.75,NW
55,101.79,398.85,8.69,1.74,Simple,0.74,SW
56,159.79,37.18,9.01,1.8,Simple/Overlapping,0.73,NW
57,305.15,163.59,7.57,1.51,Simple,0.73,NE
58,135.78,186.01,30.38,6.08,Complex,0.73,NW
59,159.8,365.26,9.31,1.86,Simple,0.73,SW
60,84.59,297.42,23.83,4.77,Complex,0.73,SW
61,121.72,408.15,9.3,1.86,Simple,0.72,SW
62,13.07,146.73,5.98,1.2,Simple,0.72,NW
63,364.25,50.41,6.19,1.24,Simple,0.72,NE
64,359.59,366.28,33.71,6.74,Complex,0.71,SE
65,375.87,60.65,6.2,1.24,Simple,0.7,NE
66,92.75,199.78,23.11,4.62,Complex,0.69,NW
67,313.16,182.96,8.16,1.63,Simple/Overlapping,0.69,NE
68,336.94,170.71,9.44,1.89,Simple,0.67,NE
69,325.52,112.89,6.18,1.24,Simple,0.67,NE
70,90.54,332.15,22.98,4.6,Complex/Overlapping,0.66,SW
71,216.62,323.92,7.29,1.46,Simple/Overlapping,0.65,SE
72,71.78,389.05,6.43,1.29,Simple,0.65,SW
73,193.46,36.72,10.8,2.16,Simple,0.64,NW
74,311.44,254.48,9.08,1.82,Simple,0.62,SE
75,167.31,335.31,30.13,6.03,Complex/Overlapping,0.62,SW
76,372.3,306.59,9.91,1.98,Simple,0.61,SE
77,292.97,13.7,6.25,1.25,Simple,0.61,NE
78,239.8,176.49,7.83,1.57,Simple,0.61,NE
