ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,60.73,347.89,14.76,2.95,Simple,0.92,SW
2,137.81,28.19,8.3,1.66,Simple,0.91,NW
3,244.41,50.34,11.89,2.38,Simple,0.9,NE
4,276.71,328.96,9.05,1.81,Simple,0.9,SE
5,154.74,356.76,11.17,2.23,Simple,0.9,SW
6,356.49,159.45,12.27,2.45,Simple,0.89,NE
7,364.6,296.12,12.93,2.59,Simple,0.89,SE
8,156.55,323.94,8.01,1.6,Simple,0.86,SW
9,167.54,312.9,6.22,1.24,Simple,0.85,SW
10,183.25,362.97,6.66,1.33,Simple,0.84,SW
11,284.53,10.97,7.82,1.56,Simple,0.83,NE
12,135.59,115.98,6.53,1.31,Simple,0.82,NW
13,248.93,409.86,6.63,1.33,Simple,0.8,SE
14,214.22,199.26,6.61,1.32,Simple,0.8,NE
15,269.59,101.28,10.97,2.19,Simple,0.8,NE
16,251.97,13.5,6.85,1.37,Simple,0.79,NE
17,340.17,179.73,12.14,2.43,Simple,0.79,NE
18,77.45,186.9,9.95,1.99,Simple,0.79,NW
19,72.91,136.56,13.57,2.71,Simple,0.78,NW
20,247.61,107.06,6.37,1.27,Simple,0.77,NE
21,173.35,40.49,9.26,1.85,Simple,0.77,NW
22,171.3,146.81,12.03,2.41,Simple,0.74,NW
23,145.18,8.14,5.73,1.15,Simple,0.71,NW
24,222.49,290.7,18.95,3.79,Simple/Overlapping,0.71,SE
25,115.7,150.67,11.6,2.32,Simple,0.7,NW
26,315.93,134.42,10.56,2.11,Simple,0.68,NE
27,321.64,9.15,11.0,2.2,Simple,0.68,NE
28,172.41,247.47,14.99,3.0,Simple,0.68,SW
29,110.02,223.56,8.04,1.61,Simple,0.68,SW
30,304.42,239.45,6.2,1.24,Simple,0.67,SE
31,112.04,6.63,7.35,1.47,Simple,0.67,NW
32,290.65,81.66,10.3,2.06,Simple,0.67,NE
33,362.71,198.17,13.42,2.68,Simple,0.66,NE
34,130.98,126.76,7.43,1.49,Simple,0.64,NW
35,310.58,81.68,10.18,2.04,Simple,0.62,NE
36,140.58,38.28,7.53,1.51,Simple,0.6,NW
37,57.85,69.16,9.64,1.93,Simple,0.6,NW
38,95.71,197.17,5.77,1.15,Simple,0.6,NW
39,171.08,258.78,5.76,1.15,Simple,0.59,SW
40,284.86,72.71,7.98,1.6,Simple,0.59,NE
41,247.49,25.4,8.9,1.78,Simple,0.58,NE
42,324.8,413.01,6.1,1.22,Simple,0.58,SE
43,104.92,317.37,5.72,1.14,Simple,0.58,SW
44,223.25,298.99,10.14,2.03,Simple/Overlapping,0.57,SE
