ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,288.89,318.14,22.33,4.47,Complex,0.93,SE
2,156.7,46.11,18.88,3.78,Simple,0.93,NW
3,191.04,33.56,8.54,1.71,Simple,0.91,NW
4,40.0,229.67,15.28,3.06,Simple,0.91,SW
5,265.6,207.31,9.17,1.83,Simple,0.9,NE
6,276.64,252.0,18.93,3.79,Simple,0.9,SE
7,267.24,329.64,7.57,1.51,Simple,0.87,SE
8,78.48,297.56,10.53,2.11,Simple,0.85,SW
9,160.83,76.89,39.24,7.85,Complex,0.84,NW
10,227.46,384.49,6.94,1.39,Simple,0.82,SE
11,130.12,372.64,9.21,1.84,Simple,0.81,SW
12,256.11,86.78,7.43,1.49,Simple,0.8,NE
13,315.18,279.69,6.94,1.39,Simple,0.8,SE
14,174.28,350.72,21.83,4.37,Complex,0.79,SW
15,122.35,386.1,7.73,1.55,Simple,0.78,SW
16,90.42,50.18,6.38,1.28,Simple,0.78,NW
17,89.54,175.92,7.39,1.48,Simple,0.77,NW
18,348.12,245.43,9.03,1.81,Simple,0.77,SE
19,24.91,328.26,7.67,1.53,Simple,0.75,SW
20,391.23,141.31,13.67,2.73,Simple,0.74,NE
21,35.57,50.99,6.05,1.21,Simple,0.73,NW
22,339.39,163.16,17.41,3.48,Simple/Overlapping,0.73,NE
23,212.99,394.63,12.58,2.52,Simple,0.72,SE
24,197.76,139.28,12.01,2.4,Simple,0.69,NW
25,69.44,246.99,6.77,1.35,Simple,0.68,SW
26,379.99,372.28,6.86,1.37,Simple,0.65,SE
27,369.51,232.98,8.8,1.76,Simple,0.62,SE
28,152.5,101.53,6.39,1.28,Simple,0.6,NW
29,40.08,189.35,6.19,1.24,Simple,0.58,NW
30,316.29,188.66,6.98,1.4,Simple,0.58,NE
31,258.23,402.34,25.25,5.05,Complex,0.56,SE
32,132.17,307.11,6.56,1.31,Simple,0.56,SW
33,77.56,407.02,10.61,2.12,Simple,0.56,SW
34,362.49,167.83,27.71,5.54,Complex,0.55,NE
35,243.7,389.36,8.61,1.72,Simple,0.54,SE
36,116.81,67.78,54.24,10.85,Complex,0.54,NW
37,389.21,126.12,7.89,1.58,Simple,0.54,NE
38,213.15,408.92,19.82,3.96,Degraded,0.52,SE
39,163.43,199.44,6.6,1.32,Simple,0.5,NW
40,165.12,221.32,11.73,2.35,Simple,0.49,SW
41,358.53,15.83,22.61,4.52,Complex,0.49,NE
42,50.3,199.77,5.54,1.11,Simple,0.48,NW
43,199.41,393.33,8.16,1.63,Simple,0.48,SW
44,398.35,148.49,9.95,1.99,Simple,0.46,NE
45,48.56,55.15,5.41,1.08,Simple,0.43,NW
46,289.87,269.05,7.82,1.56,Simple,0.43,SE
47,197.15,71.75,32.56,6.51,Complex,0.42,NW
48,231.71,344.47,48.67,9.73,Complex,0.42,SE
49,347.95,186.47,17.08,3.42,Simple,0.41,NE
50,117.92,178.32,6.0,1.2,Simple,0.4,NW
51,347.53,102.85,6.86,1.37,Simple,0.4,NE
52,379.58,31.65,14.77,2.95,Simple,0.37,NE
53,332.53,176.42,21.5,4.3,Complex/Overlapping,0.37,NE
54,234.15,157.22,11.27,2.25,Simple,0.35,NE
55,161.67,156.06,10.45,2.09,Simple,0.33,NW
56,248.78,198.4,10.24,2.05,Simple,0.3,NE
57,383.0,359.85,8.09,1.62,Simple,0.29,SE
58,23.12,62.55,12.25,2.45,Simple,0.29,NW
59,173.2,239.06,10.0,2.0,Simple,0.28,SW
60,259.59,181.7,12.0,2.4,Simple,0.28,NE
61,327.45,288.3,12.61,2.52,Simple,0.27,SE
62,172.72,412.74,9.51,1.9,Degraded,0.26,SW
63,52.17,264.07,20.53,4.11,Complex,0.26,SW
64,117.75,96.39,6.92,1.38,Simple,0.26,NW
65,348.41,227.62,33.06,6.61,Complex,0.25,SE
