ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,168.21,223.22,12.02,2.4,Simple,0.91,SW
2,195.34,221.61,7.77,1.55,Simple,0.9,SW
3,165.64,384.29,33.44,6.69,Complex,0.9,SW
4,307.98,299.65,7.51,1.5,Simple,0.89,SE
5,189.8,274.29,8.72,1.74,Simple,0.89,SW
6,155.49,330.55,26.59,5.32,Complex,0.89,SW
7,110.67,159.34,9.26,1.85,Simple,0.88,NW
8,180.85,189.29,10.84,2.17,Simple/Overlapping,0.88,NW
9,68.95,16.36,44.5,8.9,Degraded,0.88,NW
10,152.97,231.4,12.18,2.44,Simple,0.88,SW
11,254.52,347.55,8.78,1.76,Simple,0.87,SE
12,368.02,285.05,9.51,1.9,Simple,0.87,SE
13,318.73,188.54,7.54,1.51,Simple,0.87,NE
14,222.05,391.63,22.57,4.51,Complex,0.86,SE
15,260.59,137.93,8.33,1.67,Simple,0.86,NE
16,203.13,361.46,8.0,1.6,Simple,0.86,SW
17,219.87,54.7,7.04,1.41,Simple,0.85,NE
18,374.36,297.19,7.74,1.55,Simple,0.85,SE
19,277.75,47.08,7.41,1.48,Simple,0.84,NE
20,226.4,343.31,19.24,3.85,Simple,0.84,SE
21,228.84,65.21,6.98,1.4,Simple,0.82,NE
22,326.6,6.32,7.32,1.46,Simple,0.81,NE
23,55.33,324.27,44.96,8.99,Complex,0.81,SW
24,137.21,78.17,6.77,1.35,Simple,0.79,NW
25,90.8,315.22,16.03,3.21,Simple,0.77,SW
26,298.62,180.95,6.39,1.28,Simple,0.76,NE
27,166.54,13.48,8.4,1.68,Simple,0.75,NW
28,169.38,411.6,10.17,2.03,Simple,0.74,SW
29,101.71,174.56,7.78,1.56,Simple,0.73,NW
30,315.95,410.47,17.02,3.4,Degraded,0.71,SE
31,355.71,404.85,27.59,5.52,Complex,0.71,SE
32,208.88,188.48,7.5,1.5,Simple,0.71,NE
33,349.23,220.68,6.27,1.25,Simple,0.71,SE
34,120.8,267.01,33.05,6.61,Complex,0.71,SW
35,131.64,70.2,6.08,1.22,Simple,0.7,NW
36,185.83,309.97,6.11,1.22,Simple,0.7,SW
37,125.42,119.69,7.54,1.51,Simple,0.7,NW
38,266.84,346.02,6.39,1.28,Simple,0.69,SE
39,228.98,12.71,6.61,1.32,Simple,0.68,NE
40,98.6,361.44,5.73,1.15,Simple,0.67,SW
41,154.07,23.41,15.66,3.13,Simple/Overlapping,0.66,NW
42,125.11,364.69,5.59,1.12,Simple,0.64,SW
43,194.03,155.88,6.24,1.25,Simple,0.62,NW
44,46.08,351.87,6.11,1.22,Simple,0.61,SW
45,374.15,172.23,18.6,3.72,Degraded/Overlapping,0.61,NE
46,371.96,237.49,6.48,1.3,Simple,0.59,SE
47,51.96,298.19,5.84,1.17,Simple,0.57,SW
48,127.35,299.77,5.13,1.03,Simple,0.55,SW
49,54.04,171.82,6.54,1.31,Simple,0.52,NW
50,150.61,36.65,7.62,1.52,Simple,0.51,NW
51,108.43,376.86,12.22,2.44,Simple,0.5,SW
52,181.97,221.9,5.96,1.19,Simple,0.49,SW
53,311.88,51.49,27.8,5.56,Complex,0.48,NE
54,45.85,358.49,6.06,1.21,Simple,0.48,SW
55,296.27,342.21,92.0,18.4,Complex,0.45,SE
56,125.24,221.26,7.02,1.4,Simple,0.44,SW
57,158.3,33.12,8.39,1.68,Simple/Overlapping,0.43,NW
58,376.83,274.56,13.17,2.63,Degraded,0.43,SE
59,264.46,313.38,5.66,1.13,Simple,0.43,SE
60,359.21,170.75,5.74,1.15,Simple,0.43,NE
61,114.61,349.15,9.45,1.89,Simple,0.43,SW
62,180.42,229.7,6.05,1.21,Simple,0.41,SW
63,105.03,311.06,14.33,2.87,Simple,0.4,SW
64,364.85,260.19,6.14,1.23,Simple,0.39,SE
65,74.39,223.79,5.39,1.08,Simple,0.38,SW
66,142.53,7.72,5.7,1.14,Simple,0.37,NW
67,82.95,212.62,5.83,1.17,Simple,0.35,SW
68,70.8,212.8,5.27,1.05,Simple,0.35,SW
69,155.53,24.49,20.35,4.07,Complex/Overlapping,0.34,NW
70,135.97,250.35,5.43,1.09,Simple,0.34,SW
71,187.19,182.0,8.37,1.67,Simple/Overlapping,0.34,NW
72,341.4,181.25,5.69,1.14,Simple,0.33,NE
73,243.15,284.55,5.47,1.09,Simple,0.33,SE
74,218.62,301.84,28.84,5.77,Complex,0.32,SE
75,343.32,174.79,5.6,1.12,Simple,0.31,NE
76,341.76,223.49,6.02,1.2,Simple,0.29,SE
77,184.36,184.89,8.04,1.61,Simple/Overlapping,0.29,NW
78,270.55,315.14,5.26,1.05,Simple,0.27,SE
79,53.24,224.76,5.44,1.09,Simple,0.27,SW
80,329.32,173.7,4.93,0.99,Simple,0.26,NE
81,373.89,173.36,23.92,4.78,Degraded/Overlapping,0.25,NE
