ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,607.25,508.25,32.82,6.56,Complex,0.82,SE
2,59.07,583.56,21.72,4.34,Complex,0.81,SW
3,804.64,147.36,27.61,5.52,Complex,0.81,NE
4,602.88,78.28,32.92,6.58,Complex,0.8,NE
5,344.56,271.68,22.49,4.5,Complex,0.78,NW
6,307.55,340.01,15.82,3.16,Simple,0.77,SW
7,206.16,455.77,20.89,4.18,Complex,0.76,SW
8,336.11,358.24,15.99,3.2,Simple,0.75,SW
9,559.19,631.6,19.17,3.83,Simple,0.74,SE
10,822.64,571.87,23.0,4.6,Complex,0.73,SE
11,8.91,171.04,15.5,3.1,Simple,0.72,NW
12,701.66,48.85,32.99,6.6,Complex,0.71,NE
13,59.94,448.44,38.89,7.78,Complex,0.71,SW
14,343.62,490.09,30.12,6.02,Complex,0.7,SW
15,269.77,627.22,15.57,3.11,Simple,0.7,SW
16,426.82,563.54,55.5,11.1,Complex/Overlapping,0.7,SW
17,336.1,70.64,19.15,3.83,Simple,0.69,NW
18,350.99,435.9,20.78,4.16,Complex,0.68,SW
19,758.36,508.48,23.98,4.8,Complex,0.68,SE
20,155.87,375.44,26.62,5.32,Complex,0.68,SW
21,439.67,402.55,14.48,2.9,Simple,0.66,SW
22,710.64,379.17,20.84,4.17,Complex,0.66,SE
23,336.73,513.15,22.55,4.51,Complex,0.65,SW
24,374.06,448.47,16.28,3.26,Simple,0.64,SW
25,546.27,310.34,76.1,15.22,Complex,0.64,NE
26,859.02,528.73,18.54,3.71,Simple,0.63,SE
27,892.8,420.67,14.09,2.82,Simple,0.62,SE
28,306.27,153.73,14.9,2.98,Simple,0.62,NW
29,394.58,147.03,13.95,2.79,Simple,0.61,NW
30,321.22,359.84,13.65,2.73,Simple,0.61,SW
31,247.4,620.37,15.47,3.09,Simple,0.61,SW
32,435.55,418.51,20.08,4.02,Complex,0.59,SW
33,762.95,608.18,13.63,2.73,Simple,0.59,SE
34,853.05,604.69,15.7,3.14,Simple,0.59,SE
35,126.7,493.55,20.07,4.01,Complex,0.58,SW
36,158.56,182.97,19.36,3.87,Simple,0.58,NW
37,146.49,229.3,25.1,5.02,Complex,0.57,NW
38,37.43,200.94,13.22,2.64,Simple,0.57,NW
39,364.1,268.52,20.97,4.19,Complex,0.57,NW
40,41.6,475.27,32.86,6.57,Complex,0.57,SW
41,659.28,528.04,15.21,3.04,Simple/Overlapping,0.57,SE
42,30.9,590.6,18.11,3.62,Simple,0.56,SW
43,63.94,359.15,14.63,2.93,Simple,0.56,SW
44,750.62,468.52,14.7,2.94,Simple,0.56,SE
45,245.57,285.68,28.59,5.72,Complex,0.55,NW
46,173.52,269.6,13.38,2.68,Simple,0.53,NW
