ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,113.96,21.01,59.53,11.91,Degraded,0.92,NW
2,64.27,225.84,10.35,2.07,Simple,0.89,SW
3,298.9,397.99,8.12,1.62,Simple,0.88,SE
4,371.31,390.81,11.22,2.24,Simple,0.87,SE
5,282.18,218.36,10.45,2.09,Simple,0.86,SE
6,309.5,364.76,12.0,2.4,Simple,0.86,SE
7,247.89,44.13,10.42,2.08,Simple,0.86,NE
8,116.79,92.69,8.36,1.67,Simple,0.84,NW
9,37.25,140.01,13.95,2.79,Simple,0.82,NW
10,288.52,104.85,11.19,2.24,Simple,0.79,NE
11,268.66,120.43,12.33,2.47,Simple,0.78,NE
12,155.28,81.57,6.69,1.34,Simple,0.78,NW
13,286.43,190.29,17.87,3.57,Simple,0.76,NE
14,68.54,110.99,15.9,3.18,Simple/Overlapping,0.76,NW
15,208.18,284.38,9.0,1.8,Simple,0.76,SE
16,69.07,338.59,7.68,1.54,Simple,0.75,SW
17,32.58,344.37,43.42,8.68,Complex,0.75,SW
18,329.57,109.68,10.98,2.2,Simple,0.74,NE
19,66.23,78.79,6.86,1.37,Simple,0.74,NW
20,349.17,141.91,12.11,2.42,Simple,0.7,NE
21,109.06,235.46,26.76,5.35,Complex,0.69,SW
22,113.39,82.22,14.34,2.87,Simple,0.69,NW
23,137.8,271.79,71.72,14.34,Complex,0.68,SW
24,347.92,97.39,12.91,2.58,Simple,0.68,NE
25,280.31,249.4,8.73,1.75,Simple,0.68,SE
26,141.45,66.2,12.15,2.43,Simple,0.66,NW
27,53.92,361.31,28.7,5.74,Complex,0.65,SW
28,75.21,77.26,6.76,1.35,Simple,0.64,NW
29,45.06,399.73,7.8,1.56,Simple,0.58,SW
30,250.85,358.0,9.4,1.88,Simple,0.56,SE
31,389.98,80.04,6.36,1.27,Simple,0.56,NE
32,280.0,208.03,12.42,2.48,Simple,0.52,SE
33,213.18,310.17,21.0,4.2,Complex/Overlapping,0.52,SE
34,373.58,125.63,14.64,2.93,Simple,0.48,NE
35,269.03,194.07,15.13,3.03,Simple/Overlapping,0.48,NE
36,148.58,52.66,14.0,2.8,Simple,0.47,NW
37,298.72,101.61,7.72,1.54,Simple,0.46,NE
38,33.74,128.17,14.6,2.92,Simple,0.46,NW
39,380.96,86.39,10.58,2.12,Simple,0.45,NE
40,66.73,32.66,5.65,1.13,Simple,0.45,NW
41,302.57,310.76,9.93,1.99,Simple,0.44,SE
42,69.2,101.86,15.46,3.09,Simple/Overlapping,0.44,NW
43,216.68,342.02,18.75,3.75,Simple/Overlapping,0.44,SE
44,51.35,208.61,6.66,1.33,Simple,0.43,SW
45,31.5,152.0,14.2,2.84,Simple,0.42,NW
46,290.73,292.96,44.76,8.95,Complex,0.4,SE
47,343.36,282.62,7.31,1.46,Simple,0.37,SE
48,261.88,185.58,27.97,5.59,Complex/Overlapping,0.37,NE
49,211.57,326.93,42.5,8.5,Complex/Overlapping,0.36,SE
50,360.73,343.83,5.4,1.08,Simple,0.34,SE
51,132.3,74.15,11.17,2.23,Simple,0.34,NW
52,378.93,353.49,6.76,1.35,Simple,0.33,SE
53,317.59,94.32,29.89,5.98,Complex,0.31,NE
54,331.98,385.76,6.84,1.37,Simple,0.31,SE
55,292.2,295.79,5.9,1.18,Simple,0.31,SE
56,219.0,35.03,28.7,5.74,Complex,0.29,NE
57,187.1,306.77,26.35,5.27,Complex,0.28,SW
58,77.57,295.73,57.44,11.49,Complex,0.28,SW
59,345.31,85.49,16.13,3.23,Simple,0.28,NE
60,258.27,184.43,22.39,4.48,Complex/Overlapping,0.27,NE
