ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,136.26,26.45,9.39,1.88,Simple,0.91,NW
2,120.75,384.18,10.69,2.14,Simple,0.91,SW
3,196.75,226.35,7.11,1.42,Simple,0.9,SW
4,263.53,22.54,10.29,2.06,Simple,0.89,NE
5,195.26,309.84,6.94,1.39,Simple,0.88,SW
6,191.6,377.22,7.07,1.41,Simple,0.88,SW
7,269.5,30.5,13.74,2.75,Simple,0.87,NE
8,241.25,358.34,7.6,1.52,Simple,0.85,SE
9,278.85,14.95,9.33,1.87,Simple,0.84,NE
10,121.68,375.09,9.37,1.87,Simple,0.82,SW
11,108.2,280.19,7.59,1.52,Simple,0.81,SW
12,176.69,250.93,11.04,2.21,Simple,0.81,SW
13,287.14,202.27,8.07,1.61,Simple,0.81,NE
14,230.55,298.39,7.4,1.48,Simple,0.8,SE
15,112.76,294.09,6.61,1.32,Simple,0.78,SW
16,165.73,246.57,10.11,2.02,Simple,0.78,SW
17,187.25,400.27,8.98,1.8,Simple,0.78,SW
18,165.15,226.77,6.14,1.23,Simple,0.77,SW
19,136.8,146.44,6.42,1.28,Simple,0.76,NW
20,221.37,127.98,9.19,1.84,Simple,0.74,NE
21,194.17,213.46,6.4,1.28,Simple,0.74,SW
22,197.98,124.26,6.66,1.33,Simple,0.72,NW
23,144.69,256.44,6.49,1.3,Simple,0.72,SW
24,222.04,318.62,6.0,1.2,Simple,0.71,SE
25,272.94,168.22,28.06,5.61,Complex,0.71,NE
26,294.88,170.89,15.78,3.16,Simple,0.7,NE
27,286.0,70.81,6.39,1.28,Simple/Overlapping,0.7,NE
28,124.85,246.01,8.59,1.72,Simple,0.68,SW
29,282.17,250.3,7.59,1.52,Simple,0.68,SE
30,102.77,331.83,11.56,2.31,Degraded,0.66,SW
31,197.12,153.1,6.35,1.27,Simple,0.65,NW
32,297.81,404.27,10.84,2.17,Simple,0.64,SE
33,226.19,289.39,6.75,1.35,Simple,0.63,SE
34,205.75,353.06,5.51,1.1,Simple,0.62,SW
35,280.9,243.41,7.4,1.48,Simple,0.61,SE
36,288.1,16.75,6.25,1.25,Simple,0.61,NE
37,311.17,195.63,5.92,1.18,Simple,0.6,NE
38,111.63,188.62,6.57,1.31,Simple,0.6,NW
39,123.45,307.41,7.1,1.42,Simple,0.58,SW
40,254.46,64.27,5.81,1.16,Simple,0.55,NE
41,228.13,259.19,5.9,1.18,Simple,0.55,SE
42,168.58,362.64,7.51,1.5,Simple,0.55,SW
43,183.05,357.12,7.0,1.4,Simple,0.55,SW
44,297.09,111.18,5.68,1.14,Simple,0.53,NE
45,204.17,360.35,6.43,1.29,Simple,0.52,SW
46,113.43,40.24,6.3,1.26,Simple,0.52,NW
47,181.47,393.75,7.74,1.55,Simple,0.48,SW
48,255.17,91.48,21.8,4.36,Complex,0.47,NE
49,112.1,327.3,6.45,1.29,Simple,0.47,SW
50,136.51,349.72,7.85,1.57,Simple,0.46,SW
51,245.57,84.49,9.51,1.9,Simple,0.42,NE
52,156.88,126.67,5.62,1.12,Simple,0.42,NW
53,139.87,119.79,6.04,1.21,Simple,0.39,NW
54,294.54,20.29,5.56,1.11,Simple,0.39,NE
55,248.92,162.03,5.68,1.14,Simple,0.38,NE
56,275.92,53.23,5.45,1.09,Simple,0.37,NE
57,115.4,308.45,6.18,1.24,Simple,0.37,SW
58,124.81,135.44,5.76,1.15,Simple,0.36,NW
59,215.0,329.54,7.58,1.52,Simple,0.33,SE
60,262.17,76.78,8.48,1.7,Simple,0.31,NE
61,227.0,55.21,4.81,0.96,Simple,0.29,NE
62,160.12,302.77,6.74,1.35,Simple,0.29,SW
63,205.24,137.0,6.18,1.24,Simple,0.28,NW
64,305.11,277.29,23.8,4.76,Complex,0.28,SE
65,201.13,389.14,5.18,1.04,Simple,0.28,SW
66,142.5,237.03,5.97,1.19,Simple,0.27,SW
67,180.58,152.75,8.71,1.74,Simple,0.27,NW
68,285.67,69.72,6.25,1.25,Simple/Overlapping,0.26,NE
69,298.63,23.73,4.65,0.93,Simple,0.26,NE
70,163.31,206.83,5.27,1.05,Simple,0.26,NW
71,238.26,378.79,9.23,1.85,Simple,0.25,SE
