ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,238.92,138.75,83.97,16.79,Complex,0.93,NE
2,69.58,98.9,29.03,5.81,Complex,0.93,NW
3,255.34,242.79,22.78,4.56,Complex,0.91,SE
4,56.67,201.99,13.1,2.62,Simple,0.89,NW
5,280.47,313.49,41.32,8.26,Complex/Overlapping,0.88,SE
6,137.42,86.94,14.8,2.96,Simple,0.88,NW
7,202.28,343.42,34.1,6.82,Complex,0.87,SW
8,359.92,55.58,20.08,4.02,Complex,0.87,NE
9,309.13,175.06,8.53,1.71,Simple,0.86,NE
10,92.66,30.46,10.66,2.13,Simple,0.85,NW
11,232.39,285.44,9.25,1.85,Simple,0.84,SE
12,291.99,26.82,9.04,1.81,Simple,0.83,NE
13,179.08,160.97,12.08,2.42,Simple,0.81,NW
14,102.28,262.53,8.78,1.76,Simple,0.8,SW
15,289.19,5.8,11.37,2.27,Simple,0.78,NE
16,284.82,17.19,12.28,2.46,Simple,0.78,NE
17,308.73,137.95,7.73,1.55,Simple,0.77,NE
18,161.51,301.61,13.75,2.75,Simple,0.77,SW
19,282.44,236.81,43.31,8.66,Complex/Overlapping,0.77,SE
20,217.4,275.78,10.75,2.15,Simple,0.76,SE
21,273.18,254.49,24.17,4.83,Complex/Overlapping,0.75,SE
22,228.88,275.11,9.44,1.89,Simple,0.74,SE
23,233.53,326.48,7.36,1.47,Simple,0.74,SE
24,284.38,360.19,19.95,3.99,Simple,0.74,SE
25,281.36,333.87,19.75,3.95,Simple/Overlapping,0.73,SE
26,97.15,17.26,17.05,3.41,Simple,0.73,NW
27,191.11,385.7,7.57,1.51,Simple,0.72,SW
28,163.52,317.71,7.2,1.44,Simple,0.71,SW
29,351.11,133.68,31.98,6.4,Complex/Overlapping,0.67,NE
30,63.36,300.12,12.04,2.41,Simple,0.66,SW
31,270.81,22.15,9.75,1.95,Simple,0.66,NE
32,222.6,360.94,7.41,1.48,Simple,0.65,SE
33,94.5,83.38,21.82,4.36,Complex,0.63,NW
34,73.87,257.12,6.95,1.39,Simple,0.62,SW
35,58.34,168.37,7.23,1.45,Simple,0.61,NW
36,105.84,126.28,6.72,1.34,Simple,0.59,NW
37,80.2,61.3,7.52,1.5,Simple,0.58,NW
38,232.09,243.15,7.23,1.45,Simple,0.57,SE
39,348.24,309.03,6.8,1.36,Simple,0.57,SE
40,333.76,124.06,16.27,3.25,Simple,0.55,NE
41,240.07,295.78,10.78,2.16,Simple,0.51,SE
42,183.67,294.85,6.98,1.4,Simple,0.51,SW
43,75.68,19.05,15.05,3.01,Simple,0.51,NW
44,104.52,367.27,38.92,7.78,Complex,0.49,SW
45,225.05,312.4,21.88,4.38,Complex,0.49,SE
46,278.23,137.42,22.38,4.48,Complex,0.49,NE
47,297.81,405.84,39.29,7.86,Degraded,0.48,SE
48,207.88,383.16,5.9,1.18,Simple,0.48,SW
49,357.66,395.28,5.79,1.16,Simple,0.48,SE
50,151.06,175.02,15.51,3.1,Simple,0.47,NW
51,228.67,30.91,9.24,1.85,Simple,0.47,NE
52,178.22,274.8,6.19,1.24,Simple,0.44,SW
53,144.85,326.71,6.46,1.29,Simple,0.41,SW
54,62.85,184.48,7.03,1.41,Simple,0.4,NW
55,293.47,299.9,5.16,1.03,Simple,0.39,SE
56,235.92,377.35,32.88,6.58,Complex,0.39,SE
57,109.36,71.37,7.55,1.51,Simple,0.38,NW
58,333.29,143.67,28.03,5.61,Complex/Overlapping,0.38,NE
59,346.55,100.64,25.21,5.04,Complex,0.37,NE
60,63.09,314.79,35.07,7.01,Complex,0.36,SW
61,120.68,12.5,12.87,2.57,Simple/Overlapping,0.36,NW
62,80.06,402.08,38.68,7.74,Degraded,0.34,SW
63,150.99,102.0,6.26,1.25,Simple,0.34,NW
64,123.08,11.0,17.67,3.53,Simple/Overlapping,0.33,NW
65,327.26,5.5,16.58,3.32,Degraded,0.32,NE
66,85.61,341.76,21.53,4.31,Complex,0.32,SW
67,256.69,319.53,5.59,1.12,Simple,0.32,SE
68,359.56,74.91,19.28,3.86,Simple,0.31,NE
69,170.88,23.34,16.78,3.36,Simple,0.31,NW
70,326.49,32.98,21.08,4.22,Complex,0.31,NE
71,358.98,294.21,15.34,3.07,Simple,0.3,SE
72,142.55,338.41,25.42,5.08,Complex,0.3,SW
73,236.05,409.82,7.37,1.47,Simple,0.29,SE
74,260.32,306.58,5.75,1.15,Simple,0.29,SE
75,80.08,7.61,26.14,5.23,Degraded,0.28,NW
76,162.13,330.05,6.1,1.22,Simple,0.28,SW
77,291.56,263.16,7.2,1.44,Simple,0.28,SE
78,230.67,197.97,7.35,1.47,Simple,0.28,NE
79,128.58,11.68,7.05,1.41,Simple/Overlapping,0.27,NW
80,276.94,229.81,28.87,5.77,Complex/Overlapping,0.27,SE
81,200.0,370.38,6.95,1.39,Simple,0.26,SW
82,224.08,203.01,6.08,1.22,Simple,0.26,NE
83,269.81,103.47,16.29,3.26,Simple,0.26,NE
84,75.73,353.19,6.04,1.21,Simple,0.26,SW
