ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,282.48,376.32,20.2,4.04,Complex,0.92,SE
2,113.28,208.68,40.28,8.06,Complex,0.92,SW
3,180.4,241.04,17.05,3.41,Simple,0.91,SW
4,177.41,180.16,14.33,2.87,Simple,0.88,NW
5,276.25,358.97,15.96,3.19,Simple,0.87,SE
6,128.47,183.95,16.49,3.3,Simple,0.87,NW
7,136.96,47.46,16.25,3.25,Simple,0.87,NW
8,189.13,11.55,15.47,3.09,Simple,0.86,NW
9,240.4,406.13,27.77,5.55,Degraded,0.86,SE
10,234.63,345.04,11.02,2.2,Simple,0.85,SE
11,310.6,403.28,8.68,1.74,Simple,0.85,SE
12,260.56,361.9,14.13,2.83,Simple,0.85,SE
13,213.72,215.64,7.67,1.53,Simple,0.85,SE
14,308.17,288.72,14.84,2.97,Simple,0.85,SE
15,181.68,157.5,10.69,2.14,Simple,0.84,NW
16,274.03,228.9,11.02,2.2,Simple,0.83,SE
17,111.68,84.57,12.84,2.57,Simple/Overlapping,0.83,NW
18,164.69,408.62,9.42,1.88,Simple,0.82,SW
19,197.95,221.26,12.16,2.43,Simple,0.82,SW
20,223.89,272.19,9.9,1.98,Simple,0.82,SE
21,210.3,390.7,8.2,1.64,Simple,0.82,SE
22,208.1,136.89,9.44,1.89,Simple,0.81,NE
23,150.39,143.07,8.57,1.71,Simple,0.81,NW
24,148.53,70.44,12.5,2.5,Simple/Overlapping,0.8,NW
25,289.72,127.4,9.95,1.99,Simple,0.8,NE
26,145.32,364.87,13.75,2.75,Simple,0.8,SW
27,200.43,235.73,21.19,4.24,Complex,0.8,SW
28,168.19,357.26,10.5,2.1,Simple,0.79,SW
29,175.25,274.31,9.85,1.97,Simple,0.79,SW
30,266.34,176.27,7.67,1.53,Simple,0.79,NE
31,122.47,70.75,10.56,2.11,Simple,0.79,NW
32,194.83,198.76,10.72,2.14,Simple,0.78,NW
33,118.31,322.38,7.74,1.55,Simple,0.78,SW
34,171.57,282.98,11.26,2.25,Simple,0.77,SW
35,150.11,222.04,11.69,2.34,Simple,0.77,SW
36,125.79,271.44,10.81,2.16,Simple,0.77,SW
37,318.04,410.18,11.99,2.4,Simple,0.76,SE
38,144.33,252.57,9.65,1.93,Simple,0.76,SW
39,219.93,229.54,13.21,2.64,Simple/Overlapping,0.76,SE
40,138.26,269.11,10.94,2.19,Simple,0.76,SW
41,290.56,67.6,22.12,4.42,Complex,0.76,NE
42,278.04,179.5,10.11,2.02,Simple,0.76,NE
43,268.43,107.88,12.37,2.47,Simple,0.74,NE
44,211.28,245.83,9.17,1.83,Simple,0.74,SE
45,236.17,166.14,9.11,1.82,Simple,0.74,NE
46,201.2,120.29,12.33,2.47,Simple,0.74,NW
47,287.84,219.77,9.23,1.85,Simple,0.74,SE
48,154.68,25.1,12.52,2.5,Simple,0.74,NW
49,298.26,266.19,8.29,1.66,Simple,0.74,SE
50,197.45,189.4,9.84,1.97,Simple,0.74,NW
51,197.24,40.72,9.07,1.81,Simple,0.73,NW
52,295.34,234.89,7.74,1.55,Simple,0.73,SE
53,163.73,165.39,7.07,1.41,Simple,0.73,NW
54,240.01,379.61,7.01,1.4,Simple,0.73,SE
55,193.08,306.89,8.91,1.78,Simple,0.72,SW
56,170.28,371.96,12.92,2.58,Simple,0.72,SW
57,317.25,294.98,11.42,2.28,Simple,0.72,SE
58,140.09,314.36,10.8,2.16,Simple,0.72,SW
59,152.08,319.85,10.66,2.13,Simple,0.72,SW
60,127.64,336.28,8.22,1.64,Simple,0.71,SW
61,245.44,286.27,9.15,1.83,Simple,0.71,SE
62,162.61,240.88,6.48,1.3,Simple,0.7,SW
63,206.93,319.24,10.54,2.11,Simple,0.7,SW
64,133.29,285.26,8.12,1.62,Simple,0.7,SW
65,272.15,401.94,15.03,3.01,Simple,0.7,SE
66,106.13,249.98,8.54,1.71,Simple,0.7,SW
67,291.25,402.94,8.7,1.74,Simple,0.69,SE
68,238.85,292.45,10.1,2.02,Simple,0.69,SE
69,256.04,145.74,14.96,2.99,Simple,0.69,NE
70,187.29,228.91,10.7,2.14,Simple,0.69,SW
71,314.44,141.37,7.44,1.49,Simple,0.68,NE
72,160.29,392.51,12.16,2.43,Simple,0.68,SW
73,242.84,368.08,6.39,1.28,Simple,0.68,SE
74,212.88,268.04,9.16,1.83,Simple,0.68,SE
75,281.32,26.4,20.69,4.14,Complex,0.68,NE
76,141.16,293.36,11.77,2.35,Simple/Overlapping,0.68,SW
77,126.72,119.48,8.89,1.78,Simple,0.68,NW
78,304.67,114.27,10.91,2.18,Simple,0.68,NE
79,114.49,121.32,12.94,2.59,Simple,0.67,NW
80,208.31,398.25,8.41,1.68,Simple,0.67,SE
81,160.89,328.7,10.7,2.14,Simple,0.66,SW
82,270.42,94.24,12.6,2.52,Simple,0.66,NE
83,212.21,201.02,7.05,1.41,Simple,0.65,NE
84,278.67,124.56,11.47,2.29,Simple,0.65,NE
85,111.15,21.06,7.03,1.41,Simple,0.64,NW
86,275.95,195.88,17.71,3.54,Simple,0.64,NE
87,180.21,121.28,8.06,1.61,Simple,0.64,NW
88,250.99,306.95,7.95,1.59,Simple,0.64,SE
89,257.74,399.56,10.33,2.07,Simple,0.64,SE
90,111.66,138.21,8.57,1.71,Simple,0.63,NW
91,192.58,400.19,8.02,1.6,Simple,0.63,SW
92,279.52,333.11,10.9,2.18,Simple,0.63,SE
93,279.94,285.39,13.39,2.68,Simple,0.63,SE
94,243.8,207.71,13.16,2.63,Simple,0.63,NE
95,122.22,373.63,15.79,3.16,Simple/Overlapping,0.63,SW
96,118.79,106.36,6.82,1.36,Simple,0.63,NW
97,116.28,272.49,8.52,1.7,Simple,0.63,SW
98,117.05,282.94,8.75,1.75,Simple,0.62,SW
99,296.74,396.66,8.25,1.65,Simple,0.62,SE
100,299.28,54.43,12.21,2.44,Simple,0.62,NE
101,93.95,401.96,9.31,1.86,Simple,0.62,SW
102,175.23,208.35,9.69,1.94,Simple/Overlapping,0.62,SW
103,180.54,373.46,8.56,1.71,Simple,0.62,SW
104,124.17,143.55,13.4,2.68,Simple,0.62,NW
105,293.63,275.78,11.73,2.35,Simple,0.61,SE
106,192.3,115.51,7.43,1.49,Simple,0.61,NW
107,141.91,208.92,8.98,1.8,Simple,0.61,SW
108,288.56,358.18,7.78,1.56,Simple/Overlapping,0.61,SE
109,101.19,94.94,7.39,1.48,Simple,0.6,NW
110,138.5,140.17,10.28,2.06,Simple,0.59,NW
111,270.61,250.42,7.12,1.42,Simple,0.59,SE
112,252.68,174.36,7.3,1.46,Simple,0.59,NE
113,248.14,299.3,9.74,1.95,Simple/Overlapping,0.59,SE
114,173.12,301.15,9.6,1.92,Simple,0.59,SW
115,172.05,254.17,6.66,1.33,Simple,0.58,SW
116,160.99,267.51,6.98,1.4,Simple,0.58,SW
117,250.57,347.06,6.88,1.38,Simple,0.58,SE
118,180.58,214.89,10.78,2.16,Simple,0.58,SW
119,110.92,262.6,9.99,2.0,Simple,0.58,SW
120,156.99,380.31,7.62,1.52,Simple,0.58,SW
121,235.24,262.4,12.51,2.5,Simple/Overlapping,0.58,SE
122,264.84,216.79,8.15,1.63,Simple,0.57,SE
123,184.86,302.12,7.43,1.49,Simple,0.57,SW
124,246.63,255.3,10.01,2.0,Simple,0.57,SE
125,155.87,408.07,8.24,1.65,Simple,0.57,SW
126,290.26,364.16,9.06,1.81,Simple/Overlapping,0.56,SE
127,177.29,330.2,7.54,1.51,Simple,0.56,SW
128,273.99,347.65,8.24,1.65,Simple,0.56,SE
129,297.74,298.03,12.71,2.54,Simple,0.56,SE
130,190.28,297.12,7.96,1.59,Simple,0.56,SW
131,204.56,161.84,6.81,1.36,Simple,0.56,NW
132,215.32,395.99,7.61,1.52,Simple,0.56,SE
133,298.26,102.69,13.22,2.64,Simple,0.55,NE
134,312.83,372.3,9.32,1.86,Simple/Overlapping,0.54,SE
135,271.33,151.86,9.1,1.82,Simple,0.54,NE
136,249.54,298.03,9.95,1.99,Simple/Overlapping,0.54,SE
137,182.7,206.12,8.15,1.63,Simple/Overlapping,0.54,NW
138,155.41,119.65,8.37,1.67,Simple,0.54,NW
139,210.81,193.31,7.08,1.42,Simple,0.54,NE
140,296.73,355.8,7.72,1.54,Simple,0.53,SE
141,143.52,294.48,11.88,2.38,Simple/Overlapping,0.53,SW
142,171.88,106.48,8.25,1.65,Simple,0.53,NW
143,153.71,135.21,8.24,1.65,Simple,0.53,NW
144,157.21,63.53,9.75,1.95,Simple/Overlapping,0.52,NW
145,106.6,85.32,12.23,2.45,Simple/Overlapping,0.52,NW
146,113.53,291.11,8.63,1.73,Simple,0.51,SW
147,137.57,355.03,7.53,1.51,Simple,0.51,SW
148,124.34,376.79,14.93,2.99,Simple/Overlapping,0.5,SW
149,171.55,7.37,14.81,2.96,Simple,0.5,NW
150,246.51,231.32,7.18,1.44,Simple,0.5,SE
151,222.87,76.19,10.22,2.04,Simple,0.5,NE
152,241.21,130.54,11.49,2.3,Simple,0.5,NE
153,141.62,118.48,7.42,1.48,Simple,0.49,NW
154,282.13,295.32,7.77,1.55,Simple,0.49,SE
155,111.76,319.4,6.24,1.25,Simple,0.49,SW
156,182.17,323.81,8.84,1.77,Simple,0.49,SW
157,102.02,46.5,6.88,1.38,Simple,0.48,NW
158,210.73,58.06,10.38,2.08,Simple,0.48,NE
159,168.99,399.77,9.73,1.95,Simple,0.48,SW
160,145.38,186.32,12.63,2.53,Simple,0.48,NW
161,151.92,68.9,13.47,2.69,Simple/Overlapping,0.48,NW
162,135.25,162.04,7.32,1.46,Simple,0.47,NW
163,190.68,363.98,7.5,1.5,Simple,0.47,SW
164,168.87,246.17,6.44,1.29,Simple,0.47,SW
165,228.22,15.79,6.39,1.28,Simple,0.47,NE
166,319.94,375.23,6.47,1.29,Simple,0.47,SE
167,162.44,277.95,10.1,2.02,Simple,0.46,SW
168,277.57,111.05,8.35,1.67,Simple,0.46,NE
169,219.78,232.47,12.35,2.47,Simple/Overlapping,0.46,SE
170,106.45,342.52,8.49,1.7,Simple,0.45,SW
171,292.56,380.52,6.13,1.23,Simple,0.45,SE
172,162.4,188.79,8.23,1.65,Simple,0.45,NW
173,107.83,324.81,6.8,1.36,Simple,0.45,SW
174,300.26,127.77,7.04,1.41,Simple,0.44,NE
175,135.24,217.1,9.05,1.81,Simple,0.44,SW
