ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,272.03,268.2,45.33,9.07,Complex,0.94,SE
2,277.57,136.22,22.25,4.45,Complex,0.93,NE
3,200.42,281.15,19.3,3.86,Simple,0.93,SW
4,197.5,106.22,13.41,2.68,Simple,0.91,NW
5,96.65,253.46,15.16,3.03,Simple,0.9,SW
6,79.85,203.74,25.85,5.17,Complex,0.9,NW
7,151.7,153.93,16.84,3.37,Simple,0.9,NW
8,377.78,381.81,52.03,10.41,Complex,0.89,SE
9,289.5,374.09,11.27,2.25,Simple,0.89,SE
10,207.91,175.25,10.07,2.01,Simple,0.89,NW
11,172.59,393.37,10.83,2.17,Simple,0.88,SW
12,234.83,257.46,13.12,2.62,Simple,0.88,SE
13,177.23,308.46,10.38,2.08,Simple,0.87,SW
14,25.87,167.96,8.3,1.66,Simple,0.85,NW
15,32.64,287.82,8.66,1.73,Simple,0.85,SW
16,268.7,61.35,8.37,1.67,Simple,0.85,NE
17,202.98,83.54,10.17,2.03,Simple,0.84,NW
18,197.6,130.47,12.13,2.43,Simple,0.82,NW
19,315.04,14.98,15.85,3.17,Simple,0.82,NE
20,336.31,63.16,8.52,1.7,Simple,0.82,NE
21,62.22,239.38,27.35,5.47,Complex,0.81,SW
22,31.75,28.99,27.06,5.41,Complex,0.8,NW
23,305.94,98.5,8.49,1.7,Simple,0.8,NE
24,273.76,53.99,7.54,1.51,Simple,0.8,NE
25,216.23,132.21,12.69,2.54,Simple,0.79,NE
26,207.85,140.48,8.85,1.77,Simple,0.79,NW
27,233.22,137.18,15.92,3.18,Simple,0.78,NE
28,171.21,360.01,8.36,1.67,Simple,0.78,SW
29,218.74,205.35,6.6,1.32,Simple,0.78,NE
30,234.84,124.18,15.68,3.14,Simple,0.78,NE
31,116.44,321.12,8.13,1.63,Simple,0.76,SW
32,40.9,168.39,6.38,1.28,Simple,0.76,NW
33,53.1,72.76,46.82,9.36,Complex,0.76,NW
34,292.93,329.19,12.39,2.48,Simple,0.76,SE
35,293.75,27.83,14.37,2.87,Simple,0.76,NE
36,349.72,249.25,23.03,4.61,Complex/Overlapping,0.74,SE
37,275.67,349.76,17.18,3.44,Simple,0.74,SE
38,42.84,262.91,6.75,1.35,Simple,0.74,SW
39,124.5,409.97,11.97,2.39,Simple,0.72,SW
40,132.16,279.07,6.89,1.38,Simple,0.71,SW
41,343.87,50.08,6.63,1.33,Simple,0.71,NE
42,370.37,121.25,15.14,3.03,Simple,0.7,NE
43,33.7,243.4,10.62,2.12,Simple,0.7,SW
44,226.94,391.89,15.86,3.17,Simple,0.69,SE
45,124.01,326.05,12.54,2.51,Simple,0.68,SW
46,314.87,97.73,8.27,1.65,Simple,0.68,NE
47,390.34,218.23,13.84,2.77,Simple,0.67,SE
48,162.88,68.59,12.68,2.54,Simple,0.67,NW
49,66.72,169.91,10.97,2.19,Simple,0.63,NW
50,305.19,192.97,16.82,3.36,Simple,0.63,NE
51,304.04,154.09,21.61,4.32,Complex,0.63,NE
52,358.08,227.9,38.78,7.76,Complex/Overlapping,0.61,SE
