ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,221.6,88.15,47.54,9.51,Complex,0.92,NE
2,259.68,324.63,13.79,2.76,Simple,0.91,SE
3,333.83,85.41,9.72,1.94,Simple,0.91,NE
4,177.6,204.91,9.86,1.97,Simple,0.88,NW
5,108.17,374.5,10.88,2.18,Simple,0.88,SW
6,317.5,344.27,8.6,1.72,Simple,0.87,SE
7,164.33,139.54,7.54,1.51,Simple,0.87,NW
8,340.11,11.07,8.08,1.62,Simple,0.87,NE
9,182.23,67.84,9.23,1.85,Simple,0.86,NW
10,83.37,54.34,7.13,1.43,Simple,0.83,NW
11,283.59,15.24,9.16,1.83,Simple,0.83,NE
12,292.23,310.96,8.82,1.76,Simple,0.82,SE
13,178.13,81.68,7.67,1.53,Simple,0.82,NW
14,173.94,351.33,7.64,1.53,Simple,0.81,SW
15,315.22,48.37,12.69,2.54,Simple,0.8,NE
16,294.19,54.21,12.85,2.57,Simple,0.8,NE
17,64.04,393.02,5.8,1.16,Simple,0.77,SW
18,159.58,150.81,7.6,1.52,Simple,0.75,NW
19,272.71,313.11,8.16,1.63,Simple,0.75,SE
20,249.27,55.07,20.25,4.05,Complex/Overlapping,0.73,NE
21,206.97,6.12,6.32,1.26,Simple,0.73,NW
22,302.06,112.43,8.3,1.66,Simple,0.72,NE
23,99.0,406.49,5.88,1.18,Simple,0.7,SW
24,93.69,100.15,7.0,1.4,Simple,0.66,NW
25,240.3,51.53,26.43,5.29,Complex/Overlapping,0.66,NE
26,214.2,14.03,6.73,1.35,Simple,0.64,NE
27,309.71,147.51,6.5,1.3,Simple,0.64,NE
28,273.06,323.39,9.77,1.95,Simple,0.62,SE
29,107.63,39.79,5.46,1.09,Simple,0.59,NW
30,346.94,388.59,17.48,3.5,Simple,0.58,SE
31,156.3,15.31,5.7,1.14,Simple,0.55,NW
32,290.6,220.37,24.6,4.92,Complex,0.53,SE
33,70.47,258.29,6.09,1.22,Simple,0.52,SW
34,266.14,81.08,7.0,1.4,Simple,0.51,NE
35,66.43,42.02,5.81,1.16,Simple,0.48,NW
36,329.1,75.7,6.88,1.38,Simple,0.48,NE
37,314.09,118.09,8.75,1.75,Simple,0.47,NE
38,101.21,164.01,6.44,1.29,Simple,0.47,NW
39,254.1,315.15,6.52,1.3,Simple,0.42,SE
40,206.38,28.84,6.37,1.27,Simple,0.41,NW
41,126.11,88.69,5.7,1.14,Simple,0.4,NW
42,209.3,398.3,6.33,1.27,Simple,0.39,SE
43,276.11,102.86,8.52,1.7,Simple,0.39,NE
44,172.51,400.58,6.21,1.24,Simple,0.38,SW
45,143.81,354.62,5.24,1.05,Simple,0.36,SW
46,295.3,124.49,20.23,4.05,Complex,0.36,NE
47,242.86,333.19,6.73,1.35,Simple,0.35,SE
48,255.4,127.04,48.42,9.68,Complex,0.35,NE
49,316.92,365.61,44.97,8.99,Complex,0.31,SE
50,347.22,405.78,18.88,3.78,Simple,0.31,SE
51,230.36,22.61,5.99,1.2,Simple,0.31,NE
52,267.25,199.04,32.43,6.49,Complex,0.31,NE
53,248.73,60.27,13.92,2.78,Simple/Overlapping,0.3,NE
54,121.25,99.4,5.21,1.04,Simple,0.26,NW
55,253.02,414.23,6.47,1.29,Degraded,0.26,SE
56,319.88,153.69,6.3,1.26,Simple,0.25,NE
