ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,133.49,233.02,19.35,3.87,Simple,0.92,SW
2,258.65,372.61,9.71,1.94,Simple,0.92,SE
3,162.66,9.35,11.67,2.33,Simple,0.92,NW
4,180.29,25.09,8.69,1.74,Simple,0.9,NW
5,114.84,364.68,10.7,2.14,Simple,0.9,SW
6,112.85,102.94,8.01,1.6,Simple,0.9,NW
7,347.98,202.35,11.32,2.26,Simple,0.9,NE
8,360.85,59.93,8.86,1.77,Simple,0.88,NE
9,69.08,171.24,10.79,2.16,Simple,0.88,NW
10,248.16,16.96,13.4,2.68,Simple,0.88,NE
11,84.5,386.96,8.44,1.69,Simple,0.87,SW
12,103.13,178.51,7.47,1.49,Simple,0.85,NW
13,50.56,68.42,8.01,1.6,Simple,0.85,NW
14,162.8,26.57,6.72,1.34,Simple,0.85,NW
15,64.59,143.02,7.16,1.43,Simple,0.83,NW
16,173.1,97.48,7.55,1.51,Simple,0.83,NW
17,37.94,234.51,21.98,4.4,Complex,0.82,SW
18,51.49,9.24,43.78,8.76,Degraded,0.81,NW
19,137.13,26.57,6.86,1.37,Simple,0.81,NW
20,101.18,61.87,6.99,1.4,Simple,0.79,NW
21,46.68,117.39,11.33,2.27,Simple,0.79,NW
22,180.78,288.96,7.46,1.49,Simple,0.78,SW
23,148.08,382.25,8.22,1.64,Simple,0.76,SW
24,47.05,57.64,8.57,1.71,Simple,0.76,NW
25,337.33,30.39,82.31,16.46,Degraded,0.76,NE
26,287.3,134.85,9.48,1.9,Simple,0.75,NE
27,108.63,294.83,9.44,1.89,Simple,0.74,SW
28,115.4,205.75,7.81,1.56,Simple,0.74,NW
29,39.17,274.6,7.4,1.48,Simple,0.68,SW
30,159.59,76.28,7.3,1.46,Simple,0.67,NW
31,83.5,297.2,5.7,1.14,Simple,0.66,SW
32,84.74,74.32,7.27,1.45,Simple,0.64,NW
33,265.89,297.57,6.62,1.32,Simple,0.63,SE
34,274.65,304.81,6.21,1.24,Simple,0.63,SE
35,108.43,410.47,9.25,1.85,Simple,0.63,SW
36,237.37,23.98,8.43,1.69,Simple,0.61,NE
37,234.66,137.98,26.88,5.38,Complex,0.61,NE
38,308.45,355.2,6.79,1.36,Simple,0.6,SE
39,271.1,210.06,6.36,1.27,Simple,0.6,SE
40,201.97,275.35,7.82,1.56,Simple,0.59,SW
41,263.87,17.81,19.2,3.84,Simple,0.58,NE
42,29.58,181.52,20.72,4.14,Complex,0.56,NW
43,82.66,46.9,8.88,1.78,Simple,0.54,NW
44,223.99,251.94,6.93,1.39,Simple,0.53,SE
45,146.24,91.48,6.04,1.21,Simple,0.51,NW
46,107.27,272.05,5.66,1.13,Simple,0.5,SW
47,168.35,23.47,6.78,1.36,Simple,0.49,NW
48,141.53,2.83,5.73,1.15,Simple,0.48,NW
49,142.89,202.74,7.15,1.43,Simple,0.47,NW
50,148.97,389.35,6.69,1.34,Simple,0.46,SW
51,49.28,43.11,5.3,1.06,Simple,0.45,NW
52,296.99,133.4,5.61,1.12,Simple,0.44,NE
53,247.07,312.39,6.35,1.27,Simple,0.44,SE
54,311.11,156.32,5.87,1.17,Simple,0.41,NE
55,383.98,125.26,5.65,1.13,Simple,0.41,NE
56,235.92,78.73,27.25,5.45,Complex,0.4,NE
57,357.61,371.63,6.04,1.21,Simple,0.39,SE
58,27.87,6.07,5.54,1.11,Simple,0.38,NW
59,271.63,219.9,6.56,1.31,Simple,0.37,SE
60,271.93,232.43,5.86,1.17,Simple,0.37,SE
61,171.04,243.78,6.17,1.23,Simple,0.37,SW
62,35.91,128.1,17.91,3.58,Simple,0.36,NW
63,42.36,383.28,19.26,3.85,Simple,0.35,SW
64,31.27,20.68,6.01,1.2,Simple,0.35,NW
65,224.01,410.4,8.14,1.63,Simple,0.34,SE
66,176.2,131.27,5.7,1.14,Simple,0.34,NW
67,62.74,119.53,6.74,1.35,Simple,0.33,NW
68,335.69,284.52,8.45,1.69,Simple,0.32,SE
69,168.65,117.71,7.48,1.5,Simple,0.31,NW
70,283.85,204.91,5.66,1.13,Simple,0.3,NE
71,34.62,155.23,25.45,5.09,Complex,0.29,NW
72,294.44,386.09,40.81,8.16,Complex,0.29,SE
73,279.25,356.33,27.01,5.4,Complex,0.28,SE
74,233.87,256.58,5.62,1.12,Simple,0.25,SE
75,59.03,270.02,20.35,4.07,Complex,0.25,SW
