ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,451.61,398.07,20.19,4.04,Complex,0.75,NW
2,554.76,413.69,21.23,4.25,Complex,0.74,NE
3,15.1,881.08,28.98,5.8,Complex,0.71,SW
4,251.91,122.49,22.78,4.56,Complex,0.63,NW
5,647.99,869.97,14.22,2.84,Simple,0.62,SE
6,695.19,525.64,16.47,3.29,Simple,0.56,SE
7,514.78,22.08,20.23,4.05,Complex,0.56,NE
8,896.37,40.9,77.82,15.56,Complex,0.54,NE
9,254.65,1026.82,39.71,7.94,Degraded,0.53,SW
10,636.08,229.29,18.25,3.65,Simple,0.51,NE
11,310.22,64.35,22.19,4.44,Complex,0.5,NW
12,169.53,953.4,54.66,10.93,Complex,0.48,SW
13,152.64,1025.7,35.2,7.04,Complex,0.47,SW
14,664.92,412.34,24.68,4.94,Complex,0.47,NE
15,61.29,485.81,18.54,3.71,Simple,0.42,NW
16,302.2,253.32,18.63,3.73,Simple,0.42,NW
17,915.84,219.6,12.72,2.54,Simple,0.42,NE
18,251.11,740.01,12.42,2.48,Simple,0.41,SW
19,171.28,887.14,20.1,4.02,Complex,0.39,SW
20,158.56,811.79,21.31,4.26,Complex,0.39,SW
21,35.31,560.09,19.09,3.82,Simple,0.37,SW
22,26.86,762.68,28.21,5.64,Complex,0.36,SW
23,713.53,489.07,17.05,3.41,Simple,0.36,NE
24,320.95,241.2,20.3,4.06,Complex,0.35,NW
25,186.46,895.67,15.61,3.12,Simple,0.33,SW
26,28.23,608.18,61.79,12.36,Complex,0.33,SW
27,120.4,79.97,15.45,3.09,Simple,0.32,NW
28,40.86,895.29,22.85,4.57,Complex,0.32,SW
29,260.65,20.95,43.37,8.67,Complex,0.31,NW
30,262.35,981.68,19.61,3.92,Simple,0.3,SW
31,338.61,784.24,12.92,2.58,Simple,0.3,SW
32,803.62,942.04,24.14,4.83,Complex,0.3,SE
33,751.69,783.21,18.81,3.76,Simple,0.3,SE
34,902.64,566.87,45.94,9.19,Complex,0.3,SE
35,290.12,1025.91,40.22,8.04,Complex,0.29,SW
36,153.38,31.67,25.2,5.04,Complex,0.29,NW
37,911.16,479.37,33.55,6.71,Complex,0.28,NE
38,14.51,507.71,30.09,6.02,Complex,0.27,NW
39,721.69,1017.21,12.9,2.58,Simple,0.27,SE
40,570.29,1000.02,15.48,3.1,Simple,0.26,SE
41,580.54,320.31,12.52,2.5,Simple,0.26,NE
42,595.78,945.57,97.91,19.58,Complex,0.26,SE
43,621.69,1031.84,30.52,6.1,Degraded,0.26,SE
44,326.62,799.44,12.96,2.59,Simple,0.25,SW
