ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,254.04,347.87,14.24,2.85,Simple,0.93,SE
2,79.88,342.66,19.31,3.86,Simple,0.93,SW
3,276.39,386.3,17.03,3.41,Simple,0.93,SE
4,213.55,201.48,22.08,4.42,Complex,0.93,NE
5,68.63,129.74,18.25,3.65,Simple,0.92,NW
6,306.5,59.72,10.3,2.06,Simple,0.92,NE
7,188.27,248.45,14.41,2.88,Simple,0.92,SW
8,372.76,81.55,12.83,2.57,Simple,0.92,NE
9,89.12,273.01,9.6,1.92,Simple,0.92,SW
10,172.3,404.95,18.44,3.69,Simple,0.92,SW
11,61.26,345.93,10.17,2.03,Simple,0.91,SW
12,331.94,291.83,14.63,2.93,Simple,0.91,SE
13,12.51,266.76,9.76,1.95,Simple,0.91,SW
14,186.27,223.48,13.5,2.7,Simple,0.91,SW
15,302.63,377.41,7.48,1.5,Simple,0.9,SE
16,350.08,158.39,8.2,1.64,Simple,0.9,NE
17,25.36,361.2,10.24,2.05,Simple,0.9,SW
18,175.5,376.57,12.02,2.4,Simple,0.9,SW
19,299.94,282.54,13.27,2.65,Simple,0.9,SE
20,236.32,362.1,11.43,2.29,Simple,0.9,SE
21,14.77,190.19,15.33,3.07,Simple,0.9,NW
22,87.37,371.23,9.79,1.96,Simple,0.9,SW
23,364.58,159.18,8.42,1.68,Simple,0.89,NE
24,362.61,99.18,10.18,2.04,Simple,0.89,NE
25,292.0,406.83,15.06,3.01,Simple,0.89,SE
26,97.89,134.92,15.36,3.07,Simple,0.89,NW
27,145.64,263.52,10.54,2.11,Simple,0.89,SW
28,341.44,149.19,10.68,2.14,Simple,0.89,NE
29,154.94,300.41,12.71,2.54,Simple,0.89,SW
30,107.88,299.31,9.91,1.98,Simple,0.89,SW
31,289.66,40.57,10.15,2.03,Simple/Overlapping,0.89,NE
32,240.59,120.96,9.78,1.96,Simple,0.88,NE
33,299.64,46.01,13.55,2.71,Simple/Overlapping,0.88,NE
34,137.05,299.33,16.08,3.22,Simple,0.88,SW
35,153.91,110.48,13.79,2.76,Simple,0.88,NW
36,347.61,235.7,16.1,3.22,Simple,0.88,SE
37,311.63,83.29,8.16,1.63,Simple,0.88,NE
38,391.9,258.27,9.46,1.89,Simple,0.88,SE
39,378.65,54.65,9.08,1.82,Simple,0.88,NE
40,328.45,120.45,10.3,2.06,Simple,0.88,NE
41,353.74,301.48,9.07,1.81,Simple,0.87,SE
42,22.64,116.1,13.69,2.74,Simple,0.87,NW
43,151.22,380.12,11.13,2.23,Simple,0.87,SW
44,195.0,352.79,8.41,1.68,Simple,0.87,SW
45,403.68,258.98,12.55,2.51,Simple,0.87,SE
46,157.09,341.87,9.83,1.97,Simple,0.87,SW
47,13.89,11.11,16.58,3.32,Simple,0.87,NW
48,353.94,332.79,7.79,1.56,Simple,0.86,SE
49,183.89,341.72,9.14,1.83,Simple,0.86,SW
50,349.01,134.74,9.55,1.91,Simple,0.86,NE
51,324.31,76.01,16.14,3.23,Simple,0.86,NE
52,269.78,169.64,8.15,1.63,Simple,0.86,NE
53,369.94,214.86,9.78,1.96,Simple,0.86,SE
54,117.84,329.78,8.31,1.66,Simple,0.86,SW
55,219.66,333.19,8.87,1.77,Simple,0.85,SE
56,309.28,289.06,8.38,1.68,Simple,0.85,SE
57,246.48,46.34,10.29,2.06,Simple,0.85,NE
58,307.63,39.61,9.04,1.81,Simple,0.84,NE
59,170.01,367.61,9.04,1.81,Simple/Overlapping,0.84,SW
60,240.44,36.43,9.93,1.99,Simple,0.84,NE
61,366.15,75.18,8.03,1.61,Simple,0.84,NE
62,37.95,316.76,8.34,1.67,Simple,0.83,SW
63,117.37,384.06,10.48,2.1,Simple,0.83,SW
64,245.42,90.7,8.58,1.72,Simple,0.83,NE
65,209.04,235.23,7.38,1.48,Simple,0.82,SE
66,246.14,370.42,9.27,1.85,Simple,0.82,SE
67,195.32,219.0,7.23,1.45,Simple,0.81,SW
68,20.96,321.8,9.96,1.99,Simple,0.81,SW
69,126.47,404.37,7.34,1.47,Simple,0.81,SW
70,21.85,342.19,22.58,4.52,Complex,0.8,SW
71,231.99,183.91,9.07,1.81,Simple,0.78,NE
72,258.69,329.44,8.4,1.68,Simple,0.78,SE
73,227.35,138.57,8.76,1.75,Simple,0.77,NE
74,56.19,253.99,7.8,1.56,Simple,0.76,SW
75,292.52,231.23,7.42,1.48,Simple,0.76,SE
76,363.29,392.46,13.81,2.76,Simple/Overlapping,0.76,SE
77,367.16,273.35,7.34,1.47,Simple,0.75,SE
78,216.87,165.18,9.43,1.89,Simple,0.74,NE
79,333.86,92.14,6.25,1.25,Simple,0.74,NE
80,44.19,63.61,9.83,1.97,Simple,0.73,NW
81,81.11,391.31,7.42,1.48,Simple,0.72,SW
82,378.9,70.68,8.33,1.67,Simple,0.71,NE
83,384.67,295.57,7.7,1.54,Simple,0.71,SE
84,146.19,40.82,118.86,23.77,Degraded,0.71,NW
85,202.56,403.58,8.44,1.69,Simple,0.7,SW
86,374.89,152.59,8.81,1.76,Simple,0.7,NE
87,104.8,372.93,6.56,1.31,Simple,0.7,SW
88,361.93,387.13,14.98,3.0,Simple/Overlapping,0.69,SE
89,129.97,226.14,7.57,1.51,Simple,0.69,SW
90,36.64,132.07,7.88,1.58,Simple,0.69,NW
91,204.12,378.86,8.89,1.78,Simple,0.69,SW
92,120.59,350.38,8.86,1.77,Simple,0.68,SW
93,239.37,252.87,7.8,1.56,Simple,0.68,SE
94,169.28,217.45,7.93,1.59,Simple,0.68,SW
95,19.6,89.45,7.33,1.47,Simple,0.68,NW
96,134.9,245.78,7.99,1.6,Simple,0.67,SW
97,270.12,24.25,7.36,1.47,Simple,0.67,NE
98,150.52,221.25,11.24,2.25,Simple,0.66,SW
99,134.49,347.23,6.9,1.38,Simple,0.66,SW
100,242.35,148.59,9.19,1.84,Simple,0.65,NE
101,318.22,31.68,17.51,3.5,Simple,0.65,NE
102,358.14,189.64,9.9,1.98,Simple,0.65,NE
103,207.47,315.09,7.49,1.5,Simple,0.63,SW
104,85.93,331.14,7.59,1.52,Simple,0.63,SW
105,360.49,385.02,12.63,2.53,Simple/Overlapping,0.63,SE
106,61.67,300.32,9.96,1.99,Simple,0.63,SW
107,293.27,239.11,7.25,1.45,Simple,0.62,SE
108,286.17,10.54,6.76,1.35,Simple,0.62,NE
109,255.92,316.62,8.61,1.72,Simple,0.6,SE
110,222.57,172.47,8.17,1.63,Simple,0.6,NE
111,338.2,388.02,6.27,1.25,Simple,0.6,SE
112,323.51,223.68,8.05,1.61,Simple,0.6,SE
113,389.59,168.54,7.46,1.49,Simple,0.6,NE
114,229.3,354.81,9.53,1.91,Simple,0.57,SE
115,300.97,116.14,6.85,1.37,Simple,0.57,NE
116,137.35,382.04,13.3,2.66,Simple,0.56,SW
117,347.16,266.06,7.56,1.51,Simple,0.56,SE
118,14.99,310.71,13.09,2.62,Simple,0.55,SW
119,137.82,229.56,7.8,1.56,Simple/Overlapping,0.55,SW
120,380.96,160.84,10.28,2.06,Simple,0.55,NE
121,174.03,342.32,6.75,1.35,Simple,0.54,SW
122,405.34,131.85,6.7,1.34,Simple,0.54,NE
123,159.8,235.68,6.6,1.32,Simple,0.53,SW
124,363.52,210.39,7.5,1.5,Simple,0.53,SE
125,306.8,413.19,15.92,3.18,Degraded,0.53,SE
126,307.9,182.28,7.88,1.58,Simple,0.52,NE
127,373.77,380.09,7.59,1.52,Simple,0.52,SE
128,378.86,388.28,10.5,2.1,Simple,0.51,SE
