ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,110.89,119.58,26.03,5.21,Complex,0.95,NW
2,378.04,57.18,58.07,11.61,Complex,0.94,NE
3,303.29,257.93,11.44,2.29,Simple,0.93,SE
4,260.53,354.02,21.19,4.24,Complex,0.93,SE
5,335.5,382.07,10.96,2.19,Simple,0.92,SE
6,70.28,234.24,23.91,4.78,Complex,0.92,SW
7,194.02,160.69,10.7,2.14,Simple,0.91,NW
8,148.79,249.64,11.7,2.34,Simple,0.91,SW
9,219.91,163.22,9.02,1.8,Simple,0.91,NE
10,93.52,357.73,18.48,3.7,Simple,0.91,SW
11,316.22,16.08,8.47,1.69,Simple,0.91,NE
12,68.06,205.67,19.02,3.8,Simple,0.91,NW
13,134.13,80.23,12.23,2.45,Simple,0.9,NW
14,222.18,316.12,10.5,2.1,Simple,0.9,SE
15,234.61,332.1,11.73,2.35,Simple,0.9,SE
16,109.36,180.93,10.7,2.14,Simple,0.9,NW
17,100.83,46.32,62.44,12.49,Complex,0.9,NW
18,308.52,290.24,7.26,1.45,Simple,0.89,SE
19,87.94,339.99,16.01,3.2,Simple/Overlapping,0.89,SW
20,395.06,365.02,20.25,4.05,Complex,0.89,SE
21,358.5,165.79,10.1,2.02,Simple,0.89,NE
22,277.1,185.92,7.23,1.45,Simple,0.88,NE
23,349.97,286.26,9.05,1.81,Simple,0.88,SE
24,122.36,72.45,9.5,1.9,Simple,0.88,NW
25,66.75,323.03,33.84,6.77,Complex,0.88,SW
26,80.45,252.43,18.11,3.62,Simple,0.88,SW
27,289.7,143.78,13.25,2.65,Simple,0.88,NE
28,146.63,212.48,8.43,1.69,Simple,0.87,SW
29,360.35,189.85,7.57,1.51,Simple,0.87,NE
30,31.35,122.89,18.4,3.68,Simple,0.87,NW
31,145.12,86.88,12.07,2.41,Simple,0.87,NW
32,160.02,374.12,84.32,16.86,Complex,0.87,SW
33,264.68,204.94,8.13,1.63,Simple,0.87,NE
34,136.01,166.37,8.13,1.63,Simple,0.87,NW
35,112.72,140.68,12.89,2.58,Simple,0.87,NW
36,148.52,303.84,29.58,5.92,Complex,0.87,SW
37,197.74,130.98,7.68,1.54,Simple,0.86,NW
38,14.24,99.34,7.84,1.57,Simple,0.86,NW
39,227.0,300.64,7.1,1.42,Simple,0.86,SE
40,336.99,3.95,8.85,1.77,Simple,0.86,NE
41,223.41,342.96,7.92,1.58,Simple,0.86,SE
42,104.71,203.86,7.8,1.56,Simple,0.85,NW
43,161.8,210.51,8.29,1.66,Simple,0.85,SW
44,11.53,157.18,12.53,2.51,Simple,0.85,NW
45,268.22,333.61,7.54,1.51,Simple,0.85,SE
46,335.63,157.42,7.06,1.41,Simple,0.84,NE
47,38.27,332.09,31.9,6.38,Complex/Overlapping,0.84,SW
48,405.08,75.3,8.48,1.7,Simple,0.84,NE
49,236.34,168.8,7.87,1.57,Simple,0.82,NE
50,276.76,172.52,9.19,1.84,Simple,0.82,NE
51,110.37,221.24,8.38,1.68,Simple,0.82,SW
52,81.23,158.06,12.13,2.43,Simple,0.82,NW
53,244.14,324.67,9.27,1.85,Simple,0.82,SE
54,77.67,346.04,11.68,2.34,Simple/Overlapping,0.82,SW
55,158.91,115.16,7.68,1.54,Simple,0.82,NW
56,282.35,326.25,7.15,1.43,Simple,0.81,SE
57,372.44,185.09,7.2,1.44,Simple,0.81,NE
58,246.08,257.51,7.29,1.46,Simple,0.81,SE
59,246.06,332.83,9.33,1.87,Simple,0.81,SE
60,136.26,148.96,6.65,1.33,Simple,0.79,NW
61,249.28,177.27,7.04,1.41,Simple,0.78,NE
62,279.31,332.2,7.81,1.56,Simple,0.78,SE
63,236.15,95.39,8.02,1.6,Simple,0.78,NE
64,155.62,215.06,9.06,1.81,Simple/Overlapping,0.77,SW
65,33.21,293.99,42.14,8.43,Complex,0.75,SW
66,285.69,221.84,6.76,1.35,Simple,0.75,SE
67,122.18,335.51,6.51,1.3,Simple,0.74,SW
68,261.83,328.49,7.75,1.55,Simple,0.74,SE
69,299.23,93.91,8.32,1.66,Simple,0.73,NE
70,274.88,248.58,6.74,1.35,Simple,0.73,SE
71,281.15,356.25,6.35,1.27,Simple,0.72,SE
72,34.86,344.88,19.92,3.98,Simple/Overlapping,0.72,SW
73,301.48,185.22,6.61,1.32,Simple,0.69,NE
74,407.55,201.42,6.13,1.23,Simple,0.68,NE
75,182.1,345.0,12.09,2.42,Simple,0.68,SW
76,59.85,18.89,32.91,6.58,Complex/Overlapping,0.67,NW
77,329.82,189.94,6.05,1.21,Simple,0.66,NE
78,56.73,342.69,11.7,2.34,Simple,0.66,SW
79,333.14,252.42,5.99,1.2,Simple,0.66,SE
80,62.26,389.39,7.11,1.42,Simple,0.66,SW
81,261.15,398.72,6.52,1.3,Simple,0.66,SE
82,189.74,285.2,6.71,1.34,Simple,0.65,SW
83,287.31,353.5,6.03,1.21,Simple,0.64,SE
84,251.42,118.8,6.65,1.33,Simple,0.63,NE
85,300.78,147.47,5.75,1.15,Simple,0.63,NE
86,33.59,5.77,18.1,3.62,Degraded,0.63,NW
87,6.91,145.0,12.87,2.57,Simple,0.62,NW
88,159.27,277.24,5.61,1.12,Simple,0.61,SW
89,164.13,268.41,5.96,1.19,Simple,0.6,SW
90,289.17,72.8,6.38,1.28,Simple,0.6,NE
91,105.08,319.72,7.51,1.5,Simple,0.6,SW
92,132.09,315.06,8.65,1.73,Simple,0.59,SW
93,281.24,139.4,6.78,1.36,Simple,0.58,NE
94,164.39,287.52,6.28,1.26,Simple,0.58,SW
95,353.93,303.59,6.0,1.2,Simple,0.58,SE
96,362.29,87.56,5.74,1.15,Simple,0.56,NE
97,129.11,129.52,6.13,1.23,Simple,0.55,NW
98,304.33,347.95,5.8,1.16,Simple,0.54,SE
99,364.13,264.41,6.7,1.34,Simple,0.52,SE
100,87.71,283.48,39.47,7.89,Complex/Overlapping,0.52,SW
101,169.24,236.68,6.45,1.29,Simple,0.52,SW
102,27.71,159.17,5.83,1.17,Simple,0.52,NW
103,246.95,81.57,6.39,1.28,Simple,0.51,NE
