ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,122.94,148.54,11.1,2.22,Simple,0.94,NW
2,209.6,108.86,24.47,4.89,Complex,0.94,NE
3,236.55,341.82,30.2,6.04,Complex,0.93,SE
4,131.26,191.68,15.99,3.2,Simple,0.92,NW
5,287.65,321.21,52.41,10.48,Complex,0.92,SE
6,87.4,137.68,9.27,1.85,Simple,0.92,NW
7,316.26,257.76,40.01,8.0,Complex,0.91,SE
8,137.19,46.07,10.64,2.13,Simple,0.91,NW
9,351.41,323.86,8.58,1.72,Simple,0.9,SE
10,60.92,253.54,11.45,2.29,Simple,0.9,SW
11,311.08,350.73,9.58,1.92,Simple,0.9,SE
12,38.88,301.5,10.68,2.14,Simple,0.9,SW
13,327.75,110.65,15.07,3.01,Simple,0.89,NE
14,251.31,387.32,40.65,8.13,Complex,0.89,SE
15,326.66,196.19,14.18,2.84,Simple,0.89,NE
16,372.66,282.39,7.68,1.54,Simple,0.89,SE
17,271.7,173.5,14.2,2.84,Simple,0.89,NE
18,91.38,296.94,9.08,1.82,Simple,0.89,SW
19,194.15,327.09,19.7,3.94,Simple,0.89,SW
20,104.01,259.78,8.53,1.71,Simple,0.89,SW
21,315.89,219.62,9.95,1.99,Simple,0.89,SE
22,63.78,195.82,9.02,1.8,Simple,0.88,NW
23,79.97,275.23,8.41,1.68,Simple,0.88,SW
24,300.14,61.52,8.3,1.66,Simple,0.88,NE
25,106.32,296.37,12.25,2.45,Simple,0.88,SW
26,98.73,286.73,8.67,1.73,Simple,0.88,SW
27,191.44,23.48,9.73,1.95,Simple/Overlapping,0.88,NW
28,130.21,28.4,13.28,2.66,Simple,0.88,NW
29,134.31,103.26,13.75,2.75,Simple,0.88,NW
30,109.06,193.23,9.46,1.89,Simple,0.87,NW
31,354.17,90.22,12.3,2.46,Simple,0.87,NE
32,86.15,176.6,9.66,1.93,Simple,0.87,NW
33,358.65,268.47,8.74,1.75,Simple,0.87,SE
34,345.3,104.34,26.56,5.31,Complex,0.87,NE
35,323.05,131.1,14.5,2.9,Simple,0.87,NE
36,289.7,102.49,13.52,2.7,Simple,0.87,NE
37,109.26,206.31,10.3,2.06,Simple,0.87,NW
38,68.35,277.86,8.12,1.62,Simple,0.87,SW
39,337.75,86.34,17.09,3.42,Simple,0.86,NE
40,95.52,151.17,13.36,2.67,Simple,0.86,NW
41,114.32,216.87,9.88,1.98,Simple,0.86,SW
42,349.36,382.74,24.81,4.96,Complex,0.86,SE
43,111.38,338.59,13.39,2.68,Simple,0.86,SW
44,86.4,185.58,8.84,1.77,Simple,0.86,NW
45,370.24,260.19,8.8,1.76,Simple,0.86,SE
46,260.05,87.86,14.47,2.89,Simple,0.86,NE
47,219.46,147.34,12.51,2.5,Simple,0.85,NE
48,46.71,359.54,31.0,6.2,Complex,0.84,SW
49,207.08,369.33,8.29,1.66,Simple,0.84,SW
50,87.54,272.35,7.42,1.48,Simple,0.84,SW
51,358.04,182.05,26.12,5.22,Complex,0.84,NE
52,271.32,83.19,8.55,1.71,Simple,0.83,NE
53,153.52,197.58,7.21,1.44,Simple,0.83,NW
54,251.17,209.69,11.59,2.32,Simple/Overlapping,0.83,SE
55,94.15,84.36,7.9,1.58,Simple,0.83,NW
56,304.07,279.35,10.34,2.07,Simple,0.83,SE
57,124.18,69.94,23.97,4.79,Complex,0.82,NW
58,224.72,99.55,9.2,1.84,Simple,0.82,NE
59,255.04,127.23,10.3,2.06,Simple,0.82,NE
60,265.0,232.05,11.68,2.34,Simple,0.82,SE
61,336.64,126.1,16.11,3.22,Simple,0.82,NE
62,50.73,192.99,7.14,1.43,Simple,0.81,NW
63,43.48,406.05,15.62,3.12,Simple,0.81,SW
64,173.51,303.34,55.92,11.18,Complex/Overlapping,0.8,SW
65,270.68,120.02,11.17,2.23,Simple,0.8,NE
66,88.62,206.42,11.97,2.39,Simple/Overlapping,0.79,NW
67,198.17,398.74,82.91,16.58,Degraded,0.79,SW
68,123.1,50.36,6.97,1.39,Simple,0.79,NW
69,56.05,168.73,8.68,1.74,Simple,0.79,NW
70,173.34,87.08,18.72,3.74,Simple/Overlapping,0.79,NW
71,293.91,357.24,7.23,1.45,Simple,0.79,SE
72,346.05,142.5,8.05,1.61,Simple/Overlapping,0.78,NE
73,86.91,379.42,14.15,2.83,Simple,0.77,SW
74,137.11,248.52,7.13,1.43,Simple,0.77,SW
75,332.72,138.61,9.27,1.85,Simple,0.77,NE
76,236.16,159.75,7.28,1.46,Simple,0.76,NE
77,70.5,262.4,6.92,1.38,Simple,0.76,SW
78,246.52,118.99,7.01,1.4,Simple,0.76,NE
79,199.9,185.71,6.24,1.25,Simple,0.75,NW
80,129.52,156.33,6.78,1.36,Simple/Overlapping,0.75,NW
81,155.94,178.6,6.38,1.28,Simple,0.73,NW
82,114.54,264.32,6.72,1.34,Simple,0.72,SW
83,281.71,192.93,11.36,2.27,Simple,0.71,NE
84,236.38,102.4,12.4,2.48,Simple,0.71,NE
85,138.64,176.07,6.84,1.37,Simple,0.7,NW
86,335.18,240.7,6.69,1.34,Simple,0.69,SE
87,199.3,18.25,7.37,1.47,Simple,0.69,NW
88,209.43,32.58,7.18,1.44,Simple,0.68,NE
89,349.64,256.65,18.77,3.75,Simple,0.67,SE
90,255.11,261.59,19.55,3.91,Simple,0.67,SE
91,62.4,203.41,96.09,19.22,Degraded,0.67,NW
92,283.86,12.03,10.02,2.0,Simple,0.67,NE
93,197.16,74.69,12.74,2.55,Simple,0.67,NW
94,301.66,178.2,8.05,1.61,Simple,0.66,NE
95,302.65,146.42,15.84,3.17,Simple,0.66,NE
96,339.22,369.57,7.6,1.52,Simple,0.66,SE
97,191.54,181.23,6.02,1.2,Simple,0.66,NW
98,210.42,320.37,13.09,2.62,Simple,0.66,SE
99,293.66,159.77,10.26,2.05,Simple,0.66,NE
100,348.83,134.21,7.38,1.48,Simple,0.65,NE
101,47.92,218.55,7.55,1.51,Simple,0.65,SW
102,283.06,78.53,9.58,1.92,Simple,0.65,NE
103,224.11,392.32,15.83,3.17,Simple,0.65,SE
104,339.45,304.24,5.77,1.15,Simple,0.64,SE
105,129.56,167.46,6.03,1.21,Simple,0.64,NW
106,215.73,86.77,8.1,1.62,Simple,0.64,NE
107,144.93,93.29,7.3,1.46,Simple,0.63,NW
108,192.34,32.07,13.59,2.72,Simple/Overlapping,0.63,NW
109,53.52,390.21,8.4,1.68,Simple,0.63,SW
110,237.95,115.56,7.53,1.51,Simple/Overlapping,0.63,NE
111,186.92,271.31,6.36,1.27,Simple,0.61,SW
112,90.19,200.84,7.09,1.42,Simple/Overlapping,0.61,NW
113,214.47,163.5,8.89,1.78,Simple,0.61,NE
114,366.46,243.09,6.26,1.25,Simple,0.61,SE
115,321.17,157.94,13.03,2.61,Simple,0.61,NE
116,243.85,260.72,5.72,1.14,Simple,0.6,SE
117,149.07,219.02,6.27,1.25,Simple,0.6,SW
118,83.17,247.54,6.18,1.24,Simple,0.6,SW
119,254.42,119.72,6.49,1.3,Simple,0.59,NE
120,71.17,270.53,6.79,1.36,Simple,0.59,SW
121,304.37,188.25,9.83,1.97,Simple,0.58,NE
122,360.59,288.17,6.34,1.27,Simple,0.58,SE
123,52.62,111.37,5.55,1.11,Simple,0.58,NW
124,164.88,78.49,15.57,3.11,Simple/Overlapping,0.58,NW
125,91.6,95.21,8.44,1.69,Simple,0.56,NW
126,340.46,154.7,18.27,3.65,Simple,0.56,NE
127,66.98,34.08,6.72,1.34,Simple,0.55,NW
128,81.32,143.58,5.19,1.04,Simple,0.55,NW
129,83.02,119.92,5.75,1.15,Simple,0.53,NW
130,362.31,122.71,25.46,5.09,Complex,0.53,NE
131,240.4,211.9,9.05,1.81,Simple,0.51,SE
132,105.68,67.98,7.62,1.52,Simple/Overlapping,0.5,NW
133,356.75,300.07,4.93,0.99,Simple,0.5,SE
134,72.32,73.65,8.18,1.64,Simple,0.5,NW
135,362.34,49.02,5.56,1.11,Simple,0.5,NE
136,324.15,143.51,6.25,1.25,Simple,0.5,NE
137,299.51,297.0,6.79,1.36,Simple,0.49,SE
138,170.5,148.17,106.58,21.32,Complex,0.49,NW
139,238.49,114.66,6.98,1.4,Simple/Overlapping,0.49,NE
140,179.92,261.47,125.85,25.17,Complex/Overlapping,0.49,SW
141,99.27,92.56,8.53,1.71,Simple,0.48,NW
142,366.13,286.46,5.84,1.17,Simple,0.48,SE
143,373.06,244.18,6.25,1.25,Simple,0.48,SE
144,203.03,38.07,5.23,1.05,Simple,0.47,NW
145,123.44,11.55,33.64,6.73,Degraded/Overlapping,0.47,NW
146,145.79,2.03,10.54,2.11,Degraded,0.46,NW
147,312.96,134.67,5.5,1.1,Simple,0.46,NE
148,344.95,146.92,6.3,1.26,Degraded/Overlapping,0.46,NE
149,157.3,31.8,7.57,1.51,Simple,0.46,NW
150,71.47,4.56,7.1,1.42,Simple,0.45,NW
151,88.53,298.26,63.73,12.75,Complex,0.45,SW
152,167.67,362.11,5.85,1.17,Simple,0.44,SW
153,305.93,381.85,6.86,1.37,Simple,0.43,SE
154,55.88,28.02,34.25,6.85,Complex,0.42,NW
155,69.18,171.86,5.11,1.02,Simple,0.42,NW
156,305.34,157.19,9.9,1.98,Simple,0.41,NE
157,125.12,243.89,6.19,1.24,Simple,0.41,SW
158,211.78,196.37,5.65,1.13,Simple,0.41,NE
159,246.22,149.9,5.12,1.02,Simple,0.41,NE
160,263.61,7.84,8.06,1.61,Simple,0.4,NE
161,38.76,70.27,24.1,4.82,Degraded,0.39,NW
162,315.94,378.73,7.87,1.57,Simple,0.39,SE
163,166.55,404.37,6.38,1.28,Simple,0.39,SW
164,102.49,235.1,5.49,1.1,Simple,0.39,SW
165,310.77,296.72,5.31,1.06,Simple,0.38,SE
166,271.8,95.28,5.51,1.1,Simple,0.38,NE
167,110.12,225.37,5.81,1.16,Simple,0.38,SW
168,180.16,163.19,6.22,1.24,Simple,0.38,NW
169,159.22,253.96,5.2,1.04,Simple,0.37,SW
170,190.63,260.5,6.01,1.2,Simple,0.37,SW
171,203.8,6.55,4.85,0.97,Simple,0.36,NW
172,72.9,116.43,5.57,1.11,Simple,0.35,NW
173,249.31,109.64,13.44,2.69,Simple,0.35,NE
174,279.43,255.68,6.35,1.27,Simple,0.33,SE
175,350.68,292.18,5.58,1.12,Simple,0.33,SE
176,95.45,187.13,5.61,1.12,Simple,0.33,NW
177,318.18,168.55,5.56,1.11,Simple,0.33,NE
178,345.82,190.93,5.79,1.16,Simple,0.32,NE
179,95.9,328.16,7.12,1.42,Simple,0.32,SW
180,85.99,362.6,10.61,2.12,Simple,0.32,SW
181,98.91,215.82,5.57,1.11,Simple,0.32,SW
182,101.85,85.76,5.94,1.19,Simple,0.32,NW
183,41.62,201.55,5.72,1.14,Simple,0.32,NW
184,255.27,136.27,5.19,1.04,Simple,0.31,NE
185,321.0,351.43,5.43,1.09,Simple,0.31,SE
186,211.91,74.62,6.7,1.34,Simple,0.31,NE
187,112.74,181.87,43.87,8.77,Complex,0.31,NW
188,364.45,153.4,10.98,2.2,Simple,0.31,NE
189,42.03,281.98,5.51,1.1,Simple,0.31,SW
190,278.66,96.24,9.18,1.84,Simple,0.3,NE
191,277.11,401.42,5.63,1.13,Simple,0.3,SE
192,221.8,21.25,31.03,6.21,Complex,0.29,NE
193,77.89,170.57,5.21,1.04,Simple,0.29,NW
