ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,237.32,27.36,10.87,2.17,Simple,0.91,NE
2,214.67,398.89,13.57,2.71,Simple,0.91,SE
3,193.06,35.86,10.0,2.0,Simple,0.89,NW
4,267.25,408.44,7.6,1.52,Simple,0.89,SE
5,262.56,49.7,8.57,1.71,Simple,0.89,NE
6,370.85,197.14,17.35,3.47,Simple,0.89,NE
7,49.3,398.85,10.27,2.05,Simple,0.89,SW
8,74.67,82.02,7.38,1.48,Simple,0.88,NW
9,220.99,349.94,12.54,2.51,Simple,0.88,SE
10,122.14,40.26,9.29,1.86,Simple,0.87,NW
11,256.05,60.93,9.71,1.94,Simple,0.87,NE
12,214.59,381.57,8.75,1.75,Simple,0.87,SE
13,43.97,123.58,7.27,1.45,Simple,0.87,NW
14,266.99,376.4,7.3,1.46,Simple,0.86,SE
15,304.05,34.83,6.62,1.32,Simple,0.86,NE
16,64.94,31.78,10.83,2.17,Simple,0.85,NW
17,289.51,27.51,9.58,1.92,Simple,0.85,NE
18,302.76,61.51,8.71,1.74,Simple,0.85,NE
19,334.25,105.92,13.15,2.63,Simple,0.84,NE
20,34.7,102.74,12.82,2.56,Simple,0.84,NW
21,148.26,142.28,15.98,3.2,Simple,0.84,NW
22,186.66,385.58,6.85,1.37,Simple,0.84,SW
23,28.3,145.14,13.54,2.71,Simple,0.84,NW
24,257.74,85.05,10.09,2.02,Simple,0.84,NE
25,186.27,167.76,8.16,1.63,Simple,0.84,NW
26,372.11,62.35,7.51,1.5,Simple,0.84,NE
27,34.5,332.12,10.7,2.14,Simple,0.83,SW
28,247.98,9.67,8.42,1.68,Simple,0.83,NE
29,191.46,394.16,8.74,1.75,Simple,0.83,SW
30,318.84,75.03,6.95,1.39,Simple,0.83,NE
31,25.08,41.34,7.83,1.57,Simple,0.82,NW
32,368.19,16.79,9.57,1.91,Simple,0.82,NE
33,60.56,391.17,12.59,2.52,Simple,0.82,SW
34,301.73,21.0,8.36,1.67,Simple,0.81,NE
35,246.06,147.69,10.7,2.14,Simple,0.81,NE
36,49.21,254.45,16.67,3.33,Simple,0.81,SW
37,390.83,58.85,7.21,1.44,Simple,0.81,NE
38,244.03,67.67,8.64,1.73,Simple,0.8,NE
39,125.89,390.78,16.72,3.34,Simple,0.78,SW
40,219.88,27.83,7.53,1.51,Simple,0.77,NE
41,38.44,389.23,8.28,1.66,Simple,0.77,SW
42,35.69,60.9,7.25,1.45,Simple,0.76,NW
43,309.99,58.23,6.87,1.37,Simple,0.76,NE
44,231.34,237.49,7.55,1.51,Simple,0.76,SE
45,326.43,375.29,10.53,2.11,Simple,0.76,SE
46,361.36,130.53,9.41,1.88,Simple,0.75,NE
47,81.8,286.97,20.79,4.16,Complex,0.74,SW
48,99.05,294.62,19.95,3.99,Simple,0.74,SW
49,26.63,82.39,7.1,1.42,Simple,0.74,NW
50,309.67,23.67,7.89,1.58,Simple,0.73,NE
51,381.01,45.9,8.76,1.75,Simple,0.73,NE
52,276.34,244.56,6.87,1.37,Simple,0.72,SE
53,119.99,405.27,25.82,5.16,Complex,0.72,SW
54,367.28,41.79,6.39,1.28,Simple,0.72,NE
55,374.15,21.96,7.75,1.55,Simple,0.7,NE
56,379.82,187.16,9.4,1.88,Simple,0.7,NE
57,169.88,276.94,7.62,1.52,Simple,0.7,SW
58,208.82,41.41,6.54,1.31,Simple,0.69,NE
59,27.32,73.21,8.79,1.76,Simple,0.67,NW
60,189.39,73.19,6.21,1.24,Simple,0.67,NW
61,309.6,323.61,5.83,1.17,Simple,0.67,SE
62,82.98,72.08,6.47,1.29,Simple,0.67,NW
63,89.13,170.81,8.28,1.66,Simple,0.67,NW
64,25.01,325.5,8.1,1.62,Simple,0.66,SW
65,373.38,30.76,10.34,2.07,Simple,0.63,NE
66,364.09,406.54,11.22,2.24,Simple,0.62,SE
67,77.54,125.38,13.46,2.69,Simple/Overlapping,0.62,NW
68,252.93,386.22,6.68,1.34,Simple,0.61,SE
69,41.83,341.26,7.14,1.43,Simple,0.6,SW
70,129.81,311.17,7.71,1.54,Simple,0.6,SW
71,112.18,362.06,10.05,2.01,Simple,0.6,SW
72,163.74,148.06,14.25,2.85,Simple,0.6,NW
73,100.47,387.17,15.55,3.11,Simple,0.59,SW
74,246.59,363.13,13.44,2.69,Simple,0.59,SE
75,260.68,5.4,9.69,1.94,Simple,0.58,NE
76,196.34,360.06,6.08,1.22,Simple,0.58,SW
77,387.07,190.79,10.36,2.07,Simple,0.58,NE
78,392.78,127.92,7.99,1.6,Degraded,0.58,NE
79,38.89,141.59,8.27,1.65,Simple,0.57,NW
80,190.04,374.75,6.23,1.25,Simple,0.57,SW
81,140.63,400.2,11.75,2.35,Simple,0.57,SW
82,217.04,53.38,7.92,1.58,Simple,0.55,NE
83,90.68,400.92,13.5,2.7,Simple/Overlapping,0.54,SW
84,85.94,393.78,12.73,2.55,Simple/Overlapping,0.53,SW
85,244.86,270.31,6.61,1.32,Simple,0.52,SE
86,66.24,263.36,21.13,4.23,Complex,0.51,SW
87,84.03,263.69,7.89,1.58,Simple,0.51,SW
88,49.52,105.88,5.41,1.08,Simple,0.49,NW
89,272.36,394.83,10.01,2.0,Simple,0.48,SE
90,313.59,295.41,5.47,1.09,Simple,0.48,SE
91,82.1,97.58,5.77,1.15,Simple,0.47,NW
92,249.82,106.3,5.61,1.12,Simple,0.45,NE
93,75.02,350.8,12.21,2.44,Simple,0.45,SW
94,233.75,397.17,5.43,1.09,Simple,0.44,SE
95,354.55,184.21,5.17,1.03,Simple,0.44,NE
96,330.95,199.87,20.54,4.11,Complex,0.43,NE
97,25.9,336.77,7.97,1.59,Simple,0.43,SW
98,189.41,355.75,5.44,1.09,Simple,0.43,SW
99,79.8,126.41,16.6,3.32,Simple/Overlapping,0.43,NW
100,117.17,328.55,8.38,1.68,Simple,0.43,SW
101,237.46,73.91,5.64,1.13,Simple,0.42,NE
102,251.52,79.4,6.88,1.38,Simple,0.4,NE
103,152.72,131.8,8.97,1.79,Simple,0.4,NW
104,84.46,128.07,16.35,3.27,Simple/Overlapping,0.39,NW
105,228.26,53.68,6.32,1.26,Simple,0.39,NE
106,298.44,89.56,5.09,1.02,Simple,0.38,NE
107,136.86,12.28,7.71,1.54,Simple,0.38,NW
108,39.6,75.07,9.88,1.98,Simple,0.37,NW
109,31.56,35.56,7.04,1.41,Simple,0.37,NW
110,278.96,401.55,11.13,2.23,Simple/Overlapping,0.37,SE
111,86.86,395.39,14.37,2.87,Simple/Overlapping,0.37,SW
112,81.99,327.73,16.96,3.39,Simple,0.37,SW
113,325.36,179.39,17.63,3.53,Simple/Overlapping,0.36,NE
114,199.35,354.83,6.01,1.2,Simple,0.36,SW
115,284.4,396.34,11.98,2.4,Simple/Overlapping,0.36,SE
116,42.46,134.48,5.75,1.15,Simple,0.36,NW
117,307.29,331.8,4.71,0.94,Simple,0.36,SE
118,25.84,100.19,5.38,1.08,Simple/Overlapping,0.36,NW
119,268.11,385.14,5.44,1.09,Simple,0.33,SE
120,104.42,133.09,6.44,1.29,Simple,0.33,NW
121,46.35,274.63,8.32,1.66,Simple,0.32,SW
122,35.1,350.02,10.23,2.05,Simple,0.32,SW
123,26.25,100.35,6.88,1.38,Simple/Overlapping,0.31,NW
124,82.52,126.7,17.8,3.56,Simple/Overlapping,0.3,NW
125,246.7,159.53,11.48,2.3,Simple,0.29,NE
126,69.03,94.8,7.7,1.54,Simple,0.28,NW
127,53.42,137.47,5.65,1.13,Simple,0.28,NW
128,105.14,107.25,7.37,1.47,Simple,0.27,NW
129,212.46,15.18,6.05,1.21,Simple,0.27,NE
130,315.83,171.34,17.42,3.48,Simple/Overlapping,0.26,NE
131,211.99,100.47,22.08,4.42,Complex,0.26,NE
132,101.76,322.75,22.14,4.43,Complex,0.26,SW
133,185.26,378.78,6.21,1.24,Simple,0.26,SW
134,46.29,334.73,8.98,1.8,Simple,0.26,SW
135,311.15,284.16,4.69,0.94,Simple,0.25,SE
136,297.15,31.66,7.12,1.42,Simple,0.25,NE
137,88.77,398.5,16.48,3.3,Simple/Overlapping,0.25,SW
138,24.85,12.91,5.62,1.12,Simple,0.25,NW
