ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,174.21,81.88,16.15,3.23,Simple,0.93,NW
2,128.09,360.34,11.22,2.24,Simple,0.92,SW
3,162.52,143.0,10.69,2.14,Simple,0.91,NW
4,137.94,407.61,10.0,2.0,Simple,0.9,SW
5,144.0,344.5,16.53,3.31,Simple,0.9,SW
6,161.93,167.84,9.33,1.87,Simple,0.89,NW
7,163.21,270.03,8.8,1.76,Simple,0.89,SW
8,165.74,67.62,13.49,2.7,Simple,0.88,NW
9,133.49,125.62,13.9,2.78,Simple,0.87,NW
10,279.06,384.07,9.83,1.97,Simple,0.87,SE
11,240.53,83.62,13.69,2.74,Simple,0.87,NE
12,158.04,282.12,11.33,2.27,Simple,0.87,SW
13,145.19,142.07,8.85,1.77,Simple,0.87,NW
14,281.86,316.69,14.52,2.9,Simple,0.86,SE
15,212.83,275.3,8.69,1.74,Simple,0.86,SE
16,138.05,385.93,13.29,2.66,Simple,0.86,SW
17,121.63,220.41,9.92,1.98,Simple,0.86,SW
18,270.66,255.42,10.55,2.11,Simple,0.85,SE
19,191.59,274.52,11.73,2.35,Simple,0.84,SW
20,141.82,218.05,10.38,2.08,Simple,0.84,SW
21,290.37,124.41,13.38,2.68,Simple,0.84,NE
22,188.79,69.99,13.45,2.69,Simple,0.84,NW
23,270.04,12.37,12.65,2.53,Simple,0.83,NE
24,255.74,176.65,9.39,1.88,Simple,0.83,NE
25,237.79,262.15,9.36,1.87,Simple,0.83,SE
26,167.36,23.01,10.32,2.06,Simple,0.83,NW
27,221.11,282.16,9.26,1.85,Simple,0.82,SE
28,280.56,351.2,10.31,2.06,Simple,0.82,SE
29,170.13,233.58,8.48,1.7,Simple,0.82,SW
30,172.18,32.52,13.18,2.64,Simple,0.82,NW
31,134.75,280.14,12.31,2.46,Simple/Overlapping,0.78,SW
32,255.28,166.87,7.46,1.49,Simple,0.77,NE
33,273.48,195.69,16.19,3.24,Simple,0.77,NE
34,205.2,140.47,10.21,2.04,Simple,0.76,NW
35,191.97,309.12,7.96,1.59,Simple,0.74,SW
36,228.21,45.23,8.64,1.73,Simple,0.74,NE
37,257.2,277.17,8.51,1.7,Simple,0.73,SE
38,184.93,184.51,8.01,1.6,Simple,0.73,NW
39,229.01,412.42,15.58,3.12,Degraded,0.73,SE
40,273.22,175.79,8.89,1.78,Simple,0.72,NE
41,133.74,161.25,13.77,2.75,Simple/Overlapping,0.71,NW
42,154.64,73.55,11.4,2.28,Simple,0.7,NW
43,242.07,329.38,7.81,1.56,Simple,0.7,SE
44,231.38,316.05,12.04,2.41,Simple,0.7,SE
45,188.17,152.82,6.96,1.39,Simple,0.7,NW
46,234.28,270.79,10.33,2.07,Simple,0.7,SE
