ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,141.13,265.35,40.15,8.03,Complex,0.94,SW
2,210.69,283.01,20.9,4.18,Complex,0.91,SE
3,311.0,397.78,9.07,1.81,Simple,0.91,SE
4,262.07,304.54,8.65,1.73,Simple,0.91,SE
5,315.0,407.21,9.36,1.87,Simple,0.91,SE
6,289.46,291.63,22.89,4.58,Complex,0.91,SE
7,308.7,287.37,10.08,2.02,Simple,0.91,SE
8,312.62,266.08,12.6,2.52,Simple,0.9,SE
9,95.36,38.2,18.32,3.66,Simple,0.9,NW
10,325.38,332.14,9.37,1.87,Simple,0.89,SE
11,100.87,134.01,23.57,4.71,Complex,0.89,NW
12,194.99,32.39,13.17,2.63,Simple,0.89,NW
13,307.07,32.26,25.02,5.0,Complex,0.89,NE
14,306.69,226.6,9.45,1.89,Simple/Overlapping,0.89,SE
15,330.98,183.92,24.13,4.83,Complex,0.88,NE
16,331.71,285.13,11.06,2.21,Simple,0.88,SE
17,262.64,346.31,13.05,2.61,Simple,0.88,SE
18,273.48,368.85,8.8,1.76,Simple,0.88,SE
19,276.34,355.85,13.27,2.65,Simple,0.87,SE
20,164.81,46.95,7.23,1.45,Simple,0.87,NW
21,106.12,162.55,11.7,2.34,Simple,0.87,NW
22,154.34,99.9,20.02,4.0,Complex,0.87,NW
23,91.12,406.33,12.11,2.42,Simple,0.87,SW
24,340.68,337.61,11.69,2.34,Simple,0.87,SE
25,218.95,47.2,15.96,3.19,Simple,0.86,NE
26,279.59,314.37,7.49,1.5,Simple,0.85,SE
27,74.57,206.41,9.36,1.87,Simple,0.85,NW
28,252.29,374.18,8.55,1.71,Simple,0.85,SE
29,262.22,15.33,16.06,3.21,Simple,0.85,NE
30,169.65,260.5,23.45,4.69,Complex,0.85,SW
31,319.09,325.46,9.95,1.99,Simple,0.84,SE
32,174.23,70.31,6.68,1.34,Simple,0.84,NW
33,201.39,219.62,12.49,2.5,Simple,0.84,SW
34,320.23,120.89,9.16,1.83,Simple,0.84,NE
35,95.98,261.68,8.37,1.67,Simple,0.84,SW
36,98.78,199.52,14.69,2.94,Simple/Overlapping,0.84,NW
37,136.64,309.02,18.27,3.65,Simple/Overlapping,0.84,SW
38,190.15,385.09,11.56,2.31,Simple,0.83,SW
39,133.65,46.45,8.28,1.66,Simple,0.82,NW
40,325.39,87.69,19.86,3.97,Simple,0.82,NE
41,196.63,66.99,12.34,2.47,Simple,0.82,NW
42,124.13,316.31,18.09,3.62,Simple/Overlapping,0.82,SW
43,205.57,26.68,8.48,1.7,Simple,0.82,NW
44,270.62,218.97,11.22,2.24,Simple,0.82,SE
45,215.87,145.53,18.74,3.75,Simple,0.82,NE
46,304.99,238.07,32.25,6.45,Complex/Overlapping,0.81,SE
47,236.62,286.87,7.69,1.54,Simple,0.81,SE
48,226.35,247.58,10.54,2.11,Simple,0.81,SE
49,181.86,363.57,8.18,1.64,Simple/Overlapping,0.8,SW
50,205.56,347.85,7.08,1.42,Simple,0.8,SW
51,166.18,182.8,8.56,1.71,Simple,0.8,NW
52,136.56,192.45,16.47,3.29,Simple/Overlapping,0.8,NW
53,267.29,239.27,44.19,8.84,Complex/Overlapping,0.8,SE
54,202.67,175.81,8.38,1.68,Simple,0.8,NW
55,273.3,190.25,7.87,1.57,Simple,0.8,NE
56,87.07,227.21,7.04,1.41,Simple,0.79,SW
57,165.49,233.84,36.09,7.22,Complex,0.79,SW
58,76.34,350.32,10.94,2.19,Simple,0.79,SW
59,192.46,176.13,13.81,2.76,Simple,0.78,NW
60,337.73,115.77,11.85,2.37,Simple,0.78,NE
61,288.1,335.46,6.79,1.36,Simple,0.78,SE
62,232.22,21.42,6.97,1.39,Simple,0.77,NE
63,228.08,351.86,7.12,1.42,Simple,0.77,SE
64,102.36,22.81,17.33,3.47,Simple,0.77,NW
65,270.8,70.55,36.61,7.32,Complex/Overlapping,0.77,NE
66,81.17,70.01,8.58,1.72,Simple,0.77,NW
67,257.41,109.76,15.7,3.14,Simple,0.76,NE
68,336.8,101.92,13.97,2.79,Simple,0.76,NE
69,333.68,41.68,37.45,7.49,Complex,0.75,NE
70,229.3,121.94,13.63,2.73,Simple,0.75,NE
71,163.83,346.18,6.54,1.31,Simple,0.74,SW
72,254.53,336.52,10.15,2.03,Simple,0.74,SE
73,236.73,376.9,5.97,1.19,Simple,0.74,SE
74,78.04,252.88,6.97,1.39,Simple,0.74,SW
75,175.16,84.74,6.21,1.24,Simple,0.74,NW
76,142.52,41.71,6.67,1.33,Simple,0.73,NW
77,304.85,362.21,10.2,2.04,Simple/Overlapping,0.73,SE
78,201.62,185.78,10.53,2.11,Simple/Overlapping,0.73,NW
79,268.17,25.48,8.42,1.68,Simple,0.73,NE
80,295.16,361.53,6.53,1.31,Simple,0.73,SE
81,131.71,294.36,5.8,1.16,Simple,0.72,SW
82,316.47,220.06,26.37,5.27,Complex/Overlapping,0.72,SE
83,116.04,199.92,9.7,1.94,Simple/Overlapping,0.71,NW
84,87.08,313.5,13.08,2.62,Simple/Overlapping,0.71,SW
85,212.22,309.5,27.49,5.5,Complex/Overlapping,0.71,SE
86,323.18,18.7,10.15,2.03,Simple,0.71,NE
87,274.99,5.75,11.35,2.27,Simple,0.7,NE
88,298.67,119.16,7.21,1.44,Simple,0.7,NE
89,77.79,312.13,7.13,1.43,Simple,0.7,SW
90,146.38,29.07,7.2,1.44,Simple,0.7,NW
91,343.09,20.1,14.59,2.92,Simple,0.69,NE
92,161.93,297.09,7.14,1.43,Simple,0.69,SW
93,198.1,191.66,8.96,1.79,Simple/Overlapping,0.69,NW
94,193.62,411.73,8.4,1.68,Simple,0.68,SW
95,233.65,145.01,7.67,1.53,Simple,0.68,NE
96,263.48,256.41,9.86,1.97,Simple,0.68,SE
97,176.26,335.07,7.24,1.45,Simple,0.68,SW
98,75.37,25.5,6.35,1.27,Simple,0.67,NW
99,341.21,385.08,6.74,1.35,Simple,0.67,SE
100,345.41,146.26,7.21,1.44,Simple,0.65,NE
101,295.98,214.89,13.73,2.75,Simple,0.65,SE
102,322.68,135.88,6.09,1.22,Simple,0.65,NE
103,280.92,149.31,6.4,1.28,Simple,0.65,NE
104,121.47,193.04,9.23,1.85,Simple/Overlapping,0.65,NW
105,298.87,370.07,13.57,2.71,Simple/Overlapping,0.64,SE
106,105.72,309.23,7.4,1.48,Simple,0.63,SW
107,126.52,171.92,6.26,1.25,Simple,0.63,NW
