ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,8.13,900.77,28.17,5.63,Degraded,0.85,SW
2,130.3,683.3,60.01,12.0,Complex,0.84,SW
3,49.36,637.27,35.94,7.19,Complex,0.84,SW
4,813.89,729.95,53.74,10.75,Complex,0.83,SE
5,908.17,829.52,22.88,4.58,Complex,0.82,SE
6,1031.43,448.05,44.25,8.85,Complex,0.81,NE
7,1049.74,999.99,82.03,16.41,Complex/Overlapping,0.81,SE
8,718.14,877.86,78.77,15.75,Complex,0.78,SE
9,232.96,990.63,31.07,6.21,Complex,0.77,SW
10,71.56,494.13,164.05,32.81,Complex,0.75,NW
11,570.9,429.22,35.23,7.05,Complex/Overlapping,0.74,NW
12,1055.05,503.12,36.45,7.29,Complex,0.74,NE
13,812.59,1009.37,26.09,5.22,Complex,0.73,SE
14,168.51,426.71,17.69,3.54,Simple,0.72,NW
15,251.82,897.03,39.94,7.99,Complex/Overlapping,0.71,SW
16,1109.45,311.98,39.2,7.84,Complex,0.7,NE
17,65.94,723.7,30.4,6.08,Complex,0.69,SW
18,881.89,832.55,52.72,10.54,Complex,0.68,SE
19,597.63,901.51,20.42,4.08,Complex,0.65,SE
20,147.1,403.98,20.28,4.06,Complex,0.64,NW
21,309.17,1006.18,33.58,6.72,Complex,0.62,SW
22,872.06,1014.81,27.54,5.51,Complex,0.61,SE
23,1107.53,162.23,54.62,10.92,Complex,0.6,NE
24,985.66,720.89,32.51,6.5,Complex,0.56,SE
25,227.67,858.36,85.52,17.1,Complex/Overlapping,0.56,SW
26,1069.87,278.5,42.86,8.57,Complex,0.56,NE
27,210.21,698.45,27.07,5.41,Complex,0.55,SW
28,841.38,685.2,23.29,4.66,Complex,0.54,SE
29,1032.93,405.87,28.88,5.78,Complex,0.51,NE
30,1140.65,621.23,32.9,6.58,Complex,0.49,SE
31,1138.4,409.61,46.06,9.21,Degraded,0.47,NE
32,1036.82,956.21,41.65,8.33,Complex/Overlapping,0.45,SE
33,947.23,50.82,26.93,5.39,Complex,0.43,NE
34,577.86,883.84,33.45,6.69,Complex,0.4,SE
35,602.07,6.81,18.36,3.67,Degraded,0.4,NE
36,943.21,1020.99,31.22,6.24,Complex,0.4,SE
37,25.09,418.52,19.0,3.8,Simple,0.39,NW
38,1116.06,981.64,79.22,15.84,Complex,0.39,SE
39,198.91,712.6,138.33,27.67,Complex,0.38,SW
40,324.39,563.08,15.78,3.16,Simple,0.38,SW
41,556.58,815.8,22.78,4.56,Complex,0.38,SW
42,43.85,191.13,15.06,3.01,Simple,0.38,NW
43,534.92,28.75,14.99,3.0,Simple,0.37,NW
44,94.86,369.13,15.89,3.18,Simple,0.37,NW
45,930.36,549.4,35.77,7.15,Complex,0.36,SE
46,292.67,574.91,98.61,19.72,Complex,0.34,SW
47,1013.83,960.27,84.63,16.93,Degraded/Overlapping,0.33,SE
48,991.39,558.1,21.72,4.34,Complex,0.32,SE
49,100.84,293.08,75.58,15.12,Complex,0.32,NW
50,431.98,1032.54,14.86,2.97,Simple,0.31,SW
51,221.92,462.98,14.94,2.99,Simple,0.31,NW
52,729.48,1001.84,52.05,10.41,Complex,0.31,SE
53,738.78,701.08,39.55,7.91,Complex,0.31,SE
54,892.33,635.46,24.29,4.86,Complex,0.3,SE
55,222.9,870.85,25.08,5.02,Complex,0.3,SW
56,571.53,423.2,30.99,6.2,Complex/Overlapping,0.3,NW
57,334.05,1024.76,29.96,5.99,Complex,0.29,SW
58,776.4,959.57,17.71,3.54,Simple,0.29,SE
59,305.58,970.87,42.87,8.57,Complex,0.29,SW
60,834.25,926.41,32.19,6.44,Complex,0.28,SE
61,1091.12,810.88,22.29,4.46,Complex,0.28,SE
62,967.56,314.04,30.55,6.11,Complex,0.28,NE
63,1133.63,1003.17,22.94,4.59,Complex,0.27,SE
64,854.36,712.99,23.87,4.77,Complex,0.27,SE
65,270.16,916.69,25.27,5.05,Complex,0.27,SW
66,839.4,576.92,19.03,3.81,Simple,0.27,SE
67,545.83,654.4,18.2,3.64,Simple,0.26,SW
68,1049.15,885.24,18.75,3.75,Simple,0.26,SE
69,1116.28,104.62,49.7,9.94,Complex,0.26,NE
70,162.51,109.45,15.51,3.1,Simple,0.25,NW
71,5.71,1007.67,50.85,10.17,Degraded,0.25,SW
