ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,327.53,316.48,18.31,3.66,Simple,0.92,SE
2,347.44,325.87,23.16,4.63,Complex,0.92,SE
3,349.1,108.62,15.48,3.1,Simple,0.91,NE
4,280.55,280.52,10.6,2.12,Simple,0.91,SE
5,356.39,356.37,11.13,2.23,Simple,0.91,SE
6,236.21,241.1,11.15,2.23,Simple/Overlapping,0.91,SE
7,378.29,312.37,12.04,2.41,Simple/Overlapping,0.91,SE
8,257.96,393.7,8.85,1.77,Simple,0.91,SE
9,375.43,74.55,14.87,2.97,Simple,0.91,NE
10,66.39,246.18,15.37,3.07,Simple,0.9,SW
11,337.83,396.1,72.45,14.49,Degraded,0.89,SE
12,209.94,287.16,8.35,1.67,Simple,0.89,SE
13,318.56,301.85,17.99,3.6,Simple,0.89,SE
14,287.24,77.82,28.77,5.75,Complex,0.88,NE
15,23.43,125.06,16.41,3.28,Simple/Overlapping,0.88,NW
16,208.02,140.82,11.23,2.25,Simple,0.88,NE
17,50.73,258.95,25.98,5.2,Complex,0.88,SW
18,379.19,130.73,19.99,4.0,Simple,0.87,NE
19,50.23,307.2,8.29,1.66,Simple,0.87,SW
20,71.61,382.43,7.49,1.5,Simple,0.87,SW
21,105.98,386.02,10.88,2.18,Simple,0.87,SW
22,273.89,230.67,9.46,1.89,Simple,0.86,SE
23,83.24,405.11,10.94,2.19,Simple,0.85,SW
24,263.76,191.44,8.13,1.63,Simple,0.85,NE
25,115.72,393.81,9.4,1.88,Simple,0.84,SW
26,349.42,270.18,13.15,2.63,Simple,0.84,SE
27,249.06,220.22,7.29,1.46,Simple,0.83,SE
28,274.81,31.45,10.51,2.1,Simple,0.82,NE
29,68.79,259.79,12.07,2.41,Simple,0.82,SW
30,136.21,131.48,9.34,1.87,Simple,0.82,NW
31,92.06,255.06,6.83,1.37,Simple,0.81,SW
32,371.72,27.34,58.37,11.67,Complex,0.81,NE
33,41.92,105.64,24.12,4.82,Complex,0.8,NW
34,283.65,216.72,8.1,1.62,Simple,0.8,SE
35,280.25,224.11,8.94,1.79,Simple,0.79,SE
36,130.09,282.14,7.49,1.5,Simple,0.79,SW
37,184.58,321.18,25.57,5.11,Complex,0.78,SW
38,345.28,293.21,7.18,1.44,Simple,0.77,SE
39,368.03,327.39,13.44,2.69,Simple,0.77,SE
40,21.08,178.5,37.67,7.53,Complex,0.74,NW
41,384.08,317.01,6.73,1.35,Simple/Overlapping,0.72,SE
42,238.88,231.12,8.41,1.68,Simple,0.72,SE
43,186.23,350.73,25.79,5.16,Complex,0.7,SW
44,181.58,106.32,13.4,2.68,Simple,0.7,NW
45,252.19,247.09,6.5,1.3,Simple,0.69,SE
46,359.76,262.22,20.44,4.09,Complex,0.69,SE
47,356.75,82.06,17.33,3.47,Simple,0.69,NE
48,48.98,3.49,10.61,2.12,Degraded,0.68,NW
49,338.85,307.35,5.78,1.16,Simple,0.66,SE
50,65.44,364.46,6.82,1.36,Simple,0.64,SW
51,250.6,232.96,8.72,1.74,Simple,0.64,SE
52,41.88,6.88,7.19,1.44,Simple,0.64,NW
53,252.13,209.95,7.14,1.43,Simple,0.61,SE
54,282.47,254.78,6.39,1.28,Simple,0.61,SE
55,28.42,136.84,34.15,6.83,Complex/Overlapping,0.61,NW
56,402.69,265.4,6.74,1.35,Simple,0.6,SE
57,226.91,277.17,6.63,1.33,Simple,0.6,SE
58,231.35,284.5,6.59,1.32,Simple,0.6,SE
59,194.4,89.13,38.83,7.77,Complex/Overlapping,0.57,NW
60,154.16,323.24,7.99,1.6,Simple,0.57,SW
61,229.67,108.01,5.45,1.09,Simple,0.56,NE
62,373.18,335.18,6.29,1.26,Simple,0.55,SE
63,347.47,244.76,6.7,1.34,Simple,0.55,SE
64,381.87,313.29,12.25,2.45,Degraded/Overlapping,0.54,SE
65,47.79,172.31,35.34,7.07,Complex,0.52,NW
66,368.73,22.81,5.62,1.12,Simple,0.52,NE
67,165.39,322.52,15.02,3.0,Simple,0.52,SW
68,203.2,397.61,48.28,9.66,Degraded,0.52,SW
69,100.14,38.47,45.08,9.02,Complex,0.52,NW
70,140.72,323.43,5.79,1.16,Simple,0.51,SW
71,193.23,164.02,37.68,7.54,Complex,0.51,NW
72,20.97,364.81,26.03,5.21,Complex,0.51,SW
73,228.73,235.73,12.56,2.51,Simple/Overlapping,0.5,SE
74,242.44,264.11,5.29,1.06,Simple,0.5,SE
75,40.44,393.23,51.44,10.29,Complex,0.49,SW
76,33.23,27.78,7.35,1.47,Simple,0.47,NW
77,174.2,300.52,13.93,2.79,Simple,0.47,SW
78,267.18,40.27,6.27,1.25,Simple,0.47,NE
79,188.67,370.75,24.17,4.83,Complex,0.47,SW
80,66.54,121.67,45.29,9.06,Complex,0.46,NW
81,88.21,247.11,6.09,1.22,Simple,0.46,SW
82,49.95,182.16,6.58,1.32,Simple,0.44,NW
83,249.08,286.28,6.95,1.39,Simple,0.43,SE
