ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,278.88,45.0,8.56,1.71,Simple,0.9,NE
2,177.49,397.18,10.18,2.04,Simple,0.89,SW
3,111.36,339.24,15.01,3.0,Simple,0.89,SW
4,337.29,355.7,8.86,1.77,Simple,0.88,SE
5,311.96,59.96,15.93,3.19,Simple,0.88,NE
6,64.14,202.58,12.01,2.4,Simple,0.87,NW
7,141.22,77.79,28.42,5.68,Complex,0.85,NW
8,249.64,141.21,9.17,1.83,Simple,0.84,NE
9,241.29,393.06,7.73,1.55,Simple,0.83,SE
10,233.78,40.05,12.9,2.58,Simple,0.83,NE
11,262.42,48.83,9.79,1.96,Simple,0.82,NE
12,208.9,271.48,10.38,2.08,Simple,0.81,SE
13,78.15,275.01,8.8,1.76,Simple,0.8,SW
14,131.55,340.99,11.73,2.35,Simple,0.79,SW
15,167.76,24.26,12.32,2.46,Simple,0.79,NW
16,254.56,99.4,9.6,1.92,Simple,0.79,NE
17,273.08,189.78,7.67,1.53,Simple,0.78,NE
18,177.73,34.51,18.21,3.64,Simple,0.78,NW
19,94.43,335.52,8.51,1.7,Simple,0.78,SW
20,314.09,203.07,9.69,1.94,Simple,0.77,NE
21,236.25,105.25,11.72,2.34,Simple/Overlapping,0.76,NE
22,321.96,359.56,8.08,1.62,Simple,0.76,SE
23,293.86,407.9,37.86,7.57,Degraded,0.76,SE
24,358.86,410.36,7.84,1.57,Simple,0.75,SE
25,314.63,406.99,8.3,1.66,Simple,0.75,SE
26,109.34,231.9,11.44,2.29,Simple,0.73,SW
27,348.59,112.03,15.8,3.16,Simple,0.72,NE
28,61.1,129.92,15.76,3.15,Simple,0.72,NW
29,344.36,294.08,43.4,8.68,Complex,0.71,SE
30,88.51,253.69,7.13,1.43,Simple,0.71,SW
31,214.04,16.61,9.33,1.87,Simple,0.7,NE
32,338.41,121.86,8.35,1.67,Simple,0.7,NE
33,312.59,132.84,12.02,2.4,Simple,0.68,NE
34,349.26,402.12,7.19,1.44,Simple,0.67,SE
35,202.4,239.62,7.5,1.5,Simple,0.67,SW
36,284.64,51.68,11.94,2.39,Simple,0.67,NE
37,94.47,240.8,6.6,1.32,Simple,0.65,SW
38,260.07,76.91,7.8,1.56,Simple,0.65,NE
39,338.09,185.43,71.8,14.36,Degraded,0.64,NE
40,260.82,13.04,7.46,1.49,Simple,0.63,NE
41,303.72,41.98,8.09,1.62,Simple,0.62,NE
42,255.85,62.99,10.39,2.08,Simple,0.61,NE
43,144.31,104.21,8.34,1.67,Simple,0.61,NW
44,269.72,379.79,6.65,1.33,Simple,0.61,SE
45,261.95,395.28,6.7,1.34,Simple,0.59,SE
46,173.26,94.8,54.29,10.86,Complex/Overlapping,0.59,NW
47,313.24,384.64,6.57,1.31,Simple,0.57,SE
48,230.05,3.93,7.42,1.48,Simple,0.57,NE
49,249.02,83.6,8.2,1.64,Simple,0.55,NE
50,348.55,365.0,7.01,1.4,Simple,0.54,SE
51,156.14,378.94,6.49,1.3,Simple,0.54,SW
52,134.79,298.92,6.16,1.23,Simple,0.53,SW
53,208.22,224.42,11.83,2.37,Simple/Overlapping,0.53,SE
54,266.42,252.08,8.08,1.62,Simple,0.52,SE
55,186.46,187.25,10.21,2.04,Simple,0.51,NW
56,94.64,250.89,5.77,1.15,Simple,0.5,SW
57,295.57,346.06,6.31,1.26,Simple,0.49,SE
58,240.04,367.17,9.33,1.87,Simple,0.48,SE
59,288.98,126.18,10.31,2.06,Simple,0.47,NE
60,260.95,36.11,9.54,1.91,Simple/Overlapping,0.47,NE
61,336.95,373.77,6.24,1.25,Simple,0.46,SE
62,258.52,87.37,7.55,1.51,Simple,0.46,NE
63,71.75,409.73,6.21,1.24,Simple,0.45,SW
64,78.88,151.69,14.8,2.96,Simple,0.45,NW
65,329.29,346.24,8.7,1.74,Simple/Overlapping,0.45,SE
66,56.42,274.86,9.96,1.99,Degraded,0.43,SW
67,324.17,69.95,10.97,2.19,Simple,0.42,NE
68,285.19,64.01,7.88,1.58,Simple,0.41,NE
69,325.49,16.04,8.04,1.61,Simple,0.41,NE
70,249.63,90.49,7.23,1.45,Simple,0.4,NE
71,219.06,139.25,7.24,1.45,Simple,0.4,NE
72,306.49,213.07,17.24,3.45,Simple,0.39,SE
73,250.36,57.83,6.16,1.23,Simple,0.38,NE
74,192.97,32.89,14.05,2.81,Simple,0.38,NW
75,245.7,42.46,7.96,1.59,Simple,0.36,NE
76,266.02,38.81,7.71,1.54,Simple/Overlapping,0.35,NE
77,235.88,387.41,6.63,1.33,Simple,0.35,SE
78,327.99,341.38,8.34,1.67,Simple/Overlapping,0.33,SE
79,211.47,47.25,6.34,1.27,Simple,0.32,NE
80,319.64,212.8,7.55,1.51,Simple,0.32,SE
81,298.29,224.97,10.01,2.0,Simple,0.32,SE
82,187.7,235.88,13.33,2.67,Simple,0.31,SW
83,90.35,10.66,21.47,4.29,Complex,0.3,NW
84,72.26,137.4,10.19,2.04,Simple,0.3,NW
85,173.17,134.04,22.72,4.54,Complex,0.3,NW
86,209.14,226.19,13.18,2.64,Simple/Overlapping,0.29,SE
87,210.44,227.69,11.67,2.33,Simple/Overlapping,0.27,SE
88,284.91,151.82,6.31,1.26,Simple,0.27,NE
89,343.87,360.44,7.14,1.43,Simple,0.26,SE
90,235.64,103.38,11.64,2.33,Simple/Overlapping,0.26,NE
91,251.88,295.65,51.95,10.39,Complex,0.25,SE
92,177.11,108.21,39.8,7.96,Complex/Overlapping,0.25,NW
93,228.17,24.03,7.05,1.41,Simple,0.25,NE
94,352.58,20.21,19.18,3.84,Simple,0.25,NE
