ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,201.09,376.51,24.26,4.85,Complex,0.94,SW
2,285.42,314.45,9.99,2.0,Simple,0.93,SE
3,162.36,214.43,36.93,7.39,Complex,0.93,SW
4,96.38,13.2,10.84,2.17,Simple,0.93,NW
5,127.72,300.1,7.28,1.46,Simple,0.92,SW
6,303.91,192.33,25.13,5.03,Complex,0.91,NE
7,113.41,133.7,14.52,2.9,Simple,0.91,NW
8,176.52,336.91,14.85,2.97,Simple,0.9,SW
9,268.19,249.56,9.67,1.93,Simple,0.9,SE
10,193.43,142.69,10.34,2.07,Simple,0.9,NW
11,98.89,47.99,14.61,2.92,Simple,0.9,NW
12,128.57,108.06,10.46,2.09,Simple,0.89,NW
13,139.75,185.15,15.14,3.03,Simple,0.89,NW
14,158.94,347.02,11.44,2.29,Simple,0.89,SW
15,174.86,398.33,18.87,3.77,Simple,0.89,SW
16,138.78,100.51,13.46,2.69,Simple,0.89,NW
17,169.97,184.37,12.63,2.53,Simple,0.89,NW
18,147.41,300.18,7.97,1.59,Simple,0.88,SW
19,128.79,119.51,13.15,2.63,Simple,0.88,NW
20,142.98,234.07,7.82,1.56,Simple,0.88,SW
21,109.77,263.34,11.1,2.22,Simple,0.88,SW
22,278.71,397.51,13.4,2.68,Simple,0.87,SE
23,276.93,340.62,8.65,1.73,Simple,0.87,SE
24,123.73,85.47,7.8,1.56,Simple,0.87,NW
25,182.23,154.17,7.78,1.56,Simple,0.87,NW
26,125.41,284.33,11.35,2.27,Simple,0.86,SW
27,113.69,367.11,11.07,2.21,Simple,0.86,SW
28,147.86,136.04,14.53,2.91,Simple/Overlapping,0.86,NW
29,301.88,370.83,7.5,1.5,Simple,0.85,SE
30,321.46,136.72,8.44,1.69,Simple,0.85,NE
31,124.2,31.62,11.69,2.34,Simple,0.85,NW
32,183.85,359.9,7.43,1.49,Simple,0.84,SW
33,308.86,326.29,7.22,1.44,Simple,0.84,SE
34,310.21,173.18,10.71,2.14,Simple,0.82,NE
35,98.15,143.87,25.22,5.04,Degraded,0.82,NW
36,307.08,137.83,14.63,2.93,Simple,0.81,NE
37,105.58,351.63,9.74,1.95,Simple,0.81,SW
38,270.52,58.92,7.23,1.45,Simple,0.8,NE
39,289.87,104.74,12.47,2.49,Simple,0.8,NE
40,275.01,122.12,10.63,2.13,Simple/Overlapping,0.79,NE
41,226.9,330.05,6.52,1.3,Simple,0.78,SE
42,139.69,160.0,8.45,1.69,Simple,0.78,NW
43,125.7,139.78,10.16,2.03,Simple,0.78,NW
44,229.74,131.37,23.56,4.71,Complex,0.77,NE
45,277.25,155.58,9.06,1.81,Simple,0.76,NE
46,109.66,299.75,6.24,1.25,Simple,0.76,SW
47,210.34,266.2,6.89,1.38,Simple,0.76,SE
48,101.96,102.03,8.72,1.74,Simple,0.76,NW
49,207.89,330.0,6.0,1.2,Simple,0.76,SW
50,111.54,191.96,7.82,1.56,Simple,0.76,NW
51,253.13,88.11,6.35,1.27,Simple,0.75,NE
52,144.33,141.36,7.08,1.42,Simple/Overlapping,0.75,NW
53,154.79,66.33,8.31,1.66,Simple,0.74,NW
54,128.37,150.3,7.74,1.55,Simple,0.74,NW
55,311.73,381.53,11.84,2.37,Simple,0.73,SE
56,293.34,87.47,7.16,1.43,Simple,0.73,NE
57,246.94,321.8,6.52,1.3,Simple,0.72,SE
58,263.93,21.04,8.47,1.69,Simple,0.72,NE
