ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,220.11,122.22,8.53,1.71,Simple,0.92,NE
2,227.85,206.06,9.85,1.97,Simple,0.91,NE
3,157.29,100.26,10.95,2.19,Simple,0.91,NW
4,158.78,376.59,10.21,2.04,Simple,0.91,SW
5,126.62,36.56,8.78,1.76,Simple,0.9,NW
6,115.78,125.91,13.24,2.65,Simple,0.9,NW
7,163.92,87.26,7.3,1.46,Simple,0.89,NW
8,151.12,78.96,10.06,2.01,Simple,0.89,NW
9,272.98,337.09,9.54,1.91,Simple,0.87,SE
10,179.86,272.45,7.08,1.42,Simple,0.87,SW
11,141.32,56.61,7.96,1.59,Simple,0.86,NW
12,177.43,309.48,6.57,1.31,Simple,0.85,SW
13,172.85,127.04,7.1,1.42,Simple,0.84,NW
14,103.36,99.22,28.9,5.78,Degraded,0.84,NW
15,250.83,249.75,9.38,1.88,Simple,0.84,SE
16,207.68,396.59,20.06,4.01,Complex,0.84,SW
17,302.01,312.24,7.58,1.52,Simple,0.83,SE
18,239.95,102.5,7.28,1.46,Simple,0.83,NE
19,188.0,170.65,7.63,1.53,Simple,0.83,NW
20,294.05,345.27,11.74,2.35,Simple,0.83,SE
21,217.34,141.48,7.26,1.45,Simple,0.82,NE
22,149.59,292.43,7.09,1.42,Simple,0.81,SW
23,189.82,89.12,10.15,2.03,Simple,0.81,NW
24,308.06,202.14,7.2,1.44,Simple,0.8,NE
25,155.33,66.25,6.83,1.37,Simple,0.8,NW
26,153.34,34.71,11.64,2.33,Simple/Overlapping,0.79,NW
27,160.18,71.23,7.14,1.43,Simple,0.79,NW
28,193.01,245.35,7.67,1.53,Simple,0.79,SW
29,182.82,313.98,7.5,1.5,Simple,0.78,SW
30,216.77,50.27,6.92,1.38,Simple,0.78,NE
31,313.66,136.24,24.35,4.87,Degraded,0.77,NE
32,101.0,240.06,9.56,1.91,Simple,0.76,SW
33,139.49,41.7,7.2,1.44,Simple,0.76,NW
34,316.47,245.5,11.49,2.3,Simple,0.74,SE
35,287.77,226.42,6.1,1.22,Simple,0.73,SE
36,299.89,3.01,7.26,1.45,Simple,0.7,NE
37,209.28,131.28,5.97,1.19,Simple,0.7,NE
38,177.06,134.0,6.42,1.28,Simple,0.7,NW
39,259.22,150.83,6.62,1.32,Simple,0.69,NE
40,245.97,376.96,8.81,1.76,Simple,0.68,SE
41,167.82,348.92,11.7,2.34,Simple/Overlapping,0.68,SW
42,162.27,354.8,9.23,1.85,Simple/Overlapping,0.68,SW
43,220.57,295.18,24.61,4.92,Complex,0.66,SE
44,182.98,324.08,5.87,1.17,Simple,0.64,SW
45,182.66,75.68,5.48,1.1,Simple,0.64,NW
46,189.88,159.34,7.22,1.44,Simple,0.64,NW
47,307.83,175.91,6.72,1.34,Simple,0.61,NE
48,174.41,406.31,58.44,11.69,Degraded,0.59,SW
49,222.38,177.3,6.6,1.32,Simple,0.59,NE
50,266.61,271.29,6.27,1.25,Simple,0.58,SE
51,246.28,33.74,8.44,1.69,Simple,0.57,NE
52,247.47,48.43,7.62,1.52,Simple,0.56,NE
53,303.73,359.58,11.91,2.38,Simple,0.53,SE
54,290.57,313.13,5.99,1.2,Simple,0.52,SE
55,145.88,110.4,5.55,1.11,Simple,0.51,NW
56,242.32,357.28,13.44,2.69,Simple,0.51,SE
57,197.63,251.32,6.18,1.24,Simple,0.51,SW
58,204.25,176.9,6.01,1.2,Simple,0.5,NW
59,294.55,153.72,6.43,1.29,Simple,0.49,NE
60,239.78,236.09,6.91,1.38,Simple,0.48,SE
61,238.96,282.69,28.62,5.72,Complex,0.47,SE
62,117.11,138.14,8.19,1.64,Simple,0.47,NW
63,177.54,372.16,9.67,1.93,Simple/Overlapping,0.47,SW
64,291.58,278.87,5.94,1.19,Simple,0.46,SE
65,313.96,256.3,7.53,1.51,Simple,0.45,SE
66,142.43,287.88,6.31,1.26,Simple,0.45,SW
67,140.04,274.3,5.61,1.12,Simple,0.44,SW
68,171.71,115.61,5.68,1.14,Simple,0.43,NW
69,250.3,388.13,5.21,1.04,Simple,0.42,SE
70,281.03,286.68,5.28,1.06,Simple,0.36,SE
71,155.02,31.17,10.25,2.05,Simple/Overlapping,0.36,NW
72,282.53,163.82,6.49,1.3,Simple,0.35,NE
73,307.27,256.59,5.5,1.1,Simple,0.34,SE
74,249.21,238.73,6.9,1.38,Simple,0.34,SE
75,185.11,2.79,15.23,3.05,Degraded,0.33,NW
76,309.34,336.62,19.85,3.97,Simple,0.31,SE
77,176.49,376.59,16.26,3.25,Simple/Overlapping,0.3,SW
78,245.8,206.66,5.88,1.18,Simple,0.3,NE
79,205.54,381.18,7.75,1.55,Simple,0.3,SW
80,157.24,188.24,5.19,1.04,Simple,0.28,NW
81,288.26,303.33,5.91,1.18,Simple,0.28,SE
82,192.14,188.7,6.14,1.23,Simple,0.28,NW
83,274.03,223.61,5.28,1.06,Simple,0.28,SE
84,158.63,171.85,5.78,1.16,Simple,0.28,NW
85,302.18,288.37,6.38,1.28,Simple,0.27,SE
86,115.51,235.02,64.78,12.96,Degraded,0.27,SW
