ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,300.34,211.48,9.56,1.91,Simple,0.94,SE
2,362.91,123.43,22.26,4.45,Complex,0.94,NE
3,336.17,199.78,10.74,2.15,Simple,0.93,NE
4,79.13,367.26,11.61,2.32,Simple,0.93,SW
5,156.47,139.87,17.57,3.51,Simple,0.93,NW
6,78.06,60.45,16.64,3.33,Simple,0.93,NW
7,340.33,144.43,23.19,4.64,Complex/Overlapping,0.92,NE
8,85.25,50.73,7.75,1.55,Simple,0.92,NW
9,218.77,120.93,11.16,2.23,Simple,0.92,NE
10,93.74,351.64,15.06,3.01,Simple,0.92,SW
11,49.92,114.97,15.82,3.16,Simple,0.92,NW
12,204.34,116.79,8.63,1.73,Simple,0.92,NW
13,41.86,367.95,10.66,2.13,Simple,0.92,SW
14,89.24,381.51,9.75,1.95,Simple,0.92,SW
15,44.44,387.39,8.65,1.73,Simple,0.91,SW
16,340.87,28.66,31.63,6.33,Complex,0.91,NE
17,110.28,70.45,9.27,1.85,Simple,0.91,NW
18,287.45,148.34,10.45,2.09,Simple,0.91,NE
19,231.77,60.66,10.27,2.05,Simple,0.91,NE
20,100.28,289.93,13.8,2.76,Simple,0.91,SW
21,210.31,401.3,23.85,4.77,Complex/Overlapping,0.91,SE
22,154.37,198.08,61.92,12.38,Complex,0.9,NW
23,251.62,197.99,10.7,2.14,Simple,0.9,NE
24,389.64,267.59,10.29,2.06,Simple,0.9,SE
25,377.47,157.76,12.69,2.54,Simple,0.9,NE
26,270.8,288.6,11.44,2.29,Simple,0.9,SE
27,175.45,225.59,11.2,2.24,Simple/Overlapping,0.9,SW
28,191.48,175.78,13.44,2.69,Simple,0.89,NW
29,349.9,158.74,22.21,4.44,Complex/Overlapping,0.89,NE
30,18.28,73.69,7.8,1.56,Simple,0.89,NW
31,291.71,129.61,14.11,2.82,Simple,0.89,NE
32,373.83,184.38,17.23,3.45,Simple,0.89,NE
33,181.1,217.01,13.81,2.76,Simple/Overlapping,0.89,SW
34,285.38,162.85,17.25,3.45,Simple,0.89,NE
35,382.89,39.86,18.55,3.71,Simple,0.88,NE
36,234.15,124.55,10.63,2.13,Simple,0.88,NE
37,307.02,266.25,12.79,2.56,Simple,0.88,SE
38,51.62,249.67,9.31,1.86,Simple,0.88,SW
39,325.06,284.33,11.84,2.37,Simple,0.87,SE
40,256.17,228.98,9.67,1.93,Simple,0.87,SE
41,188.53,14.63,9.02,1.8,Simple,0.87,NW
42,388.86,247.96,10.24,2.05,Simple,0.87,SE
43,273.24,232.74,9.46,1.89,Simple,0.87,SE
44,44.05,314.38,8.24,1.65,Simple,0.86,SW
45,255.53,405.93,8.68,1.74,Simple,0.86,SE
46,13.09,395.26,19.21,3.84,Simple,0.86,SW
47,68.71,351.62,8.28,1.66,Simple,0.86,SW
48,163.47,232.79,20.52,4.1,Complex,0.86,SW
49,326.35,241.78,8.94,1.79,Simple,0.86,SE
50,325.75,299.29,21.76,4.35,Complex,0.86,SE
51,235.55,186.11,9.73,1.95,Simple,0.85,NE
52,129.86,383.74,11.95,2.39,Simple,0.84,SW
53,72.06,398.46,7.33,1.47,Simple,0.84,SW
54,265.44,86.3,10.65,2.13,Simple,0.84,NE
55,190.44,280.4,7.04,1.41,Simple,0.84,SW
56,306.44,244.54,7.94,1.59,Simple,0.84,SE
57,258.8,302.93,10.09,2.02,Simple/Overlapping,0.83,SE
58,220.33,52.95,7.91,1.58,Simple,0.82,NE
59,139.7,245.36,33.13,6.63,Complex,0.82,SW
60,389.29,230.03,7.63,1.53,Simple,0.82,SE
61,94.83,180.11,8.04,1.61,Simple,0.82,NW
62,255.52,256.97,8.38,1.68,Simple,0.82,SE
63,287.1,41.76,7.99,1.6,Simple,0.81,NE
64,26.99,361.94,7.75,1.55,Simple,0.81,SW
65,362.93,214.36,7.16,1.43,Simple,0.81,SE
