ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,141.06,259.37,17.75,3.55,Simple,0.92,SW
2,157.43,252.29,20.17,4.03,Complex,0.92,SW
3,247.85,26.46,7.65,1.53,Simple,0.92,NE
4,244.58,100.7,16.39,3.28,Simple,0.92,NE
5,281.39,62.14,12.95,2.59,Simple,0.92,NE
6,263.97,350.9,11.32,2.26,Simple,0.91,SE
7,166.58,23.62,9.02,1.8,Simple,0.91,NW
8,296.02,59.84,16.32,3.26,Simple,0.9,NE
9,203.08,18.78,48.11,9.62,Complex/Overlapping,0.9,NW
10,121.54,153.22,8.86,1.77,Simple,0.9,NW
11,204.89,37.79,14.91,2.98,Simple,0.9,NW
12,218.57,116.93,13.2,2.64,Simple,0.9,NE
13,267.62,313.98,9.2,1.84,Simple,0.89,SE
14,211.5,370.53,12.97,2.59,Simple,0.88,SE
15,259.61,6.0,14.33,2.87,Simple,0.87,NE
16,264.18,114.74,7.73,1.55,Simple,0.86,NE
17,131.29,71.01,10.15,2.03,Simple,0.86,NW
18,241.27,349.69,10.32,2.06,Simple,0.85,SE
19,126.53,188.02,9.53,1.91,Simple,0.85,NW
20,251.21,170.96,8.68,1.74,Simple,0.85,NE
21,184.77,359.89,12.12,2.42,Simple,0.85,SW
22,207.56,356.99,12.45,2.49,Simple,0.84,SW
23,277.36,205.97,8.95,1.79,Simple,0.84,NE
24,121.85,280.58,11.79,2.36,Simple,0.83,SW
25,282.0,338.7,9.1,1.82,Simple,0.82,SE
26,133.05,398.9,8.8,1.76,Simple,0.82,SW
27,203.82,186.65,36.44,7.29,Complex,0.8,NW
28,202.26,294.6,8.28,1.66,Simple,0.79,SW
29,285.94,378.66,8.36,1.67,Simple,0.79,SE
30,223.74,362.26,16.1,3.22,Simple,0.78,SE
31,112.04,357.87,7.61,1.52,Simple,0.76,SW
32,127.72,370.51,7.57,1.51,Simple,0.76,SW
33,185.24,327.32,13.27,2.65,Simple/Overlapping,0.75,SW
34,179.27,3.67,14.48,2.9,Degraded,0.75,NW
35,193.61,385.27,15.53,3.11,Simple,0.73,SW
36,297.67,33.14,8.62,1.72,Simple,0.73,NE
37,260.31,30.57,6.76,1.35,Simple,0.73,NE
38,209.5,103.98,19.8,3.96,Simple,0.71,NE
39,289.38,251.66,7.81,1.56,Simple,0.71,SE
40,116.43,53.2,17.91,3.58,Simple,0.71,NW
41,142.48,386.72,7.84,1.57,Simple,0.69,SW
42,130.82,126.46,7.06,1.41,Simple,0.68,NW
43,224.59,317.62,17.2,3.44,Simple/Overlapping,0.68,SE
44,159.0,231.22,6.39,1.28,Simple,0.68,SW
45,142.61,49.31,6.62,1.32,Simple,0.67,NW
46,186.61,326.44,14.15,2.83,Simple/Overlapping,0.67,SW
47,256.0,371.24,34.55,6.91,Complex,0.67,SE
48,235.78,274.21,7.56,1.51,Simple,0.66,SE
