ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,375.76,150.3,19.47,3.89,Simple,0.94,NE
2,367.57,49.86,10.95,2.19,Simple,0.93,NE
3,401.08,58.1,18.06,3.61,Simple,0.92,NE
4,94.23,370.04,16.16,3.23,Simple,0.91,SW
5,274.33,84.85,8.49,1.7,Simple,0.9,NE
6,334.3,154.22,9.46,1.89,Simple,0.9,NE
7,253.55,17.63,10.56,2.11,Simple,0.89,NE
8,324.8,15.26,10.84,2.17,Simple,0.89,NE
9,348.76,132.78,8.29,1.66,Simple,0.89,NE
10,107.86,153.75,14.31,2.86,Simple,0.89,NW
11,326.15,256.78,6.87,1.37,Simple,0.88,SE
12,305.66,114.62,8.59,1.72,Simple,0.88,NE
13,282.04,20.22,8.69,1.74,Simple,0.88,NE
14,26.38,142.18,9.87,1.97,Simple,0.88,NW
15,342.24,118.94,9.48,1.9,Simple,0.88,NE
16,386.35,362.26,9.71,1.94,Simple,0.88,SE
17,195.57,29.85,8.35,1.67,Simple,0.88,NW
18,46.84,40.34,10.59,2.12,Simple,0.88,NW
19,266.61,294.58,10.71,2.14,Simple,0.88,SE
20,295.98,17.19,8.78,1.76,Simple,0.88,NE
21,58.32,118.21,9.94,1.99,Simple,0.87,NW
22,162.03,202.94,10.81,2.16,Simple,0.87,NW
23,104.1,109.44,8.92,1.78,Simple,0.86,NW
24,154.62,403.64,16.81,3.36,Simple,0.86,SW
25,59.71,148.09,8.04,1.61,Simple,0.83,NW
26,236.12,255.75,11.3,2.26,Simple,0.82,SE
27,351.27,24.25,7.87,1.57,Simple,0.82,NE
28,46.14,351.02,8.13,1.63,Simple,0.79,SW
29,139.95,408.48,10.02,2.0,Simple,0.79,SW
30,82.88,148.98,7.67,1.53,Simple,0.79,NW
31,112.42,5.06,7.39,1.48,Simple,0.78,NW
32,140.44,161.15,7.87,1.57,Simple,0.78,NW
33,375.17,180.29,5.82,1.16,Simple,0.77,NE
34,278.68,97.69,7.74,1.55,Simple,0.75,NE
35,383.3,27.4,10.22,2.04,Simple,0.75,NE
36,328.81,272.98,6.63,1.33,Simple,0.74,SE
37,282.32,57.74,8.32,1.66,Simple,0.73,NE
38,271.48,155.18,10.35,2.07,Simple,0.73,NE
39,207.86,365.65,13.16,2.63,Simple,0.72,SW
40,36.72,87.94,8.01,1.6,Simple,0.71,NW
41,153.87,262.45,7.25,1.45,Simple,0.7,SW
42,53.15,201.63,9.46,1.89,Simple,0.69,NW
43,280.51,75.73,9.09,1.82,Simple,0.68,NE
44,175.27,412.59,7.42,1.48,Simple,0.68,SW
45,217.47,303.67,23.15,4.63,Complex,0.68,SE
46,294.84,328.91,6.21,1.24,Simple,0.65,SE
47,290.75,3.94,11.55,2.31,Degraded,0.65,NE
48,382.65,184.86,5.52,1.1,Simple,0.65,NE
49,382.18,191.96,5.48,1.1,Simple,0.65,NE
50,95.8,5.44,7.82,1.56,Simple,0.64,NW
51,193.39,4.9,7.99,1.6,Simple,0.63,NW
52,163.81,394.1,9.57,1.91,Simple,0.62,SW
