ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,286.22,190.06,31.81,6.36,Complex,0.96,NE
2,210.7,111.44,52.91,10.58,Complex,0.94,NE
3,225.16,334.53,32.64,6.53,Complex,0.92,SE
4,169.69,224.72,20.46,4.09,Complex/Overlapping,0.92,SW
5,175.05,208.18,23.55,4.71,Complex/Overlapping,0.91,SW
6,213.87,211.75,16.41,3.28,Simple,0.91,SE
7,143.84,385.03,22.35,4.47,Complex,0.91,SW
8,212.61,256.63,14.07,2.81,Simple,0.9,SE
9,213.75,400.19,23.51,4.7,Complex,0.9,SE
10,296.84,121.6,15.89,3.18,Simple,0.9,NE
11,145.41,179.18,21.79,4.36,Complex,0.89,NW
12,259.77,22.13,14.82,2.96,Simple,0.89,NE
13,168.57,182.96,20.4,4.08,Complex/Overlapping,0.89,NW
14,98.6,342.96,11.02,2.2,Simple,0.89,SW
15,192.06,225.94,26.23,5.25,Complex,0.89,SW
16,165.91,369.15,13.9,2.78,Simple,0.88,SW
17,140.56,98.07,24.07,4.81,Complex,0.88,NW
18,188.31,13.72,14.89,2.98,Simple,0.88,NW
19,178.8,44.37,12.58,2.52,Simple/Overlapping,0.88,NW
20,289.59,324.28,12.26,2.45,Simple,0.88,SE
21,148.96,153.77,12.56,2.51,Simple/Overlapping,0.88,NW
22,317.2,406.54,23.17,4.63,Complex,0.87,SE
23,294.32,169.15,18.41,3.68,Simple,0.87,NE
24,134.07,253.0,10.68,2.14,Simple,0.87,SW
25,192.78,262.9,7.56,1.51,Simple,0.86,SW
26,154.05,135.66,10.41,2.08,Simple,0.86,NW
27,269.98,104.7,13.54,2.71,Simple,0.86,NE
28,135.42,339.07,10.04,2.01,Simple,0.86,SW
29,305.78,239.64,10.84,2.17,Simple,0.86,SE
30,137.16,222.56,18.81,3.76,Simple/Overlapping,0.86,SW
31,104.9,270.92,13.17,2.63,Simple/Overlapping,0.85,SW
32,216.61,63.81,9.4,1.88,Simple,0.85,NE
33,266.26,179.42,12.46,2.49,Simple,0.85,NE
34,263.98,320.58,11.08,2.22,Simple,0.85,SE
35,315.46,278.0,19.39,3.88,Simple,0.85,SE
36,302.06,401.21,9.08,1.82,Simple,0.84,SE
37,249.59,285.98,12.2,2.44,Simple,0.84,SE
38,211.98,194.74,23.04,4.61,Complex/Overlapping,0.84,NE
39,149.57,364.05,21.6,4.32,Complex,0.84,SW
40,255.75,367.93,16.76,3.35,Simple,0.84,SE
41,220.12,147.76,7.5,1.5,Simple,0.84,NE
42,299.98,278.39,10.86,2.17,Simple,0.84,SE
43,209.39,182.34,15.67,3.13,Simple/Overlapping,0.83,NE
44,241.52,386.39,13.77,2.75,Simple,0.83,SE
45,250.0,190.81,8.64,1.73,Simple,0.83,NE
