ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,227.92,385.7,27.85,5.57,Complex,0.97,SE
2,268.75,191.33,62.29,12.46,Complex,0.92,NE
3,217.4,251.59,23.95,4.79,Complex,0.92,SE
4,171.44,394.86,29.77,5.95,Complex,0.9,SW
5,134.56,173.89,15.69,3.14,Simple,0.88,NW
6,189.74,312.44,36.42,7.28,Complex,0.84,SW
7,215.15,291.53,36.11,7.22,Complex,0.84,SE
8,138.71,292.59,8.28,1.66,Simple,0.84,SW
9,258.84,257.2,19.86,3.97,Simple,0.83,SE
10,227.54,306.6,7.87,1.57,Simple,0.82,SE
11,182.22,355.65,24.95,4.99,Complex,0.82,SW
12,138.95,115.32,8.33,1.67,Simple,0.81,NW
13,180.01,246.48,13.46,2.69,Simple,0.81,SW
14,276.89,93.32,12.51,2.5,Simple,0.81,NE
15,197.97,235.07,38.11,7.62,Complex,0.8,SW
16,218.74,311.88,7.94,1.59,Simple,0.78,SE
17,273.05,259.15,7.47,1.49,Simple,0.78,SE
18,130.99,21.33,8.0,1.6,Simple,0.77,NW
19,128.21,312.83,11.17,2.23,Simple,0.76,SW
20,209.24,15.34,8.46,1.69,Simple,0.73,NE
21,252.32,288.64,32.14,6.43,Complex/Overlapping,0.72,SE
22,123.53,89.57,7.98,1.6,Simple,0.69,NW
23,230.08,151.96,44.73,8.95,Complex,0.68,NE
24,240.55,208.32,9.39,1.88,Simple,0.67,SE
25,247.37,237.55,26.76,5.35,Complex,0.66,SE
26,183.54,42.24,8.7,1.74,Simple,0.64,NW
27,193.72,214.74,18.81,3.76,Simple,0.61,SW
28,264.02,317.98,6.22,1.24,Simple,0.61,SE
29,192.18,253.46,10.08,2.02,Simple,0.6,SW
30,128.64,291.92,6.9,1.38,Simple,0.59,SW
31,168.07,368.52,15.84,3.17,Simple/Overlapping,0.58,SW
32,212.45,394.92,9.8,1.96,Simple,0.56,SE
33,182.11,376.22,15.85,3.17,Simple,0.53,SW
34,278.31,268.59,13.13,2.63,Simple,0.5,SE
35,212.05,367.23,7.18,1.44,Simple,0.49,SE
36,227.22,14.71,28.27,5.65,Complex/Overlapping,0.48,NE
37,151.78,368.95,8.2,1.64,Simple,0.47,SW
38,171.71,315.55,6.58,1.32,Simple,0.45,SW
39,192.35,150.45,6.83,1.37,Simple,0.43,NW
40,150.26,334.87,10.09,2.02,Simple,0.43,SW
41,211.47,330.59,9.27,1.85,Simple,0.4,SE
42,206.2,6.4,14.8,2.96,Simple,0.4,NW
43,182.33,336.01,22.11,4.42,Complex,0.39,SW
44,231.96,199.14,17.17,3.43,Simple,0.39,NE
45,166.93,372.2,17.98,3.6,Simple/Overlapping,0.37,SW
46,212.52,166.97,8.37,1.67,Simple,0.36,NE
47,222.11,25.63,48.39,9.68,Complex/Overlapping,0.33,NE
48,203.3,224.18,5.69,1.14,Simple,0.32,SW
49,142.51,66.62,18.52,3.7,Simple,0.29,NW
50,253.74,280.64,43.53,8.71,Complex/Overlapping,0.29,SE
51,130.88,373.45,16.24,3.25,Simple,0.27,SW
52,250.48,56.6,6.81,1.36,Simple,0.25,NE
