ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,122.66,336.0,23.56,4.71,Complex,0.94,SW
2,127.73,374.27,19.51,3.9,Simple,0.92,SW
3,291.13,249.52,24.03,4.81,Complex,0.92,SE
4,242.15,11.81,15.96,3.19,Simple,0.92,NE
5,226.39,211.03,18.8,3.76,Simple,0.92,SE
6,173.53,295.17,11.2,2.24,Simple,0.91,SW
7,335.24,200.8,10.47,2.09,Simple,0.91,NE
8,95.03,168.93,9.91,1.98,Simple,0.91,NW
9,216.24,148.71,8.95,1.79,Simple,0.91,NE
10,71.88,191.09,14.46,2.89,Simple,0.91,NW
11,204.64,286.92,17.08,3.42,Simple,0.9,SW
12,332.83,186.66,16.33,3.27,Simple,0.9,NE
13,122.1,41.48,11.64,2.33,Simple,0.9,NW
14,200.23,52.19,103.65,20.73,Complex,0.9,NW
15,75.35,349.36,14.29,2.86,Simple,0.9,SW
16,103.01,265.06,15.63,3.13,Simple,0.9,SW
17,298.81,392.71,28.65,5.73,Complex,0.89,SE
18,85.84,216.22,11.32,2.26,Simple,0.89,SW
19,110.39,282.88,8.97,1.79,Simple,0.89,SW
20,98.98,8.73,19.36,3.87,Simple,0.89,NW
21,73.82,80.71,11.6,2.32,Simple,0.89,NW
22,113.36,131.69,19.21,3.84,Simple,0.89,NW
23,80.68,275.44,14.54,2.91,Simple,0.88,SW
24,80.76,134.27,11.55,2.31,Simple,0.88,NW
25,128.37,280.68,14.47,2.89,Simple,0.88,SW
26,187.85,192.75,16.21,3.24,Simple,0.88,NW
27,297.11,11.54,9.74,1.95,Simple,0.88,NE
28,302.65,300.02,9.95,1.99,Simple,0.88,SE
29,322.26,123.3,7.96,1.59,Simple,0.88,NE
30,322.44,58.47,10.27,2.05,Simple,0.88,NE
31,273.56,312.09,10.07,2.01,Simple,0.88,SE
32,255.1,340.95,13.16,2.63,Simple,0.87,SE
33,328.17,232.79,12.73,2.55,Simple,0.87,SE
34,226.06,120.14,11.6,2.32,Simple,0.86,NE
35,135.77,121.58,13.78,2.76,Simple/Overlapping,0.86,NW
36,81.49,228.64,10.18,2.04,Simple,0.86,SW
37,154.04,275.92,26.43,5.29,Complex/Overlapping,0.86,SW
38,219.38,335.67,9.63,1.93,Simple,0.86,SE
39,308.31,236.12,13.09,2.62,Simple,0.85,SE
40,123.18,61.93,7.9,1.58,Simple,0.85,NW
41,90.85,175.86,7.1,1.42,Simple,0.85,NW
42,82.98,299.25,7.24,1.45,Simple,0.84,SW
43,287.12,216.88,9.18,1.84,Simple,0.84,SE
44,181.76,236.62,10.39,2.08,Simple,0.84,SW
45,330.5,168.86,8.38,1.68,Simple,0.83,NE
46,304.95,221.16,12.3,2.46,Simple,0.83,SE
47,99.91,34.11,7.02,1.4,Simple,0.83,NW
48,149.99,343.52,7.56,1.51,Simple,0.83,SW
49,99.5,61.76,7.94,1.59,Simple,0.83,NW
50,192.69,210.35,6.64,1.33,Simple,0.83,SW
51,258.49,44.46,6.63,1.33,Simple,0.83,NE
52,295.01,300.44,6.78,1.36,Simple,0.82,SE
53,164.5,260.85,28.87,5.77,Complex/Overlapping,0.82,SW
