ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,104.58,174.82,21.55,4.31,Complex,0.93,NW
2,58.69,406.3,19.37,3.87,Simple,0.93,SW
3,113.99,322.97,16.29,3.26,Simple,0.93,SW
4,285.09,78.41,20.89,4.18,Complex,0.93,NE
5,248.96,340.27,83.56,16.71,Complex,0.93,SE
6,215.75,88.65,16.73,3.35,Simple,0.93,NE
7,356.04,381.39,9.77,1.95,Simple,0.92,SE
8,360.21,29.0,12.99,2.6,Simple,0.92,NE
9,144.01,282.67,11.73,2.35,Simple,0.92,SW
10,390.65,397.61,10.47,2.09,Simple,0.92,SE
11,392.74,9.12,11.95,2.39,Simple,0.92,NE
12,161.35,87.77,11.79,2.36,Simple,0.92,NW
13,45.05,117.6,10.74,2.15,Simple,0.92,NW
14,18.37,9.16,12.62,2.52,Simple,0.92,NW
15,275.79,225.24,10.8,2.16,Simple,0.91,SE
16,55.23,47.29,22.65,4.53,Complex,0.91,NW
17,76.16,344.76,10.65,2.13,Simple,0.91,SW
18,159.33,363.65,10.15,2.03,Simple,0.91,SW
19,335.77,233.91,8.19,1.64,Simple,0.91,SE
20,320.68,133.01,12.34,2.47,Simple,0.91,NE
21,19.54,19.78,8.79,1.76,Simple,0.91,NW
22,372.95,329.24,11.02,2.2,Simple,0.91,SE
23,398.57,24.23,8.77,1.75,Simple,0.91,NE
24,391.31,219.77,8.21,1.64,Simple,0.9,SE
25,335.31,262.43,10.06,2.01,Simple,0.9,SE
26,59.64,355.99,13.29,2.66,Simple,0.9,SW
27,407.95,378.33,11.86,2.37,Simple,0.9,SE
28,350.17,40.57,9.78,1.96,Simple,0.9,NE
29,103.65,249.82,9.65,1.93,Simple,0.9,SW
30,303.68,201.24,15.85,3.17,Simple,0.9,NE
31,114.86,145.5,10.27,2.05,Simple,0.89,NW
32,81.67,266.63,12.49,2.5,Simple/Overlapping,0.89,SW
33,157.61,32.48,7.85,1.57,Simple,0.89,NW
34,90.28,184.45,12.81,2.56,Simple,0.89,NW
35,394.8,141.46,11.27,2.25,Simple,0.89,NE
36,324.68,173.5,14.3,2.86,Simple,0.88,NE
37,334.58,92.07,10.84,2.17,Simple,0.88,NE
38,386.65,273.83,9.95,1.99,Simple,0.88,SE
39,237.37,146.23,15.43,3.09,Simple,0.88,NE
40,234.23,37.06,9.75,1.95,Simple,0.88,NE
41,396.3,192.67,10.13,2.03,Simple,0.88,NE
42,402.68,94.4,13.7,2.74,Simple,0.88,NE
43,84.77,67.01,10.52,2.1,Simple,0.88,NW
44,284.7,12.77,7.16,1.43,Simple,0.87,NE
45,162.53,16.79,7.57,1.51,Simple,0.87,NW
46,122.36,163.38,10.97,2.19,Simple,0.87,NW
47,26.68,137.28,11.57,2.31,Simple,0.87,NW
48,182.61,264.38,10.54,2.11,Simple,0.86,SW
49,379.78,368.82,9.77,1.95,Simple,0.86,SE
50,281.24,180.2,11.53,2.31,Simple,0.86,NE
