ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,197.65,236.12,23.84,4.77,Complex,0.94,SW
2,180.91,368.84,27.41,5.48,Complex,0.91,SW
3,130.32,225.39,21.74,4.35,Complex,0.91,SW
4,189.17,327.49,30.41,6.08,Complex,0.87,SW
5,241.5,390.26,24.45,4.89,Complex/Overlapping,0.87,SE
6,111.08,372.85,14.24,2.85,Simple,0.86,SW
7,285.51,321.17,17.05,3.41,Simple,0.85,SE
8,226.05,354.39,8.31,1.66,Simple,0.84,SE
9,162.94,375.22,11.81,2.36,Simple,0.84,SW
10,231.63,246.62,23.42,4.68,Complex,0.84,SE
11,170.31,287.21,8.43,1.69,Simple,0.84,SW
12,178.99,402.03,10.39,2.08,Simple,0.84,SW
13,275.51,307.95,14.97,2.99,Simple,0.83,SE
14,288.79,337.91,14.57,2.91,Simple,0.83,SE
15,200.14,351.97,11.26,2.25,Simple,0.83,SW
16,147.15,372.79,7.42,1.48,Simple,0.83,SW
17,249.47,302.92,12.9,2.58,Simple,0.81,SE
18,183.0,223.45,10.34,2.07,Simple,0.81,SW
19,294.44,370.06,11.19,2.24,Simple,0.81,SE
20,127.35,301.61,16.21,3.24,Simple,0.81,SW
21,191.0,398.75,14.38,2.88,Simple,0.81,SW
22,161.81,348.67,10.95,2.19,Simple,0.8,SW
23,235.71,356.39,8.73,1.75,Simple,0.8,SE
24,263.99,311.72,11.64,2.33,Simple,0.8,SE
25,205.8,385.54,7.62,1.52,Simple,0.79,SW
26,142.7,242.58,13.21,2.64,Simple,0.78,SW
27,124.52,333.97,21.18,4.24,Complex/Overlapping,0.78,SW
28,180.61,386.33,10.31,2.06,Simple,0.77,SW
29,163.16,252.07,7.63,1.53,Simple,0.77,SW
30,276.45,366.29,9.59,1.92,Simple,0.77,SE
31,163.9,357.69,7.92,1.58,Simple,0.76,SW
32,131.51,366.93,10.14,2.03,Simple,0.76,SW
33,264.28,269.52,14.04,2.81,Simple/Overlapping,0.75,SE
34,164.36,321.42,11.96,2.39,Simple/Overlapping,0.75,SW
35,237.08,334.59,13.88,2.78,Simple,0.75,SE
36,136.96,360.56,7.17,1.43,Simple,0.75,SW
37,188.51,409.29,13.38,2.68,Simple,0.74,SW
38,180.3,288.91,10.3,2.06,Simple/Overlapping,0.74,SW
39,245.74,364.05,11.3,2.26,Simple,0.73,SE
40,235.62,214.09,12.91,2.58,Simple,0.73,SE
41,237.64,286.49,15.72,3.14,Simple,0.72,SE
42,287.54,347.45,7.62,1.52,Simple,0.71,SE
43,167.52,309.37,13.04,2.61,Simple,0.71,SW
44,145.46,349.02,7.66,1.53,Simple/Overlapping,0.7,SW
45,230.22,382.83,16.75,3.35,Simple/Overlapping,0.7,SE
46,198.11,215.84,9.25,1.85,Simple,0.67,SW
47,237.96,308.66,10.55,2.11,Simple,0.67,SE
48,278.98,282.78,16.56,3.31,Simple,0.67,SE
49,272.06,321.41,8.75,1.75,Simple,0.67,SE
50,227.47,296.32,7.53,1.51,Simple,0.67,SE
51,148.42,362.29,9.72,1.94,Simple,0.67,SW
52,180.48,135.47,107.36,21.47,Complex,0.66,NW
53,135.42,282.95,11.62,2.32,Simple,0.66,SW
54,217.28,300.68,8.03,1.61,Simple,0.65,SE
55,175.51,272.51,10.96,2.19,Simple,0.64,SW
56,142.29,402.06,8.11,1.62,Simple,0.63,SW
57,299.26,402.53,7.82,1.56,Simple,0.63,SE
58,158.27,278.32,9.86,1.97,Simple,0.61,SW
59,188.13,280.75,10.85,2.17,Simple,0.59,SW
60,254.53,75.26,13.17,2.63,Simple,0.59,NE
61,229.68,274.93,11.99,2.4,Simple,0.59,SE
62,180.27,231.62,7.54,1.51,Simple,0.59,SW
63,224.37,321.69,8.04,1.61,Simple,0.59,SE
64,259.65,319.24,7.1,1.42,Simple,0.58,SE
65,260.33,402.11,8.42,1.68,Simple,0.58,SE
66,167.33,279.38,9.24,1.85,Simple,0.57,SW
67,138.01,348.61,7.06,1.41,Simple,0.56,SW
68,218.14,339.6,10.84,2.17,Simple,0.56,SE
69,306.78,406.24,7.01,1.4,Simple,0.55,SE
70,156.54,295.18,7.62,1.52,Simple,0.55,SW
71,171.92,51.11,90.07,18.01,Complex,0.55,NW
72,262.68,81.22,8.84,1.77,Simple,0.55,NE
73,277.67,344.62,11.63,2.33,Simple,0.54,SE
74,176.04,208.34,10.41,2.08,Simple,0.53,SW
75,248.41,340.94,11.93,2.39,Simple,0.53,SE
76,146.49,320.09,11.71,2.34,Simple,0.53,SW
77,114.81,360.54,10.98,2.2,Simple,0.52,SW
78,211.27,292.76,6.36,1.27,Simple,0.51,SE
79,245.34,323.31,5.81,1.16,Simple,0.49,SE
80,138.36,411.61,12.77,2.55,Degraded,0.49,SW
81,142.66,201.43,23.7,4.74,Complex,0.49,NW
82,139.01,92.35,6.62,1.32,Simple,0.48,NW
83,252.33,319.33,7.11,1.42,Simple,0.47,SE
84,191.7,199.13,8.7,1.74,Simple,0.47,NW
85,260.7,226.62,54.48,10.9,Complex,0.47,SE
86,169.44,324.13,10.58,2.12,Simple/Overlapping,0.46,SW
87,208.88,299.93,7.5,1.5,Simple,0.45,SE
88,272.27,328.85,7.94,1.59,Simple,0.44,SE
89,288.18,265.23,9.07,1.81,Simple,0.43,SE
90,281.25,386.97,7.45,1.49,Simple,0.42,SE
91,195.69,387.89,8.1,1.62,Simple,0.42,SW
92,156.51,328.51,12.95,2.59,Simple,0.42,SW
93,211.46,413.88,6.05,1.21,Degraded,0.41,SE
94,108.16,400.23,10.48,2.1,Simple,0.41,SW
95,270.54,338.33,6.08,1.22,Simple,0.4,SE
96,170.68,390.05,7.45,1.49,Simple/Overlapping,0.4,SW
97,162.4,397.25,6.76,1.35,Simple,0.4,SW
98,121.45,368.34,9.97,1.99,Simple,0.4,SW
99,260.66,260.7,9.22,1.84,Simple,0.39,SE
100,221.53,396.15,18.77,3.75,Simple,0.39,SE
101,263.29,298.74,13.61,2.72,Simple/Overlapping,0.39,SE
102,125.49,290.33,7.16,1.43,Simple,0.38,SW
103,298.82,327.01,9.88,1.98,Simple,0.37,SE
104,227.18,284.21,8.79,1.76,Simple,0.37,SE
105,298.93,310.76,6.31,1.26,Simple,0.37,SE
106,135.97,381.09,7.02,1.4,Simple,0.36,SW
107,256.19,365.19,7.96,1.59,Simple,0.36,SE
108,238.98,323.18,6.95,1.39,Simple,0.36,SE
109,128.7,263.3,6.53,1.31,Simple,0.35,SW
110,257.65,344.24,6.31,1.26,Simple,0.34,SE
111,121.11,394.45,6.79,1.36,Simple,0.34,SW
112,273.2,296.18,7.5,1.5,Simple,0.33,SE
113,154.19,311.77,6.96,1.39,Simple,0.32,SW
114,161.19,212.93,21.34,4.27,Complex,0.32,SW
115,169.26,387.45,10.79,2.16,Simple/Overlapping,0.32,SW
116,284.76,365.08,6.24,1.25,Simple,0.31,SE
117,265.22,280.25,13.52,2.7,Simple/Overlapping,0.31,SE
118,262.58,294.99,16.49,3.3,Simple/Overlapping,0.31,SE
119,137.83,261.28,8.26,1.65,Simple,0.31,SW
120,177.5,285.17,6.52,1.3,Simple/Overlapping,0.31,SW
121,154.22,357.22,5.71,1.14,Simple,0.3,SW
122,283.23,331.92,7.25,1.45,Simple,0.29,SE
123,147.87,339.18,7.15,1.43,Simple,0.29,SW
124,144.61,347.55,7.97,1.59,Simple/Overlapping,0.29,SW
125,132.18,338.38,10.2,2.04,Simple/Overlapping,0.28,SW
126,114.08,393.48,5.54,1.11,Simple,0.28,SW
127,273.77,408.89,8.01,1.6,Simple,0.28,SE
128,128.91,248.28,20.18,4.04,Complex,0.28,SW
129,231.26,326.26,6.95,1.39,Simple,0.27,SE
130,140.39,252.25,5.94,1.19,Simple,0.27,SW
131,300.58,336.25,9.97,1.99,Simple,0.26,SE
132,147.36,221.77,12.1,2.42,Simple,0.26,SW
133,244.68,202.51,6.6,1.32,Simple,0.26,NE
134,138.11,371.95,5.21,1.04,Simple,0.26,SW
