ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,72.22,329.9,22.6,4.52,Complex,0.94,SW
2,249.72,98.37,27.1,5.42,Complex,0.93,NE
3,244.06,333.34,22.34,4.47,Complex,0.93,SE
4,135.1,175.17,20.56,4.11,Complex,0.92,NW
5,49.02,171.96,22.48,4.5,Complex,0.91,NW
6,151.49,309.87,9.39,1.88,Simple,0.91,SW
7,89.2,350.81,34.59,6.92,Complex,0.91,SW
8,204.93,371.73,9.2,1.84,Simple,0.91,SW
9,64.49,182.26,14.69,2.94,Simple,0.91,NW
10,196.07,373.1,8.82,1.76,Simple,0.91,SW
11,250.14,43.26,22.56,4.51,Complex,0.91,NE
12,338.29,232.96,10.5,2.1,Simple,0.9,SE
13,69.19,38.49,13.28,2.66,Simple,0.9,NW
14,244.61,137.74,11.2,2.24,Simple,0.9,NE
15,62.85,302.33,20.17,4.03,Complex,0.89,SW
16,300.68,255.61,19.85,3.97,Simple,0.89,SE
17,184.88,64.48,7.85,1.57,Simple,0.89,NW
18,271.35,168.33,15.61,3.12,Simple,0.89,NE
19,161.8,273.85,7.99,1.6,Simple,0.89,SW
20,352.2,83.52,9.14,1.83,Simple,0.89,NE
21,162.18,114.64,23.06,4.61,Complex,0.88,NW
22,271.78,229.1,15.9,3.18,Simple,0.88,SE
23,168.64,312.95,7.74,1.55,Simple,0.88,SW
24,299.83,297.75,20.64,4.13,Complex,0.88,SE
25,357.78,151.82,11.62,2.32,Simple,0.88,NE
26,303.59,317.24,7.87,1.57,Simple,0.87,SE
27,257.22,211.35,8.74,1.75,Simple,0.87,SE
28,313.26,296.6,8.13,1.63,Simple,0.86,SE
29,351.49,215.87,10.19,2.04,Simple,0.86,SE
30,86.72,32.69,7.43,1.49,Simple,0.86,NW
31,84.97,177.84,8.34,1.67,Simple,0.86,NW
32,265.14,402.93,13.09,2.62,Simple,0.85,SE
33,58.3,205.96,12.6,2.52,Simple,0.85,NW
34,324.81,162.85,13.96,2.79,Simple,0.85,NE
35,350.46,259.88,8.47,1.69,Simple,0.85,SE
36,224.17,350.59,13.45,2.69,Simple,0.84,SE
37,268.54,121.4,34.73,6.95,Complex,0.84,NE
38,267.17,316.56,6.63,1.33,Simple,0.83,SE
39,263.25,278.1,6.63,1.33,Simple,0.83,SE
40,145.9,283.84,6.38,1.28,Simple,0.83,SW
41,174.8,317.67,7.33,1.47,Simple,0.82,SW
42,83.79,67.31,25.03,5.01,Complex,0.82,NW
43,324.93,264.42,7.62,1.52,Simple,0.82,SE
44,168.92,88.27,23.15,4.63,Complex,0.82,NW
45,313.39,61.13,37.5,7.5,Complex,0.82,NE
46,197.2,410.76,12.49,2.5,Simple,0.81,SW
47,84.53,139.47,51.81,10.36,Complex,0.81,NW
48,339.94,284.04,16.75,3.35,Simple,0.81,SE
49,362.75,294.99,6.87,1.37,Simple,0.8,SE
50,133.51,338.43,18.37,3.67,Simple/Overlapping,0.8,SW
51,91.31,174.25,5.99,1.2,Simple,0.79,NW
52,140.15,236.48,7.36,1.47,Simple,0.79,SW
53,68.58,351.91,7.06,1.41,Simple,0.79,SW
54,50.16,285.81,8.64,1.73,Simple,0.78,SW
55,190.44,396.4,6.77,1.35,Simple,0.77,SW
56,364.87,108.99,16.82,3.36,Simple,0.77,NE
57,156.57,363.93,8.12,1.62,Simple,0.77,SW
58,223.02,325.79,6.67,1.33,Simple,0.77,SE
59,320.36,5.75,12.66,2.53,Simple,0.76,NE
60,137.29,228.78,9.48,1.9,Simple,0.76,SW
61,125.26,356.05,20.97,4.19,Complex,0.76,SW
62,327.74,25.22,39.06,7.81,Complex,0.75,NE
