ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,163.27,261.92,10.32,2.06,Simple,0.95,SW
2,62.0,363.77,24.45,4.89,Complex,0.92,SW
3,386.57,144.94,12.32,2.46,Simple,0.92,NE
4,133.13,290.05,18.89,3.78,Simple,0.92,SW
5,175.13,230.9,12.39,2.48,Simple,0.92,SW
6,115.86,257.33,19.99,4.0,Simple,0.91,SW
7,99.26,90.33,15.23,3.05,Simple,0.91,NW
8,347.68,180.8,9.43,1.89,Simple,0.91,NE
9,331.28,257.0,10.95,2.19,Simple,0.91,SE
10,129.88,198.3,10.5,2.1,Simple,0.91,NW
11,43.82,65.32,8.15,1.63,Simple,0.91,NW
12,66.54,10.95,9.21,1.84,Simple,0.9,NW
13,108.89,324.41,9.66,1.93,Simple,0.9,SW
14,240.67,390.52,20.39,4.08,Complex,0.9,SE
15,70.65,175.12,13.41,2.68,Simple,0.9,NW
16,340.58,73.41,13.65,2.73,Simple,0.89,NE
17,287.86,125.77,8.27,1.65,Simple,0.89,NE
18,304.88,309.62,10.08,2.02,Simple,0.89,SE
19,96.51,113.07,12.63,2.53,Simple,0.89,NW
20,53.0,179.34,10.67,2.13,Simple/Overlapping,0.89,NW
21,59.09,95.67,15.96,3.19,Simple,0.88,NW
22,249.55,374.36,14.39,2.88,Simple,0.88,SE
23,40.37,270.17,10.67,2.13,Simple,0.88,SW
24,400.98,321.25,15.42,3.08,Simple,0.88,SE
25,233.88,156.05,16.02,3.2,Simple,0.87,NE
26,189.72,373.67,8.68,1.74,Simple,0.87,SW
27,22.51,59.84,9.21,1.84,Simple,0.86,NW
28,19.61,104.61,8.62,1.72,Simple,0.86,NW
29,144.2,281.4,9.32,1.86,Simple,0.86,SW
30,193.35,81.7,8.75,1.75,Simple,0.86,NW
31,341.13,264.16,10.75,2.15,Simple,0.85,SE
32,366.97,175.8,6.97,1.39,Simple,0.85,NE
33,252.91,131.84,15.7,3.14,Simple,0.85,NE
34,269.4,287.95,10.15,2.03,Simple,0.84,SE
35,130.97,272.88,10.89,2.18,Simple,0.84,SW
36,337.12,284.02,15.56,3.11,Simple/Overlapping,0.84,SE
37,179.13,382.69,14.0,2.8,Simple,0.82,SW
38,19.54,131.05,22.45,4.49,Complex,0.8,NW
39,374.23,170.49,9.17,1.83,Simple,0.79,NE
40,40.17,197.14,12.01,2.4,Simple,0.78,NW
41,174.99,265.38,63.4,12.68,Complex/Overlapping,0.78,SW
42,242.05,342.7,19.83,3.97,Simple,0.77,SE
43,366.83,207.31,7.25,1.45,Simple,0.76,NE
44,287.89,335.41,20.71,4.14,Complex,0.76,SE
45,324.24,49.47,9.24,1.85,Simple,0.75,NE
46,282.82,276.35,6.12,1.22,Simple,0.75,SE
47,59.91,343.33,7.08,1.42,Simple,0.75,SW
48,100.11,280.25,7.45,1.49,Simple,0.73,SW
49,163.42,154.84,7.46,1.49,Simple,0.72,NW
50,40.0,309.03,10.92,2.18,Simple,0.71,SW
51,376.45,194.01,6.62,1.32,Simple,0.71,NE
52,172.55,82.29,7.2,1.44,Simple,0.7,NW
53,18.76,190.1,33.65,6.73,Complex,0.69,NW
54,232.63,201.11,6.6,1.32,Simple,0.69,NE
55,264.12,91.23,13.78,2.76,Simple,0.69,NE
56,376.69,360.91,7.94,1.59,Simple,0.67,SE
57,260.69,255.07,52.44,10.49,Complex/Overlapping,0.67,SE
58,151.02,92.26,7.18,1.44,Simple,0.67,NW
59,363.28,71.67,7.21,1.44,Simple,0.66,NE
60,250.9,161.89,17.17,3.43,Simple,0.64,NE
61,214.09,258.03,9.37,1.87,Simple,0.64,SE
62,252.8,101.05,21.51,4.3,Complex,0.64,NE
63,50.33,287.64,5.6,1.12,Simple,0.64,SW
64,46.82,352.99,15.79,3.16,Simple,0.62,SW
65,148.46,378.91,6.03,1.21,Simple,0.61,SW
66,396.55,12.69,8.49,1.7,Simple,0.61,NE
67,176.44,27.59,14.41,2.88,Simple,0.61,NW
68,29.97,360.3,11.96,2.39,Simple,0.6,SW
69,249.65,292.24,8.99,1.8,Simple,0.59,SE
70,389.26,32.15,7.03,1.41,Simple,0.58,NE
71,280.38,310.75,12.22,2.44,Simple,0.58,SE
72,283.47,293.95,14.77,2.95,Simple,0.58,SE
73,176.35,370.06,9.17,1.83,Simple,0.58,SW
74,193.79,406.92,33.59,6.72,Degraded,0.57,SW
75,283.01,364.63,18.59,3.72,Simple,0.57,SE
76,167.77,266.33,60.22,12.04,Complex/Overlapping,0.56,SW
77,100.01,412.67,8.47,1.69,Degraded,0.56,SW
78,209.87,223.71,11.18,2.24,Simple,0.54,SE
79,283.59,143.73,7.43,1.49,Simple,0.54,NE
80,100.98,383.77,5.65,1.13,Simple,0.54,SW
81,209.22,303.89,15.75,3.15,Simple/Overlapping,0.54,SE
82,170.93,157.71,6.24,1.25,Simple,0.52,NW
83,206.24,149.85,15.05,3.01,Simple/Overlapping,0.52,NW
84,350.1,311.72,11.36,2.27,Simple,0.52,SE
85,284.71,240.82,26.68,5.34,Complex/Overlapping,0.52,SE
86,29.02,212.27,15.65,3.13,Simple,0.51,SW
87,403.86,36.17,6.45,1.29,Simple,0.51,NE
88,86.96,391.84,5.7,1.14,Simple,0.5,SW
89,171.38,47.91,12.76,2.55,Simple,0.5,NW
90,259.37,233.54,7.46,1.49,Simple,0.5,SE
91,93.43,21.56,6.91,1.38,Simple,0.49,NW
92,37.43,75.8,6.42,1.28,Simple,0.49,NW
93,175.45,217.31,9.34,1.87,Simple,0.48,SW
94,203.19,245.59,19.6,3.92,Simple,0.47,SW
95,259.93,287.14,8.55,1.71,Simple,0.47,SE
96,49.7,397.82,7.55,1.51,Simple,0.47,SW
97,286.69,198.11,6.02,1.2,Simple,0.46,NE
98,406.97,191.38,5.26,1.05,Simple,0.46,NE
99,48.41,51.27,6.17,1.23,Simple,0.46,NW
100,401.82,375.23,15.37,3.07,Simple,0.46,SE
101,367.71,121.41,17.8,3.56,Simple,0.45,NE
102,52.89,155.53,13.42,2.68,Simple,0.45,NW
103,96.33,390.24,42.04,8.41,Complex,0.44,SW
104,404.3,163.81,5.5,1.1,Simple,0.44,NE
105,348.04,296.83,47.94,9.59,Complex/Overlapping,0.44,SE
106,326.6,126.52,5.73,1.15,Simple,0.43,NE
107,395.88,152.87,6.53,1.31,Simple,0.43,NE
108,324.13,324.18,33.32,6.66,Complex,0.42,SE
109,269.84,224.43,7.08,1.42,Simple,0.42,SE
110,309.79,296.35,9.07,1.81,Simple,0.42,SE
111,267.29,372.63,16.24,3.25,Simple,0.41,SE
112,151.69,369.14,30.01,6.0,Complex,0.4,SW
113,154.56,247.79,10.18,2.04,Simple,0.4,SW
114,400.36,145.71,7.0,1.4,Simple,0.39,NE
115,222.07,254.2,8.18,1.64,Simple,0.38,SE
116,13.01,253.4,11.05,2.21,Simple,0.38,SW
117,217.3,285.3,13.28,2.66,Simple,0.37,SE
118,130.82,317.62,8.1,1.62,Simple,0.37,SW
119,294.07,380.91,15.76,3.15,Simple,0.37,SE
120,190.73,290.74,5.64,1.13,Simple,0.36,SW
121,159.55,203.96,5.83,1.17,Simple,0.36,NW
122,218.18,201.46,7.09,1.42,Simple,0.36,NE
123,103.6,169.12,9.61,1.92,Simple,0.36,NW
124,192.93,204.86,34.16,6.83,Complex,0.36,NW
125,67.49,51.73,7.08,1.42,Simple,0.35,NW
126,208.82,159.14,11.96,2.39,Simple/Overlapping,0.35,NE
127,346.8,234.92,17.47,3.49,Simple,0.35,SE
128,108.11,11.99,6.91,1.38,Simple,0.35,NW
129,109.75,219.56,5.54,1.11,Simple,0.34,SW
130,161.31,109.95,6.24,1.25,Simple,0.34,NW
131,370.61,159.07,5.06,1.01,Simple,0.33,NE
132,311.7,367.04,10.78,2.16,Simple,0.33,SE
133,126.13,401.33,7.17,1.43,Simple,0.33,SW
134,76.0,349.73,14.61,2.92,Simple,0.32,SW
135,386.35,39.52,5.32,1.06,Simple,0.32,NE
136,149.38,77.21,9.27,1.85,Simple,0.32,NW
137,130.26,93.06,39.2,7.84,Complex,0.31,NW
138,49.85,182.54,6.33,1.27,Simple/Overlapping,0.31,NW
139,222.43,115.98,53.8,10.76,Complex,0.3,NE
140,253.56,7.89,6.92,1.38,Simple,0.3,NE
141,385.76,27.79,5.61,1.12,Simple,0.29,NE
142,44.76,102.06,6.2,1.24,Simple,0.28,NW
143,75.16,118.98,11.96,2.39,Simple,0.28,NW
144,92.91,155.33,20.25,4.05,Complex,0.28,NW
145,109.85,233.36,24.74,4.95,Complex,0.28,SW
146,370.72,303.29,5.29,1.06,Simple,0.27,SE
147,303.88,265.28,9.55,1.91,Simple,0.27,SE
148,220.9,309.18,44.86,8.97,Complex/Overlapping,0.27,SE
149,332.91,151.91,5.95,1.19,Simple,0.26,NE
150,196.48,350.33,5.64,1.13,Simple,0.26,SW
151,89.57,355.45,10.53,2.11,Simple,0.25,SW
