ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,308.26,273.66,26.94,5.39,Complex,0.93,SE
2,204.92,394.1,17.47,3.49,Simple,0.93,SW
3,268.57,58.47,17.75,3.55,Simple,0.91,NE
4,146.87,322.48,12.13,2.43,Simple,0.91,SW
5,294.86,22.17,7.12,1.42,Simple,0.9,NE
6,276.05,378.69,11.84,2.37,Simple,0.89,SE
7,294.88,330.9,12.27,2.45,Simple,0.89,SE
8,134.69,310.94,13.11,2.62,Simple,0.89,SW
9,277.05,21.56,12.76,2.55,Simple,0.88,NE
10,135.03,403.31,9.53,1.91,Simple,0.87,SW
11,175.41,203.45,7.78,1.56,Simple,0.86,NW
12,142.01,353.29,13.48,2.7,Simple,0.86,SW
13,237.79,311.56,9.85,1.97,Simple,0.86,SE
14,240.14,22.98,8.56,1.71,Simple,0.85,NE
15,262.67,91.13,16.15,3.23,Simple,0.84,NE
16,172.99,333.75,6.97,1.39,Simple,0.84,SW
17,268.25,226.85,8.52,1.7,Simple,0.84,SE
18,207.98,107.69,11.88,2.38,Simple,0.83,NW
19,187.2,291.38,7.54,1.51,Simple,0.83,SW
20,188.95,224.27,8.13,1.63,Simple,0.82,SW
21,266.54,268.71,8.31,1.66,Simple,0.81,SE
22,313.52,37.38,8.42,1.68,Simple,0.81,NE
23,296.7,309.62,9.11,1.82,Simple,0.79,SE
24,173.12,401.22,34.04,6.81,Complex,0.78,SW
25,191.27,334.92,32.76,6.55,Complex,0.78,SW
26,246.39,198.85,7.87,1.57,Simple,0.78,NE
27,201.54,279.36,7.01,1.4,Simple,0.77,SW
28,207.88,309.08,9.37,1.87,Simple,0.76,SW
29,298.79,348.66,11.33,2.27,Simple,0.75,SE
30,256.8,77.94,11.0,2.2,Simple,0.75,NE
31,331.24,34.11,10.51,2.1,Simple,0.75,NE
32,312.51,247.33,11.18,2.24,Simple,0.75,SE
33,271.81,348.74,9.32,1.86,Simple,0.74,SE
34,238.55,375.2,10.61,2.12,Simple,0.73,SE
35,229.18,44.64,17.43,3.49,Simple,0.73,NE
36,140.08,69.03,23.43,4.69,Complex,0.72,NW
37,314.98,310.73,6.42,1.28,Simple,0.7,SE
38,116.16,212.27,7.66,1.53,Simple,0.7,SW
39,267.51,387.24,7.98,1.6,Simple,0.7,SE
40,182.07,122.13,29.03,5.81,Complex,0.69,NW
41,129.17,57.66,8.87,1.77,Simple,0.69,NW
42,235.96,60.33,7.38,1.48,Simple,0.69,NE
43,171.21,107.46,8.2,1.64,Simple,0.68,NW
44,177.45,193.92,6.63,1.33,Simple,0.68,NW
45,269.17,370.11,7.41,1.48,Simple,0.67,SE
46,223.15,122.47,16.51,3.3,Simple,0.67,NE
47,195.88,184.42,6.9,1.38,Simple,0.66,NW
48,121.19,353.61,11.49,2.3,Simple/Overlapping,0.65,SW
49,247.94,405.02,24.05,4.81,Complex/Overlapping,0.64,SE
50,199.2,107.82,6.18,1.24,Simple,0.63,NW
51,166.41,140.13,11.44,2.29,Simple,0.61,NW
52,252.31,136.13,6.37,1.27,Simple,0.6,NE
53,159.98,215.76,6.74,1.35,Simple,0.6,SW
54,243.54,405.33,15.29,3.06,Simple/Overlapping,0.59,SE
55,205.54,124.7,14.84,2.97,Simple,0.59,NW
56,218.41,314.09,10.14,2.03,Simple,0.58,SE
57,276.3,248.74,6.61,1.32,Simple,0.57,SE
58,185.68,30.28,15.55,3.11,Simple,0.56,NW
59,286.73,396.69,25.73,5.15,Complex,0.54,SE
60,277.77,85.23,9.96,1.99,Simple,0.54,NE
61,250.88,403.2,30.93,6.19,Complex/Overlapping,0.54,SE
62,177.09,6.19,17.42,3.48,Degraded,0.53,NW
63,138.74,27.55,5.59,1.12,Simple,0.53,NW
64,129.45,15.71,25.32,5.06,Complex,0.51,NW
65,184.41,211.99,6.8,1.36,Simple,0.51,SW
66,128.73,348.14,8.67,1.73,Simple,0.51,SW
67,214.08,237.43,8.25,1.65,Simple,0.49,SE
68,131.76,357.31,7.38,1.48,Simple,0.47,SW
69,318.85,128.8,5.92,1.18,Simple,0.44,NE
70,178.1,381.32,7.41,1.48,Simple,0.44,SW
71,307.57,387.18,11.95,2.39,Simple,0.44,SE
72,260.39,377.59,6.02,1.2,Simple,0.44,SE
73,306.95,237.76,7.82,1.56,Simple,0.44,SE
74,277.29,345.9,5.73,1.15,Simple,0.43,SE
75,165.84,177.23,10.57,2.11,Simple,0.43,NW
76,97.0,346.85,5.52,1.1,Simple,0.42,SW
77,280.82,242.96,5.7,1.14,Simple,0.42,SE
78,115.88,361.99,15.01,3.0,Simple/Overlapping,0.39,SW
79,324.77,410.49,6.96,1.39,Simple,0.39,SE
80,294.0,115.76,5.86,1.17,Simple,0.39,NE
81,295.1,302.31,7.52,1.5,Simple,0.39,SE
82,135.41,106.16,6.86,1.37,Simple,0.38,NW
83,256.07,329.59,5.56,1.11,Simple,0.38,SE
84,93.02,74.2,23.97,4.79,Complex,0.37,NW
85,94.95,99.81,9.11,1.82,Simple,0.37,NW
86,279.65,102.53,5.87,1.17,Simple,0.36,NE
87,190.08,64.96,48.43,9.69,Complex,0.36,NW
88,321.73,343.09,24.6,4.92,Complex,0.35,SE
89,166.47,230.85,5.92,1.18,Simple,0.35,SW
90,242.85,163.24,39.52,7.9,Complex,0.35,NE
91,126.14,338.18,10.73,2.15,Simple,0.34,SW
92,157.16,262.02,6.03,1.21,Simple,0.34,SW
93,170.48,315.92,6.36,1.27,Simple,0.34,SW
94,110.27,69.25,15.61,3.12,Simple/Overlapping,0.34,NW
95,225.71,232.43,11.9,2.38,Simple,0.34,SE
96,325.03,148.94,8.55,1.71,Simple,0.34,NE
97,274.21,276.79,6.72,1.34,Simple,0.33,SE
98,221.99,348.62,7.55,1.51,Simple,0.33,SE
