ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,253.0,389.0,29.66,5.93,Complex,0.96,SE
2,224.7,361.09,28.22,5.64,Complex,0.95,SE
3,289.12,159.45,7.83,1.57,Simple,0.93,NE
4,288.7,298.92,20.55,4.11,Complex,0.93,SE
5,239.21,290.15,30.08,6.02,Complex,0.92,SE
6,215.14,315.14,40.56,8.11,Complex,0.91,SE
7,298.0,168.22,12.2,2.44,Simple,0.91,NE
8,315.22,130.14,9.15,1.83,Simple,0.91,NE
9,320.43,38.34,16.95,3.39,Simple,0.91,NE
10,90.63,78.94,16.74,3.35,Simple,0.91,NW
11,301.33,132.23,14.05,2.81,Simple,0.9,NE
12,349.72,375.12,13.94,2.79,Simple,0.9,SE
13,81.75,19.38,7.9,1.58,Simple,0.9,NW
14,362.08,184.56,15.31,3.06,Simple,0.89,NE
15,312.59,302.35,16.74,3.35,Simple,0.89,SE
16,204.44,292.33,13.21,2.64,Simple,0.89,SW
17,190.74,69.52,8.01,1.6,Simple,0.88,NW
18,241.83,330.01,17.33,3.47,Simple,0.88,SE
19,288.96,315.56,15.01,3.0,Simple,0.88,SE
20,308.79,164.46,8.31,1.66,Simple,0.87,NE
21,364.01,308.27,15.55,3.11,Simple,0.87,SE
22,329.31,374.7,8.07,1.61,Simple,0.87,SE
23,275.5,232.29,8.61,1.72,Simple,0.87,SE
24,15.87,407.64,17.2,3.44,Simple,0.86,SW
25,15.15,321.19,7.2,1.44,Simple,0.86,SW
26,19.78,166.51,9.34,1.87,Simple,0.86,NW
27,193.69,264.23,9.51,1.9,Simple,0.85,SW
28,301.46,156.66,11.25,2.25,Simple,0.84,NE
29,43.28,171.23,15.08,3.02,Simple/Overlapping,0.84,NW
30,163.14,135.5,13.58,2.72,Simple,0.84,NW
31,335.88,236.44,14.08,2.82,Simple,0.83,SE
32,153.29,77.12,8.87,1.77,Simple,0.83,NW
33,90.24,370.15,10.59,2.12,Simple,0.82,SW
34,231.94,216.69,28.82,5.76,Complex/Overlapping,0.82,SE
35,361.38,137.72,6.36,1.27,Simple,0.82,NE
36,204.44,409.18,23.11,4.62,Degraded,0.81,SW
37,323.95,305.32,7.71,1.54,Simple,0.81,SE
38,233.02,274.43,6.96,1.39,Simple,0.8,SE
39,49.38,289.85,6.57,1.31,Simple,0.79,SW
40,103.13,63.06,21.16,4.23,Complex,0.78,NW
41,214.54,379.43,9.02,1.8,Simple,0.78,SE
42,128.13,98.7,6.87,1.37,Simple/Overlapping,0.77,NW
43,195.47,382.39,32.5,6.5,Complex,0.77,SW
44,181.26,231.23,31.63,6.33,Complex/Overlapping,0.77,SW
45,393.34,246.77,12.15,2.43,Simple,0.76,SE
46,111.49,100.25,16.16,3.23,Simple/Overlapping,0.76,NW
47,31.76,127.66,9.08,1.82,Simple,0.76,NW
48,200.63,258.54,7.8,1.56,Simple,0.75,SW
49,91.01,410.24,6.95,1.39,Simple,0.73,SW
50,353.46,292.7,27.92,5.58,Complex,0.73,SE
51,101.64,322.15,25.49,5.1,Complex,0.73,SW
52,396.23,52.99,7.69,1.54,Simple,0.72,NE
53,221.92,97.18,15.55,3.11,Simple,0.71,NE
54,271.47,196.09,16.52,3.3,Simple,0.7,NE
55,164.05,213.77,20.9,4.18,Complex,0.7,SW
56,192.28,203.78,6.61,1.32,Simple,0.69,NW
57,178.4,233.18,8.63,1.73,Simple/Overlapping,0.69,SW
58,337.51,133.7,7.51,1.5,Simple,0.68,NE
59,177.07,177.59,9.11,1.82,Simple,0.68,NW
60,64.69,263.08,6.42,1.28,Simple,0.67,SW
61,249.07,194.8,30.53,6.11,Complex,0.66,NE
62,45.15,31.07,22.41,4.48,Complex,0.66,NW
63,281.71,381.95,5.92,1.18,Simple,0.66,SE
64,124.03,110.18,16.28,3.26,Simple/Overlapping,0.65,NW
65,224.07,244.27,14.44,2.89,Simple/Overlapping,0.64,SE
66,234.88,235.31,11.79,2.36,Simple,0.64,SE
67,355.39,262.11,6.13,1.23,Simple,0.63,SE
68,341.86,116.86,6.18,1.24,Simple,0.63,NE
69,323.56,2.69,10.34,2.07,Degraded,0.61,NE
70,250.57,313.81,20.02,4.0,Complex,0.61,SE
71,384.95,207.67,6.31,1.26,Simple,0.6,NE
72,297.78,216.41,8.07,1.61,Simple/Overlapping,0.6,SE
73,23.74,118.55,18.35,3.67,Simple/Overlapping,0.6,NW
74,315.65,191.83,5.65,1.13,Simple,0.6,NE
75,267.21,249.09,37.32,7.46,Complex,0.59,SE
76,97.16,194.85,12.84,2.57,Simple,0.59,NW
77,291.52,219.62,17.81,3.56,Simple/Overlapping,0.57,SE
78,305.04,264.1,16.48,3.3,Simple,0.57,SE
79,274.49,374.95,7.64,1.53,Simple,0.57,SE
80,235.32,197.44,6.21,1.24,Simple,0.57,NE
81,370.37,336.15,19.03,3.81,Simple/Overlapping,0.56,SE
82,191.75,48.72,6.98,1.4,Simple,0.56,NW
83,226.23,79.91,12.03,2.41,Simple,0.55,NE
84,225.26,336.9,16.68,3.34,Simple,0.54,SE
85,333.29,389.46,14.29,2.86,Simple,0.53,SE
86,307.34,211.99,11.77,2.35,Simple,0.53,SE
87,206.6,88.91,18.62,3.72,Simple,0.51,NW
88,137.16,17.67,6.64,1.33,Simple,0.51,NW
89,19.98,118.42,15.65,3.13,Simple/Overlapping,0.51,NW
90,187.58,87.11,6.92,1.38,Simple,0.5,NW
91,97.71,351.34,14.28,2.86,Simple,0.49,SW
92,25.6,158.38,11.35,2.27,Simple,0.49,NW
93,268.23,104.7,36.76,7.35,Complex/Overlapping,0.49,NE
94,178.67,85.88,11.3,2.26,Simple,0.48,NW
95,401.37,271.75,21.28,4.26,Complex/Overlapping,0.45,SE
96,224.11,247.74,12.19,2.44,Simple/Overlapping,0.45,SE
97,26.61,323.84,61.1,12.22,Complex,0.44,SW
98,347.67,58.68,11.06,2.21,Simple,0.44,NE
99,22.35,92.52,18.69,3.74,Simple,0.43,NW
100,221.25,228.67,13.39,2.68,Simple/Overlapping,0.43,SE
101,344.15,19.68,5.76,1.15,Simple,0.43,NE
102,69.12,284.12,81.26,16.25,Complex,0.42,SW
103,211.49,133.29,12.82,2.56,Simple,0.42,NE
104,399.76,265.88,33.34,6.67,Degraded/Overlapping,0.41,SE
105,22.05,117.89,16.17,3.23,Simple/Overlapping,0.41,NW
106,25.74,277.49,10.76,2.15,Simple,0.4,SW
107,279.24,61.21,5.37,1.07,Simple,0.4,NE
108,268.55,91.11,29.62,5.92,Complex/Overlapping,0.39,NE
109,44.32,158.17,25.2,5.04,Complex/Overlapping,0.38,NW
110,299.74,286.89,14.64,2.93,Simple,0.37,SE
111,164.58,77.8,7.8,1.56,Simple,0.37,NW
112,278.72,369.2,6.1,1.22,Simple,0.37,SE
113,64.24,111.2,5.4,1.08,Simple,0.36,NW
114,268.45,96.38,35.76,7.15,Complex/Overlapping,0.36,NE
115,291.56,392.39,6.62,1.32,Simple,0.36,SE
116,354.28,317.74,7.59,1.52,Simple,0.36,SE
117,370.78,24.04,6.08,1.22,Simple,0.36,NE
118,253.48,123.48,27.43,5.49,Complex/Overlapping,0.35,NE
119,60.99,98.21,11.69,2.34,Simple,0.35,NW
120,351.45,165.6,17.55,3.51,Simple,0.34,NE
121,269.74,82.5,16.54,3.31,Simple/Overlapping,0.34,NE
122,181.78,233.84,21.69,4.34,Degraded/Overlapping,0.34,SW
123,300.86,379.66,15.38,3.08,Simple,0.34,SE
124,39.24,92.27,5.65,1.13,Simple,0.33,NW
125,20.66,60.97,5.95,1.19,Simple,0.33,NW
126,113.39,276.17,47.1,9.42,Complex,0.33,SW
