ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,220.61,48.85,29.27,5.85,Complex,0.94,NE
2,137.63,247.12,21.7,4.34,Complex,0.94,SW
3,147.63,329.57,9.81,1.96,Simple,0.94,SW
4,214.7,321.39,12.94,2.59,Simple,0.93,SE
5,405.99,272.74,15.8,3.16,Simple,0.93,SE
6,83.11,216.07,14.98,3.0,Simple,0.93,SW
7,248.06,189.72,10.31,2.06,Simple,0.93,NE
8,366.15,336.37,9.62,1.92,Simple,0.93,SE
9,264.23,220.23,21.01,4.2,Complex,0.92,SE
10,92.71,367.22,11.73,2.35,Simple,0.92,SW
11,406.42,192.84,14.29,2.86,Simple,0.91,NE
12,220.29,383.46,8.16,1.63,Simple,0.91,SE
13,308.5,26.07,16.17,3.23,Simple,0.91,NE
14,195.4,62.52,14.22,2.84,Simple,0.91,NW
15,377.76,308.33,8.6,1.72,Simple,0.91,SE
16,329.46,192.94,8.65,1.73,Simple,0.91,NE
17,124.48,130.93,10.79,2.16,Simple,0.91,NW
18,95.41,158.15,9.31,1.86,Simple,0.91,NW
19,376.6,69.46,8.5,1.7,Simple/Overlapping,0.91,NE
20,244.0,135.77,9.84,1.97,Simple,0.91,NE
21,408.71,254.47,17.2,3.44,Simple,0.91,SE
22,314.63,293.59,8.32,1.66,Simple,0.91,SE
23,280.19,75.93,17.3,3.46,Simple,0.91,NE
24,131.07,209.35,11.78,2.36,Simple,0.9,SW
25,14.28,368.48,9.92,1.98,Simple,0.9,SW
26,409.84,94.54,11.88,2.38,Simple,0.9,NE
27,229.55,200.74,12.91,2.58,Simple,0.9,NE
28,389.35,61.08,11.6,2.32,Simple,0.9,NE
29,54.4,98.68,9.63,1.93,Simple,0.89,NW
30,252.66,14.31,13.8,2.76,Simple,0.89,NE
31,378.69,188.23,15.1,3.02,Simple,0.89,NE
32,167.72,371.41,12.89,2.58,Simple,0.89,SW
33,212.45,123.83,11.16,2.23,Simple,0.89,NE
34,376.66,60.15,10.29,2.06,Simple/Overlapping,0.89,NE
35,168.42,355.52,10.97,2.19,Simple,0.89,SW
36,214.39,167.51,18.14,3.63,Simple,0.89,NE
37,92.59,207.85,11.67,2.33,Simple,0.89,NW
38,213.53,68.2,13.82,2.76,Simple,0.88,NE
39,108.74,227.88,10.27,2.05,Simple,0.88,SW
40,5.75,126.67,9.12,1.82,Simple,0.88,NW
41,178.61,400.42,42.37,8.47,Degraded,0.88,SW
42,15.21,81.12,9.61,1.92,Simple/Overlapping,0.88,NW
43,160.79,92.15,16.67,3.33,Simple,0.88,NW
44,20.85,124.91,10.57,2.11,Simple,0.88,NW
45,95.01,251.6,20.69,4.14,Complex,0.87,SW
46,392.72,204.8,12.08,2.42,Simple,0.87,NE
47,109.32,248.21,11.86,2.37,Simple,0.87,SW
48,174.17,114.5,12.42,2.48,Simple,0.87,NW
49,232.7,154.83,10.13,2.03,Simple,0.87,NE
50,199.88,316.36,7.83,1.57,Simple,0.86,SW
51,93.06,189.04,7.97,1.59,Simple,0.86,NW
52,230.84,20.22,11.78,2.36,Simple,0.86,NE
53,229.2,278.44,7.72,1.54,Simple,0.86,SE
54,94.61,77.55,11.27,2.25,Simple,0.86,NW
55,193.61,152.25,8.0,1.6,Simple,0.86,NW
56,349.88,369.72,8.06,1.61,Simple,0.85,SE
57,261.9,190.74,8.51,1.7,Simple,0.85,NE
58,111.04,72.45,13.02,2.6,Simple,0.84,NW
59,114.21,36.14,11.67,2.33,Simple,0.83,NW
60,361.09,227.13,8.18,1.64,Simple,0.83,SE
61,212.54,298.3,8.68,1.74,Simple,0.83,SE
62,409.48,158.98,11.77,2.35,Simple/Overlapping,0.83,NE
63,227.13,242.82,8.14,1.63,Simple,0.83,SE
64,89.2,290.28,8.13,1.63,Simple,0.83,SW
65,50.83,120.27,9.14,1.83,Simple,0.83,NW
66,69.25,295.94,19.24,3.85,Simple,0.83,SW
67,317.76,153.65,7.72,1.54,Simple,0.82,NE
68,271.06,29.38,24.76,4.95,Complex/Overlapping,0.82,NE
69,398.16,394.89,9.33,1.87,Simple,0.82,SE
70,100.53,269.19,8.0,1.6,Simple,0.82,SW
71,344.46,48.34,13.26,2.65,Simple,0.82,NE
72,238.62,365.71,7.02,1.4,Simple,0.81,SE
73,255.73,108.22,7.35,1.47,Simple,0.81,NE
74,104.05,262.29,9.18,1.84,Simple,0.81,SW
75,260.74,238.95,8.5,1.7,Simple,0.81,SE
76,14.24,33.02,7.48,1.5,Simple,0.81,NW
77,282.29,286.47,7.3,1.46,Simple,0.8,SE
78,198.85,85.38,6.84,1.37,Simple,0.8,NW
79,380.36,4.2,14.63,2.93,Degraded,0.8,NE
80,90.24,398.31,8.15,1.63,Simple,0.8,SW
81,385.45,375.31,9.53,1.91,Simple,0.79,SE
82,363.54,203.05,7.74,1.55,Simple,0.79,NE
83,157.15,48.37,12.3,2.46,Simple,0.79,NW
84,9.2,152.96,24.63,4.93,Complex/Overlapping,0.77,NW
85,335.11,409.71,7.17,1.43,Simple,0.77,SE
86,27.89,95.45,6.93,1.39,Simple,0.76,NW
87,221.08,108.45,8.51,1.7,Simple,0.76,NE
88,207.64,385.77,7.62,1.52,Simple,0.76,SW
89,292.39,66.65,12.81,2.56,Simple/Overlapping,0.75,NE
90,41.15,365.01,7.35,1.47,Simple,0.74,SW
91,147.44,157.59,10.35,2.07,Simple,0.74,NW
92,66.07,371.53,6.97,1.39,Simple,0.73,SW
93,20.87,209.6,6.73,1.35,Simple,0.73,SW
94,109.17,145.7,8.95,1.79,Simple,0.73,NW
95,249.15,300.35,6.68,1.34,Simple,0.72,SE
96,341.89,250.3,6.82,1.36,Simple,0.72,SE
97,194.25,353.42,7.26,1.45,Simple,0.72,SW
98,231.0,28.28,7.97,1.59,Simple,0.72,NE
99,69.98,376.03,6.42,1.28,Simple,0.71,SW
100,180.63,210.11,25.11,5.02,Complex,0.71,SW
101,191.5,95.57,6.94,1.39,Simple,0.71,NW
102,254.02,180.57,9.21,1.84,Simple,0.7,NE
103,296.85,347.79,8.99,1.8,Simple,0.7,SE
104,95.53,146.62,8.64,1.73,Simple/Overlapping,0.7,NW
105,51.91,140.08,7.91,1.58,Simple,0.69,NW
106,409.35,24.0,15.38,3.08,Simple/Overlapping,0.69,NE
107,360.16,209.35,9.9,1.98,Simple,0.68,SE
108,336.18,127.15,6.08,1.22,Simple,0.68,NE
109,71.66,33.87,6.61,1.32,Simple,0.67,NW
110,205.91,252.61,76.94,15.39,Complex,0.67,SW
111,307.26,190.21,6.88,1.38,Simple,0.66,NE
112,327.85,101.8,89.65,17.93,Complex,0.66,NE
113,152.05,132.86,14.87,2.97,Simple,0.66,NW
114,73.8,69.2,6.79,1.36,Simple,0.66,NW
115,259.53,319.78,7.22,1.44,Simple,0.66,SE
116,10.37,48.41,7.1,1.42,Simple,0.65,NW
117,222.19,351.67,6.64,1.33,Simple,0.65,SE
118,132.84,21.3,51.34,10.27,Complex,0.65,NW
119,201.49,341.09,7.03,1.41,Simple,0.65,SW
120,280.44,309.25,6.72,1.34,Simple,0.64,SE
121,143.15,95.0,10.97,2.19,Simple,0.64,NW
122,329.46,63.66,6.0,1.2,Simple,0.63,NE
123,109.02,376.63,7.67,1.53,Simple,0.63,SW
124,122.94,56.25,27.52,5.5,Complex/Overlapping,0.63,NW
125,176.19,9.86,17.77,3.55,Simple,0.63,NW
126,95.83,96.2,7.19,1.44,Simple,0.62,NW
127,73.38,355.26,6.69,1.34,Simple,0.62,SW
128,327.02,161.69,7.24,1.45,Simple,0.61,NE
129,347.74,329.51,6.55,1.31,Simple,0.61,SE
130,247.87,210.26,24.05,4.81,Complex,0.6,SE
131,155.1,75.05,31.62,6.32,Complex,0.59,NW
132,99.06,227.17,10.37,2.07,Simple/Overlapping,0.59,SW
133,87.6,15.84,11.85,2.37,Simple,0.59,NW
134,328.37,174.9,7.63,1.53,Simple,0.58,NE
135,187.73,310.68,6.47,1.29,Simple,0.55,SW
136,148.85,220.35,7.27,1.45,Simple,0.55,SW
137,55.5,180.81,7.11,1.42,Simple,0.55,NW
138,201.87,109.69,19.34,3.87,Simple/Overlapping,0.54,NW
139,295.95,145.41,9.57,1.91,Simple,0.54,NE
140,157.72,154.76,7.62,1.52,Simple,0.54,NW
141,197.58,324.43,9.21,1.84,Simple,0.54,SW
142,97.86,137.35,17.59,3.52,Simple/Overlapping,0.54,NW
143,409.78,329.48,13.23,2.65,Simple/Overlapping,0.53,SE
144,9.85,103.04,7.1,1.42,Simple,0.52,NW
145,2.2,205.5,6.91,1.38,Degraded,0.52,NW
146,283.04,377.92,6.45,1.29,Simple,0.52,SE
147,191.62,79.52,15.33,3.07,Simple,0.52,NW
148,388.12,253.33,8.06,1.61,Simple,0.5,SE
149,373.19,27.54,58.91,11.78,Complex,0.5,NE
150,181.26,312.5,6.48,1.3,Simple,0.5,SW
151,210.29,212.92,30.46,6.09,Complex,0.5,SE
152,395.18,146.96,8.81,1.76,Simple,0.5,NE
153,96.37,237.4,12.12,2.42,Simple/Overlapping,0.49,SW
154,313.51,65.96,7.36,1.47,Simple,0.49,NE
155,394.01,113.8,23.73,4.75,Complex,0.49,NE
156,65.12,141.38,13.34,2.67,Simple,0.48,NW
157,129.5,55.05,9.58,1.92,Simple/Overlapping,0.48,NW
158,104.9,411.01,7.14,1.43,Simple,0.48,SW
159,17.78,76.17,6.62,1.32,Simple/Overlapping,0.48,NW
160,386.56,77.37,58.88,11.78,Complex,0.47,NE
161,211.74,27.17,7.62,1.52,Simple,0.46,NE
162,293.26,60.92,9.18,1.84,Degraded/Overlapping,0.46,NE
163,174.17,237.88,17.29,3.46,Simple,0.44,SW
164,177.18,355.74,6.64,1.33,Simple,0.44,SW
165,96.85,37.33,9.41,1.88,Simple,0.43,NW
166,137.25,114.45,6.74,1.35,Simple,0.42,NW
167,333.24,40.72,9.91,1.98,Simple,0.42,NE
168,136.16,398.1,6.69,1.34,Simple,0.42,SW
169,12.52,149.09,13.1,2.62,Simple/Overlapping,0.42,NW
170,249.89,376.46,5.96,1.19,Simple,0.41,SE
171,363.67,409.93,6.72,1.34,Simple,0.41,SE
172,202.98,411.83,9.99,2.0,Degraded,0.4,SW
173,66.34,190.96,6.4,1.28,Simple,0.39,NW
174,57.11,7.63,5.84,1.17,Simple,0.39,NW
175,274.21,146.38,6.12,1.22,Simple,0.39,NE
176,100.35,5.01,10.1,2.02,Simple,0.39,NW
177,251.47,70.54,6.82,1.36,Simple,0.39,NE
178,200.27,102.91,15.81,3.16,Simple/Overlapping,0.38,NW
179,212.11,373.03,7.32,1.46,Simple,0.37,SE
180,134.39,290.79,7.29,1.46,Simple,0.37,SW
181,177.58,406.42,10.42,2.08,Simple,0.37,SW
182,28.19,185.84,7.15,1.43,Simple,0.37,NW
183,280.42,177.12,15.56,3.11,Simple,0.36,NE
184,413.0,295.73,6.64,1.33,Simple,0.36,SE
185,98.06,229.6,11.72,2.34,Simple/Overlapping,0.36,SW
186,80.99,329.71,6.28,1.26,Simple,0.36,SW
187,35.18,392.82,12.61,2.52,Simple,0.36,SW
188,412.99,157.05,11.02,2.2,Degraded/Overlapping,0.36,NE
189,168.43,225.03,14.02,2.8,Simple,0.36,SW
190,379.09,203.59,6.73,1.35,Simple,0.35,NE
191,159.67,332.48,7.38,1.48,Simple,0.35,SW
192,82.4,228.99,6.33,1.27,Simple,0.34,SW
193,158.92,376.21,6.24,1.25,Simple,0.34,SW
194,2.59,222.05,8.02,1.6,Degraded,0.34,SW
195,97.79,168.58,14.11,2.82,Simple,0.34,NW
