ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,334.78,32.62,28.58,5.72,Complex,0.95,NE
2,88.35,393.03,16.86,3.37,Simple,0.91,SW
3,191.09,242.65,9.51,1.9,Simple,0.91,SW
4,207.67,360.09,15.03,3.01,Simple,0.91,SW
5,41.98,281.39,9.47,1.89,Simple,0.89,SW
6,93.6,233.63,10.62,2.12,Simple,0.89,SW
7,200.63,53.4,8.08,1.62,Simple,0.89,NW
8,193.87,351.92,8.52,1.7,Simple,0.89,SW
9,311.93,369.3,11.64,2.33,Simple,0.89,SE
10,37.66,32.54,8.33,1.67,Simple,0.88,NW
11,146.09,321.95,11.24,2.25,Simple,0.88,SW
12,106.68,254.36,10.86,2.17,Simple,0.88,SW
13,256.72,316.87,10.19,2.04,Simple,0.88,SE
14,185.18,387.27,9.01,1.8,Simple,0.88,SW
15,198.13,257.63,9.47,1.89,Simple,0.87,SW
16,310.91,111.65,18.28,3.66,Simple,0.87,NE
17,67.21,10.56,10.59,2.12,Simple,0.86,NW
18,143.21,162.51,11.03,2.21,Simple,0.86,NW
19,213.43,299.87,10.18,2.04,Simple,0.85,SE
20,294.37,201.31,9.43,1.89,Simple,0.85,NE
21,346.7,402.71,10.2,2.04,Simple,0.85,SE
22,129.14,315.96,13.26,2.65,Simple,0.85,SW
23,193.08,381.83,8.84,1.77,Simple,0.84,SW
24,87.73,143.68,7.0,1.4,Simple,0.83,NW
25,86.1,221.61,19.54,3.91,Simple,0.82,SW
26,303.49,75.53,28.43,5.69,Complex,0.82,NE
27,131.18,188.89,11.61,2.32,Simple,0.81,NW
28,249.17,100.32,10.77,2.15,Simple,0.8,NE
29,25.26,196.31,19.32,3.86,Degraded,0.79,NW
30,343.63,387.45,12.2,2.44,Simple,0.79,SE
31,165.27,380.02,10.94,2.19,Simple,0.78,SW
32,100.03,273.39,10.23,2.05,Simple,0.76,SW
33,199.3,285.14,10.37,2.07,Simple,0.75,SW
34,65.39,20.14,8.46,1.69,Simple,0.75,NW
35,28.86,222.29,15.04,3.01,Simple,0.74,SW
36,200.81,274.26,18.24,3.65,Simple,0.74,SW
37,61.84,389.53,26.11,5.22,Complex,0.71,SW
38,345.78,203.43,17.7,3.54,Simple,0.71,NE
39,140.03,402.0,6.75,1.35,Simple,0.69,SW
40,106.33,310.32,17.28,3.46,Simple/Overlapping,0.69,SW
41,310.76,228.1,7.33,1.47,Simple,0.68,SE
42,116.14,344.27,20.89,4.18,Complex,0.67,SW
43,116.9,324.75,7.78,1.56,Simple,0.66,SW
44,283.77,87.66,16.62,3.32,Simple,0.63,NE
45,346.35,189.81,11.5,2.3,Simple,0.63,NE
46,24.48,11.83,14.42,2.88,Degraded,0.61,NW
47,61.52,4.42,6.91,1.38,Simple,0.6,NW
48,380.37,336.9,49.36,9.87,Complex,0.6,SE
49,187.94,56.38,6.9,1.38,Simple,0.58,NW
50,189.55,257.16,6.85,1.37,Simple,0.55,SW
51,346.27,18.21,8.64,1.73,Simple,0.55,NE
52,40.26,22.91,6.19,1.24,Simple,0.53,NW
53,299.67,94.14,18.31,3.66,Simple,0.53,NE
54,50.27,263.11,12.5,2.5,Simple/Overlapping,0.52,SW
55,185.11,218.19,68.84,13.77,Complex,0.51,SW
56,92.87,42.69,6.16,1.23,Simple,0.51,NW
57,51.57,269.64,8.7,1.74,Degraded/Overlapping,0.46,SW
58,349.45,287.5,29.25,5.85,Complex,0.46,SE
59,41.0,12.56,6.32,1.26,Simple,0.46,NW
60,341.72,88.25,27.77,5.55,Complex,0.46,NE
61,102.07,60.06,6.25,1.25,Simple,0.45,NW
62,158.53,386.2,5.96,1.19,Simple,0.45,SW
63,222.57,209.51,17.07,3.41,Simple,0.44,SE
64,270.35,332.62,7.48,1.5,Simple,0.44,SE
65,312.01,9.47,24.11,4.82,Complex,0.43,NE
66,154.14,107.63,9.46,1.89,Simple,0.41,NW
67,133.68,164.05,7.84,1.57,Simple,0.41,NW
68,359.43,11.46,21.88,4.38,Complex,0.39,NE
69,343.73,220.32,24.04,4.81,Complex,0.38,SE
70,214.12,406.82,11.87,2.37,Simple,0.37,SE
71,25.11,409.29,5.91,1.18,Simple,0.36,SW
72,183.09,61.63,5.11,1.02,Simple,0.33,NW
73,274.29,402.08,24.41,4.88,Complex,0.33,SE
74,81.8,12.27,6.62,1.32,Simple,0.33,NW
75,102.06,176.95,5.04,1.01,Simple,0.32,NW
76,257.84,286.08,14.36,2.87,Simple,0.32,SE
77,363.82,226.24,20.11,4.02,Complex,0.32,SE
78,201.19,248.02,5.34,1.07,Simple,0.32,SW
79,25.39,120.91,6.53,1.31,Simple,0.32,NW
80,325.03,213.94,10.77,2.15,Simple,0.31,SE
81,337.71,354.59,8.32,1.66,Simple,0.3,SE
82,326.34,272.61,17.09,3.42,Simple,0.29,SE
83,202.6,88.39,6.49,1.3,Simple,0.29,NW
84,373.02,414.05,6.82,1.36,Degraded,0.28,SE
85,151.07,59.29,5.13,1.03,Simple,0.28,NW
86,325.76,108.83,7.46,1.49,Simple,0.28,NE
87,157.17,22.8,5.29,1.06,Simple,0.28,NW
88,79.42,22.01,7.99,1.6,Simple,0.27,NW
89,50.87,294.01,5.25,1.05,Simple,0.27,SW
90,30.47,362.39,6.92,1.38,Simple,0.27,SW
91,109.46,316.13,13.49,2.7,Simple/Overlapping,0.27,SW
92,253.04,394.38,14.85,2.97,Simple,0.27,SE
93,110.28,282.95,15.62,3.12,Simple,0.25,SW
94,53.38,50.88,5.35,1.07,Simple,0.25,NW
