ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,337.64,389.37,21.0,4.2,Complex,0.89,SE
2,291.78,59.55,21.96,4.39,Complex,0.87,NE
3,90.23,15.83,13.2,2.64,Simple,0.87,NW
4,111.67,122.81,22.11,4.42,Complex,0.86,NW
5,316.67,126.81,26.69,5.34,Complex,0.84,NE
6,148.71,122.14,19.92,3.98,Simple,0.83,NW
7,117.02,97.39,8.02,1.6,Simple,0.8,NW
8,240.46,15.99,14.06,2.81,Simple,0.8,NE
9,62.04,27.95,23.08,4.62,Complex,0.68,NW
10,334.64,241.38,12.07,2.41,Simple,0.67,SE
11,195.72,308.45,178.66,35.73,Complex,0.63,SW
12,299.13,74.19,15.11,3.02,Simple,0.59,NE
13,350.73,393.16,6.9,1.38,Simple,0.56,SE
14,139.64,51.72,8.24,1.65,Simple,0.51,NW
15,131.35,141.52,8.71,1.74,Simple,0.5,NW
16,345.82,5.68,8.0,1.6,Simple,0.45,NE
17,122.26,366.13,7.49,1.5,Simple,0.45,SW
18,112.64,45.44,17.32,3.46,Simple,0.44,NW
19,267.52,48.02,7.43,1.49,Simple,0.43,NE
20,329.25,194.04,10.38,2.08,Simple,0.4,NE
21,183.03,147.14,10.92,2.18,Simple,0.39,NW
22,330.81,403.79,11.94,2.39,Simple,0.39,SE
23,117.21,15.46,40.68,8.14,Degraded/Overlapping,0.37,NW
24,177.52,59.0,9.84,1.97,Simple,0.37,NW
25,141.8,158.82,7.7,1.54,Simple,0.37,NW
26,323.33,407.45,6.7,1.34,Simple,0.33,SE
27,256.05,16.58,13.14,2.63,Simple,0.32,NE
28,346.27,307.52,15.79,3.16,Simple,0.32,SE
29,364.02,391.96,6.51,1.3,Simple,0.3,SE
30,94.39,161.77,5.36,1.07,Simple,0.3,NW
31,139.95,26.83,9.29,1.86,Simple,0.3,NW
32,290.65,44.76,6.0,1.2,Simple,0.3,NE
33,276.99,54.63,11.16,2.23,Simple,0.29,NE
34,169.0,125.01,23.57,4.71,Complex,0.29,NW
35,356.32,379.9,7.47,1.49,Simple,0.28,SE
36,318.03,69.55,19.04,3.81,Simple,0.28,NE
37,209.46,49.47,13.21,2.64,Simple,0.27,NE
38,99.42,74.48,7.01,1.4,Simple,0.26,NW
39,313.7,411.71,13.85,2.77,Degraded,0.26,SE
40,122.15,13.36,30.61,6.12,Complex/Overlapping,0.26,NW
41,320.23,376.83,10.76,2.15,Simple,0.26,SE
42,155.64,87.44,8.14,1.63,Simple,0.25,NW
43,121.54,68.65,10.11,2.02,Simple,0.25,NW
