ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,109.96,395.78,23.87,4.77,Complex,0.93,SW
2,287.98,58.96,11.79,2.36,Simple,0.91,NE
3,92.9,291.8,19.33,3.87,Simple,0.89,SW
4,227.4,310.3,62.28,12.46,Complex,0.89,SE
5,246.41,195.68,18.2,3.64,Simple,0.88,NE
6,170.34,78.25,9.86,1.97,Simple,0.88,NW
7,296.75,97.38,13.32,2.66,Simple,0.87,NE
8,140.54,393.65,10.59,2.12,Simple,0.87,SW
9,263.86,26.5,11.31,2.26,Simple,0.87,NE
10,271.13,100.75,12.86,2.57,Simple,0.86,NE
11,341.37,280.33,22.65,4.53,Complex,0.85,SE
12,326.65,403.87,9.68,1.94,Simple,0.85,SE
13,311.72,78.95,11.66,2.33,Simple,0.84,NE
14,87.49,152.51,7.29,1.46,Simple,0.83,NW
15,293.69,79.57,10.48,2.1,Simple,0.83,NE
16,242.24,135.86,8.33,1.67,Simple,0.83,NE
17,190.12,324.81,9.09,1.82,Simple,0.83,SW
18,302.52,85.25,11.38,2.28,Simple,0.83,NE
19,291.68,314.79,16.6,3.32,Simple,0.82,SE
20,333.48,330.31,15.65,3.13,Simple,0.81,SE
21,331.18,365.55,7.56,1.51,Simple,0.81,SE
22,284.1,170.0,14.2,2.84,Simple,0.81,NE
23,73.51,369.18,9.41,1.88,Simple,0.81,SW
24,303.72,115.9,8.66,1.73,Simple,0.8,NE
25,306.4,287.89,13.33,2.67,Simple,0.78,SE
26,269.46,296.42,10.04,2.01,Simple,0.75,SE
27,329.91,349.51,6.64,1.33,Simple,0.72,SE
28,188.96,30.09,7.49,1.5,Simple,0.72,NW
29,338.71,55.45,9.78,1.96,Simple,0.68,NE
30,213.89,108.37,9.11,1.82,Simple,0.68,NE
31,324.49,226.85,17.82,3.56,Simple/Overlapping,0.65,SE
32,281.45,100.87,6.48,1.3,Simple,0.64,NE
33,342.09,403.44,8.26,1.65,Simple,0.62,SE
34,107.92,178.64,11.67,2.33,Simple,0.62,NW
35,338.65,379.82,21.62,4.32,Complex,0.61,SE
36,175.56,264.31,5.72,1.14,Simple,0.59,SW
37,190.37,405.63,6.53,1.31,Simple,0.59,SW
38,316.27,246.67,32.64,6.53,Complex,0.58,SE
39,280.58,393.1,8.99,1.8,Simple,0.58,SE
40,78.87,213.06,6.9,1.38,Simple,0.57,SW
41,154.94,401.86,8.05,1.61,Simple,0.57,SW
42,196.86,44.44,7.07,1.41,Simple,0.57,NW
43,305.4,399.48,5.95,1.19,Simple,0.55,SE
44,191.57,9.55,13.64,2.73,Simple/Overlapping,0.54,NW
45,190.26,308.62,6.66,1.33,Simple,0.52,SW
46,205.77,362.94,9.04,1.81,Simple,0.51,SW
47,81.69,374.78,8.33,1.67,Simple,0.51,SW
48,254.93,151.23,8.16,1.63,Simple,0.5,NE
49,196.65,405.39,6.82,1.36,Simple,0.5,SW
50,277.12,176.86,8.38,1.68,Simple,0.5,NE
51,271.8,56.63,6.54,1.31,Simple,0.48,NE
52,349.28,112.24,5.87,1.17,Simple,0.48,NE
53,323.08,411.97,7.8,1.56,Simple,0.47,SE
54,111.66,4.81,6.13,1.23,Simple,0.47,NW
55,317.06,66.92,7.39,1.48,Simple,0.46,NE
56,288.23,88.36,6.51,1.3,Simple,0.46,NE
57,155.29,334.33,5.46,1.09,Simple,0.45,SW
58,129.38,54.05,5.65,1.13,Simple,0.44,NW
59,137.44,49.29,9.18,1.84,Simple,0.42,NW
60,325.84,223.85,22.52,4.5,Complex/Overlapping,0.41,SE
61,260.81,350.55,48.04,9.61,Complex,0.4,SE
62,140.06,122.14,5.27,1.05,Simple,0.4,NW
63,273.65,5.96,8.55,1.71,Simple,0.39,NE
64,184.92,13.62,9.51,1.9,Simple/Overlapping,0.38,NW
65,310.21,409.83,7.43,1.49,Simple,0.38,SE
66,317.39,258.63,8.23,1.65,Simple,0.37,SE
67,128.81,381.35,6.54,1.31,Simple,0.36,SW
68,275.27,115.03,5.89,1.18,Simple,0.36,NE
69,162.25,386.83,36.1,7.22,Complex,0.36,SW
70,211.86,387.39,10.3,2.06,Simple,0.35,SE
71,352.72,10.99,10.52,2.1,Simple,0.34,NE
72,184.44,16.01,6.4,1.28,Simple/Overlapping,0.34,NW
73,180.54,313.33,5.52,1.1,Simple,0.33,SW
74,184.78,15.04,6.74,1.35,Simple/Overlapping,0.33,NW
75,217.72,153.82,71.05,14.21,Complex,0.33,NE
76,158.66,340.84,8.1,1.62,Simple,0.32,SW
77,209.99,404.17,13.71,2.74,Simple,0.32,SE
78,329.73,32.15,59.05,11.81,Complex,0.29,NE
79,332.69,358.05,6.47,1.29,Simple,0.28,SE
