ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,278.41,310.06,11.76,2.35,Simple/Overlapping,0.93,SE
2,161.07,352.56,15.72,3.14,Simple,0.92,SW
3,283.29,10.36,10.12,2.02,Simple,0.92,NE
4,277.89,207.22,10.61,2.12,Simple,0.92,NE
5,147.34,359.28,9.09,1.82,Simple,0.91,SW
6,272.8,371.6,9.54,1.91,Simple,0.91,SE
7,307.25,236.72,19.16,3.83,Simple,0.9,SE
8,247.42,200.41,8.25,1.65,Simple,0.9,NE
9,271.67,38.35,9.49,1.9,Simple,0.89,NE
10,262.46,159.01,12.25,2.45,Simple,0.89,NE
11,121.72,8.19,8.78,1.76,Simple,0.89,NW
12,210.0,198.68,7.54,1.51,Simple,0.89,NE
13,291.5,63.57,9.04,1.81,Simple,0.89,NE
14,266.02,232.0,11.37,2.27,Simple,0.89,SE
15,287.77,320.39,8.88,1.78,Simple,0.88,SE
16,220.03,211.86,11.7,2.34,Simple/Overlapping,0.88,SE
17,247.05,76.54,8.69,1.74,Simple,0.88,NE
18,258.09,125.49,12.87,2.57,Simple,0.88,NE
19,263.81,143.88,8.12,1.62,Simple/Overlapping,0.88,NE
20,132.34,125.71,9.47,1.89,Simple,0.88,NW
21,109.89,177.31,7.62,1.52,Simple,0.87,NW
22,146.08,181.73,7.84,1.57,Simple,0.87,NW
23,287.44,242.37,10.05,2.01,Simple,0.86,SE
24,237.13,236.11,11.48,2.3,Simple,0.86,SE
25,270.25,46.04,9.74,1.95,Simple,0.85,NE
26,297.26,333.64,7.57,1.51,Simple,0.85,SE
27,308.19,253.23,6.13,1.23,Simple,0.85,SE
28,296.55,30.25,9.51,1.9,Simple,0.85,NE
29,292.8,264.38,8.71,1.74,Simple,0.85,SE
30,215.37,145.1,7.19,1.44,Simple,0.84,NE
31,296.29,284.55,9.45,1.89,Simple,0.84,SE
32,283.3,326.41,7.36,1.47,Simple,0.84,SE
33,294.83,45.48,7.52,1.5,Simple,0.84,NE
34,310.56,345.28,8.31,1.66,Simple,0.84,SE
35,308.43,316.82,7.6,1.52,Simple,0.84,SE
36,232.62,103.22,11.76,2.35,Simple,0.84,NE
37,276.28,341.39,6.67,1.33,Simple,0.84,SE
38,314.14,17.4,9.45,1.89,Simple,0.83,NE
39,307.45,279.48,7.41,1.48,Simple,0.83,SE
40,288.0,232.01,8.73,1.75,Simple,0.82,SE
41,182.3,315.68,7.47,1.49,Simple,0.82,SW
42,244.11,390.45,6.96,1.39,Simple,0.82,SE
43,270.58,163.77,8.39,1.68,Simple,0.82,NE
44,251.5,97.99,7.43,1.49,Simple,0.81,NE
45,237.92,314.71,5.97,1.19,Simple,0.81,SE
46,164.69,30.82,7.3,1.46,Simple,0.81,NW
47,286.91,334.57,7.17,1.43,Simple,0.81,SE
48,314.49,226.2,10.61,2.12,Simple,0.8,SE
49,224.72,308.33,7.95,1.59,Simple,0.78,SE
50,225.54,352.07,8.09,1.62,Simple,0.77,SE
51,247.8,84.7,6.29,1.26,Simple,0.77,NE
52,232.97,36.32,7.36,1.47,Simple,0.77,NE
53,235.93,127.57,6.85,1.37,Simple,0.76,NE
54,269.37,330.3,6.37,1.27,Simple,0.76,SE
55,226.25,219.83,8.45,1.69,Simple,0.75,SE
56,226.36,59.43,7.02,1.4,Simple,0.75,NE
57,120.94,273.44,6.41,1.28,Simple,0.75,SW
58,296.95,224.36,6.16,1.23,Simple,0.75,SE
59,184.29,347.35,5.63,1.13,Simple,0.75,SW
60,263.58,324.88,9.61,1.92,Simple/Overlapping,0.75,SE
61,246.37,45.9,7.31,1.46,Simple,0.74,NE
62,264.65,320.98,9.18,1.84,Simple/Overlapping,0.73,SE
63,242.67,107.86,8.62,1.72,Simple,0.73,NE
64,220.12,349.46,6.14,1.23,Simple,0.72,SE
65,156.13,328.47,6.31,1.26,Simple,0.72,SW
66,236.02,188.81,6.62,1.32,Simple,0.72,NE
67,130.43,116.97,7.02,1.4,Simple,0.71,NW
68,230.26,209.0,8.16,1.63,Simple,0.71,SE
69,209.82,294.25,7.44,1.49,Simple,0.7,SE
70,313.25,63.26,6.09,1.22,Simple,0.69,NE
71,197.55,63.16,7.67,1.53,Simple,0.67,NW
72,97.17,391.95,9.41,1.88,Simple,0.66,SW
73,284.37,360.19,6.29,1.26,Simple,0.66,SE
74,255.78,251.6,6.0,1.2,Simple,0.65,SE
75,132.2,319.89,6.02,1.2,Simple,0.64,SW
