ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,168.24,59.39,11.56,2.31,Simple,0.94,NW
2,332.18,35.32,20.26,4.05,Complex,0.93,NE
3,93.14,158.02,21.07,4.21,Complex,0.93,NW
4,134.15,109.49,25.16,5.03,Complex,0.92,NW
5,47.7,314.77,18.65,3.73,Simple,0.92,SW
6,129.15,269.45,14.79,2.96,Simple,0.92,SW
7,142.87,8.81,8.8,1.76,Simple,0.92,NW
8,46.47,207.99,12.93,2.59,Simple,0.92,NW
9,282.42,21.32,18.5,3.7,Simple/Overlapping,0.91,NE
10,77.61,315.5,10.87,2.17,Simple,0.91,SW
11,140.55,194.61,24.07,4.81,Complex,0.91,NW
12,123.11,284.26,13.28,2.66,Simple,0.91,SW
13,63.5,306.88,13.04,2.61,Simple,0.91,SW
14,304.82,148.86,40.24,8.05,Complex/Overlapping,0.91,NE
15,81.2,137.84,13.37,2.67,Simple,0.9,NW
16,174.62,154.05,12.02,2.4,Simple,0.9,NW
17,307.52,249.99,20.77,4.15,Complex,0.9,SE
18,185.4,19.94,10.78,2.16,Simple,0.9,NW
19,221.93,384.55,45.8,9.16,Complex,0.9,SE
20,286.81,223.95,9.61,1.92,Simple,0.9,SE
21,278.29,91.85,57.22,11.44,Complex,0.9,NE
22,247.12,357.73,8.65,1.73,Simple,0.9,SE
23,123.43,152.1,9.01,1.8,Simple,0.89,NW
24,278.15,359.18,9.43,1.89,Simple,0.89,SE
25,377.98,32.43,10.48,2.1,Simple/Overlapping,0.89,NE
26,78.7,168.65,9.99,2.0,Simple,0.89,NW
27,121.3,361.5,10.01,2.0,Simple,0.89,SW
28,207.95,46.2,11.68,2.34,Simple,0.89,NW
29,142.41,171.19,10.11,2.02,Simple,0.89,NW
30,381.51,42.28,15.47,3.09,Simple/Overlapping,0.89,NE
31,256.29,301.83,62.34,12.47,Complex,0.89,SE
32,193.22,359.66,12.98,2.6,Simple,0.89,SW
33,393.16,42.76,9.61,1.92,Simple,0.89,NE
34,343.28,200.37,13.16,2.63,Simple,0.89,NE
35,174.74,342.11,10.46,2.09,Simple,0.88,SW
36,353.59,276.89,7.75,1.55,Simple,0.88,SE
37,254.06,136.98,8.49,1.7,Simple,0.88,NE
38,255.2,162.21,10.26,2.05,Simple,0.88,NE
39,299.78,353.32,8.36,1.67,Simple,0.87,SE
40,15.01,50.66,7.95,1.59,Simple,0.87,NW
41,65.21,200.32,16.98,3.4,Simple,0.87,NW
42,95.01,83.87,23.08,4.62,Complex,0.87,NW
43,166.87,170.42,12.09,2.42,Simple,0.87,NW
44,197.25,399.22,13.96,2.79,Simple,0.86,SW
45,20.36,310.38,10.89,2.18,Simple,0.86,SW
