ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,130.01,375.11,30.22,6.04,Complex,0.92,SW
2,159.79,70.41,9.25,1.85,Simple,0.92,NW
3,113.38,151.31,22.05,4.41,Complex,0.92,NW
4,271.71,82.87,20.9,4.18,Complex,0.91,NE
5,186.16,115.84,8.28,1.66,Simple,0.9,NW
6,338.91,85.71,11.21,2.24,Simple,0.89,NE
7,102.97,322.77,13.31,2.66,Simple/Overlapping,0.88,SW
8,272.03,143.02,10.15,2.03,Simple,0.88,NE
9,251.16,265.22,11.01,2.2,Simple,0.88,SE
10,170.33,370.76,15.77,3.15,Simple,0.87,SW
11,73.85,267.86,9.2,1.84,Simple,0.87,SW
12,89.43,399.21,9.05,1.81,Simple,0.87,SW
13,85.6,291.62,7.58,1.52,Simple,0.86,SW
14,179.44,389.93,25.94,5.19,Complex,0.86,SW
15,128.97,91.0,10.99,2.2,Simple,0.85,NW
16,273.74,375.08,15.21,3.04,Simple,0.85,SE
17,107.37,189.66,11.44,2.29,Simple,0.85,NW
18,245.82,325.44,17.23,3.45,Simple,0.85,SE
19,152.38,400.69,7.97,1.59,Simple,0.84,SW
20,149.28,341.24,8.62,1.72,Simple,0.84,SW
21,213.9,312.63,8.26,1.65,Simple,0.83,SE
22,315.26,340.94,8.07,1.61,Simple,0.82,SE
23,222.95,105.35,10.68,2.14,Simple,0.82,NE
24,161.83,395.11,13.39,2.68,Simple,0.82,SW
25,293.18,353.3,7.36,1.47,Simple,0.8,SE
26,190.61,368.05,7.67,1.53,Simple,0.79,SW
27,66.57,373.0,10.92,2.18,Simple,0.79,SW
28,110.69,315.71,7.17,1.43,Simple/Overlapping,0.78,SW
29,274.91,38.47,8.36,1.67,Simple,0.77,NE
30,306.32,69.49,13.84,2.77,Simple/Overlapping,0.76,NE
31,81.96,362.18,8.3,1.66,Simple,0.76,SW
32,76.84,274.7,9.05,1.81,Simple,0.76,SW
33,236.27,284.47,7.94,1.59,Simple,0.75,SE
34,214.01,176.93,15.54,3.11,Simple,0.75,NE
35,160.72,198.75,6.85,1.37,Simple,0.74,NW
36,327.55,15.74,8.7,1.74,Simple,0.73,NE
37,246.51,64.53,7.53,1.51,Simple,0.72,NE
38,158.87,376.67,9.41,1.88,Simple,0.72,SW
39,180.6,406.23,9.85,1.97,Simple,0.72,SW
40,214.98,98.0,12.72,2.54,Simple,0.72,NE
41,136.55,71.01,8.38,1.68,Simple,0.72,NW
42,313.15,63.73,11.99,2.4,Simple/Overlapping,0.72,NE
43,286.09,317.07,8.16,1.63,Simple,0.71,SE
44,88.01,412.17,7.54,1.51,Simple,0.71,SW
45,287.46,124.6,7.77,1.55,Simple,0.7,NE
46,65.62,403.86,7.97,1.59,Simple,0.7,SW
47,64.27,179.71,26.41,5.28,Complex,0.69,NW
48,282.51,247.6,6.59,1.32,Simple,0.67,SE
49,131.89,243.9,11.88,2.38,Simple,0.66,SW
50,143.97,392.4,18.53,3.71,Simple,0.66,SW
51,75.25,368.12,11.2,2.24,Simple,0.65,SW
52,233.07,322.04,10.43,2.09,Simple,0.64,SE
53,203.87,330.27,7.2,1.44,Simple,0.64,SW
54,298.81,163.28,58.25,11.65,Complex,0.63,NE
55,343.74,156.57,40.07,8.01,Complex,0.63,NE
56,214.87,83.92,8.41,1.68,Simple,0.61,NE
57,173.52,71.9,6.05,1.21,Simple,0.6,NW
58,235.19,350.26,8.65,1.73,Simple,0.6,SE
59,93.77,357.92,7.51,1.5,Simple,0.6,SW
60,237.91,314.94,9.34,1.87,Simple,0.6,SE
61,140.59,126.83,6.41,1.28,Simple,0.59,NW
62,211.82,280.63,14.41,2.88,Simple,0.59,SE
63,221.65,396.38,8.67,1.73,Simple,0.58,SE
64,170.07,317.14,7.32,1.46,Simple,0.58,SW
65,139.55,238.4,9.62,1.92,Simple,0.57,SW
66,168.02,9.91,8.05,1.61,Simple,0.53,NW
67,191.07,63.97,8.32,1.66,Simple,0.53,NW
68,279.89,408.2,16.82,3.36,Simple,0.52,SE
69,133.31,349.68,11.38,2.28,Simple,0.52,SW
70,303.95,53.34,6.77,1.35,Simple,0.52,NE
71,174.63,303.01,8.49,1.7,Simple,0.49,SW
72,243.14,291.86,5.65,1.13,Simple,0.47,SE
73,133.01,406.45,11.71,2.34,Simple,0.46,SW
74,193.29,384.68,5.85,1.17,Simple,0.46,SW
75,195.97,412.26,9.15,1.83,Degraded,0.46,SW
76,71.43,354.13,27.17,5.43,Complex,0.45,SW
77,144.65,411.82,18.37,3.67,Degraded,0.45,SW
78,142.43,347.52,7.39,1.48,Simple,0.44,SW
79,106.48,253.43,7.26,1.45,Simple,0.43,SW
80,306.38,385.91,20.11,4.02,Complex,0.43,SE
81,89.24,302.21,5.07,1.01,Simple,0.43,SW
82,212.58,319.88,5.58,1.12,Simple,0.43,SE
83,240.76,184.83,7.09,1.42,Simple,0.42,NE
84,355.08,27.8,5.88,1.18,Simple,0.41,NE
85,244.37,401.9,5.88,1.18,Simple,0.39,SE
86,177.38,198.06,6.43,1.29,Simple,0.39,NW
87,144.45,152.1,5.71,1.14,Simple,0.38,NW
88,263.22,91.28,6.58,1.32,Simple,0.37,NE
89,201.92,384.79,6.64,1.33,Simple,0.37,SW
90,195.88,348.33,7.91,1.58,Simple,0.37,SW
91,105.41,320.81,13.03,2.61,Simple/Overlapping,0.36,SW
92,127.18,14.79,9.69,1.94,Simple,0.36,NW
93,219.21,145.42,7.23,1.45,Simple,0.36,NE
94,117.14,344.87,12.68,2.54,Simple,0.36,SW
95,345.0,197.93,7.86,1.57,Simple,0.36,NE
96,199.59,299.75,8.01,1.6,Simple,0.35,SW
97,347.3,325.08,11.34,2.27,Simple,0.35,SE
98,93.67,260.93,5.32,1.06,Simple,0.34,SW
99,122.94,117.25,6.44,1.29,Simple,0.33,NW
100,196.51,306.29,4.83,0.97,Simple,0.31,SW
101,212.26,372.58,5.72,1.14,Simple,0.31,SE
102,109.51,378.81,8.35,1.67,Simple,0.31,SW
103,137.42,342.26,5.98,1.2,Simple,0.3,SW
104,112.29,362.63,12.79,2.56,Simple,0.29,SW
105,169.57,356.89,6.19,1.24,Simple,0.29,SW
106,110.13,391.08,5.86,1.17,Simple,0.29,SW
107,90.86,236.38,5.53,1.11,Simple,0.28,SW
108,91.86,346.33,6.29,1.26,Simple,0.28,SW
109,162.75,349.71,7.55,1.51,Simple,0.28,SW
110,249.7,284.59,6.42,1.28,Simple,0.28,SE
111,117.16,308.94,5.56,1.11,Simple,0.28,SW
112,202.87,377.57,6.46,1.29,Simple,0.27,SW
113,230.66,286.79,5.66,1.13,Simple,0.26,SE
114,310.64,66.61,15.65,3.13,Simple/Overlapping,0.26,NE
115,152.31,355.58,10.01,2.0,Simple,0.26,SW
