ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,236.29,80.45,24.0,4.8,Complex,0.95,NE
2,274.29,378.9,20.85,4.17,Complex,0.94,SE
3,66.15,208.28,24.33,4.87,Complex,0.93,SW
4,222.68,44.47,23.25,4.65,Complex,0.93,NE
5,99.09,20.46,15.27,3.05,Simple,0.92,NW
6,102.93,264.19,16.4,3.28,Simple,0.91,SW
7,290.88,376.0,14.19,2.84,Simple,0.9,SE
8,373.39,28.02,12.61,2.52,Simple,0.9,NE
9,45.43,44.55,15.85,3.17,Simple,0.9,NW
10,154.73,366.72,14.57,2.91,Simple,0.9,SW
11,215.49,203.57,10.48,2.1,Simple,0.9,NE
12,133.13,274.8,9.06,1.81,Simple,0.9,SW
13,213.17,190.01,8.95,1.79,Simple,0.9,NE
14,53.81,284.95,14.0,2.8,Simple,0.89,SW
15,343.39,204.77,8.9,1.78,Simple,0.89,NE
16,60.92,261.67,8.08,1.62,Simple,0.89,SW
17,106.9,70.06,13.21,2.64,Simple/Overlapping,0.89,NW
18,214.88,381.87,8.75,1.75,Simple,0.88,SE
19,120.65,222.17,10.77,2.15,Simple,0.88,SW
20,382.02,43.56,18.14,3.63,Simple,0.88,NE
21,83.56,55.95,9.86,1.97,Simple,0.88,NW
22,96.33,59.34,13.41,2.68,Simple,0.88,NW
23,163.53,139.76,8.1,1.62,Simple,0.87,NW
24,267.28,395.2,20.68,4.14,Complex,0.86,SE
25,252.3,4.3,9.97,1.99,Simple,0.86,NE
26,174.48,248.42,13.01,2.6,Simple,0.85,SW
27,150.41,137.11,7.54,1.51,Simple,0.85,NW
28,230.58,253.14,7.43,1.49,Simple,0.84,SE
29,324.7,39.27,13.26,2.65,Simple,0.83,NE
30,367.04,178.34,10.71,2.14,Simple,0.83,NE
31,253.04,174.29,8.06,1.61,Simple,0.83,NE
32,191.98,332.23,12.3,2.46,Simple,0.83,SW
33,206.86,159.7,19.26,3.85,Simple,0.83,NW
34,323.11,23.01,21.99,4.4,Complex,0.83,NE
35,123.23,120.11,16.79,3.36,Simple,0.83,NW
36,118.02,105.94,14.76,2.95,Simple,0.83,NW
37,171.67,79.96,12.44,2.49,Simple,0.82,NW
38,225.46,238.2,7.28,1.46,Simple,0.82,SE
39,322.26,56.33,8.12,1.62,Simple,0.82,NE
40,322.46,57.49,69.82,13.96,Complex,0.82,NE
41,100.15,370.2,12.58,2.52,Simple,0.81,SW
42,195.12,36.07,12.22,2.44,Simple,0.81,NW
43,341.94,94.27,12.89,2.58,Simple,0.81,NE
44,190.08,293.55,9.16,1.83,Simple/Overlapping,0.8,SW
45,223.1,6.81,14.59,2.92,Simple,0.8,NE
46,159.77,56.4,13.29,2.66,Simple,0.8,NW
47,25.6,314.15,16.26,3.25,Simple,0.8,SW
48,60.11,119.82,113.14,22.63,Complex,0.79,NW
49,360.85,108.43,9.6,1.92,Simple,0.79,NE
50,312.64,327.46,10.33,2.07,Simple,0.78,SE
51,291.09,4.13,8.5,1.7,Simple,0.78,NE
52,118.66,333.1,9.32,1.86,Simple,0.77,SW
53,36.21,330.44,8.8,1.76,Simple/Overlapping,0.77,SW
54,111.89,27.61,6.89,1.38,Simple,0.76,NW
55,348.58,89.02,6.97,1.39,Simple,0.76,NE
56,151.22,78.29,12.56,2.51,Simple,0.75,NW
57,97.89,215.01,6.74,1.35,Simple,0.75,SW
58,174.08,38.25,6.8,1.36,Simple,0.75,NW
59,389.78,407.98,10.71,2.14,Simple,0.75,SE
60,299.99,291.75,14.86,2.97,Simple,0.75,SE
61,282.77,80.27,23.9,4.78,Complex,0.74,NE
62,238.17,196.83,14.82,2.96,Simple,0.73,NE
63,335.9,338.38,10.72,2.14,Simple,0.72,SE
64,217.91,408.63,17.74,3.55,Simple,0.72,SE
65,154.95,407.25,23.31,4.66,Degraded,0.72,SW
66,203.82,253.05,6.83,1.37,Simple,0.72,SW
67,359.01,66.5,12.22,2.44,Simple,0.72,NE
68,270.82,72.15,7.75,1.55,Simple,0.71,NE
69,60.32,398.27,44.0,8.8,Degraded,0.71,SW
70,64.37,293.27,7.1,1.42,Simple,0.7,SW
71,117.51,144.98,10.84,2.17,Simple/Overlapping,0.7,NW
72,43.48,284.28,7.52,1.5,Simple,0.7,SW
73,121.55,166.53,7.45,1.49,Simple,0.7,NW
74,270.99,181.81,13.66,2.73,Simple,0.69,NE
75,276.42,193.26,7.16,1.43,Simple,0.69,NE
76,322.92,190.41,8.01,1.6,Simple,0.69,NE
77,111.78,43.79,13.19,2.64,Simple,0.68,NW
78,44.65,324.27,22.33,4.47,Complex/Overlapping,0.68,SW
79,160.74,287.24,6.68,1.34,Simple,0.68,SW
80,152.15,186.05,7.87,1.57,Simple,0.67,NW
81,390.43,267.44,21.87,4.37,Complex,0.67,SE
82,169.99,101.99,9.72,1.94,Simple/Overlapping,0.66,NW
83,359.02,142.86,13.62,2.72,Simple,0.66,NE
84,191.07,298.97,7.24,1.45,Simple/Overlapping,0.65,SW
85,121.99,307.5,6.31,1.26,Simple,0.65,SW
86,68.82,378.42,8.0,1.6,Simple,0.65,SW
87,171.26,263.62,29.77,5.95,Complex,0.63,SW
88,166.63,172.71,6.38,1.28,Simple,0.62,NW
89,45.5,173.6,10.49,2.1,Simple,0.61,NW
90,359.63,187.98,14.59,2.92,Simple,0.61,NE
91,396.42,13.49,6.24,1.25,Simple,0.61,NE
92,85.43,402.32,11.11,2.22,Simple,0.61,SW
93,133.93,407.5,16.91,3.38,Simple,0.6,SW
