ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,208.41,102.54,56.51,11.3,Complex,0.91,NE
2,230.82,30.57,18.32,3.66,Simple,0.89,NE
3,196.0,45.01,8.11,1.62,Simple,0.89,NW
4,189.71,335.13,9.03,1.81,Simple,0.88,SW
5,128.42,241.15,8.13,1.63,Simple,0.87,SW
6,151.4,325.35,8.58,1.72,Simple,0.86,SW
7,219.47,322.33,10.15,2.03,Simple,0.86,SE
8,276.01,326.18,10.49,2.1,Simple,0.86,SE
9,157.65,134.14,13.06,2.61,Simple,0.85,NW
10,255.07,133.58,10.33,2.07,Simple,0.85,NE
11,262.51,356.36,11.57,2.31,Simple,0.85,SE
12,192.3,180.67,10.06,2.01,Simple,0.84,NW
13,136.43,229.04,10.62,2.12,Simple,0.83,SW
14,186.28,10.51,9.62,1.92,Simple,0.83,NW
15,254.34,192.67,15.6,3.12,Simple,0.83,NE
16,266.91,391.69,20.6,4.12,Complex/Overlapping,0.83,SE
17,245.66,63.83,17.51,3.5,Simple,0.82,NE
18,257.48,317.32,9.41,1.88,Simple,0.82,SE
19,252.1,51.41,8.73,1.75,Simple,0.82,NE
20,160.79,206.69,7.91,1.58,Simple,0.82,NW
21,274.8,256.57,7.48,1.5,Simple,0.81,SE
22,155.84,241.64,13.64,2.73,Simple,0.81,SW
23,185.91,260.19,9.77,1.95,Simple,0.81,SW
24,145.69,295.83,8.07,1.61,Simple,0.8,SW
25,172.74,263.96,13.51,2.7,Simple,0.8,SW
26,194.18,272.29,6.29,1.26,Simple,0.79,SW
27,149.36,288.8,8.36,1.67,Simple,0.79,SW
28,152.23,268.42,8.96,1.79,Simple,0.79,SW
29,288.75,238.0,7.41,1.48,Simple,0.79,SE
30,152.19,179.82,6.9,1.38,Simple,0.79,NW
31,164.29,249.95,12.29,2.46,Simple,0.78,SW
32,252.46,329.3,13.39,2.68,Simple,0.78,SE
33,159.75,45.35,9.72,1.94,Simple,0.78,NW
34,163.48,259.93,7.48,1.5,Simple,0.78,SW
