ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,303.39,286.0,11.5,2.3,Simple,0.92,SE
2,218.02,403.6,19.57,3.91,Simple,0.92,SE
3,239.74,382.56,14.69,2.94,Simple,0.92,SE
4,169.37,338.38,11.48,2.3,Simple,0.91,SW
5,72.95,338.95,10.54,2.11,Simple,0.9,SW
6,98.08,376.43,8.82,1.76,Simple,0.9,SW
7,210.16,377.83,12.0,2.4,Simple,0.9,SE
8,344.22,391.05,9.56,1.91,Simple,0.9,SE
9,282.78,381.5,9.42,1.88,Simple,0.9,SE
10,325.17,182.33,8.8,1.76,Simple,0.89,NE
11,280.21,309.47,7.91,1.58,Simple,0.89,SE
12,287.14,244.04,8.99,1.8,Simple,0.89,SE
13,248.34,340.77,8.19,1.64,Simple,0.89,SE
14,91.71,265.28,8.35,1.67,Simple,0.88,SW
15,252.65,313.56,13.14,2.63,Simple,0.88,SE
16,313.82,224.25,7.62,1.52,Simple,0.88,SE
17,227.47,294.86,9.06,1.81,Simple,0.88,SE
18,213.11,315.82,7.85,1.57,Simple,0.88,SE
19,300.63,58.94,11.04,2.21,Simple,0.87,NE
20,322.32,265.03,10.03,2.01,Simple,0.87,SE
21,154.81,408.85,10.08,2.02,Simple,0.87,SW
22,89.79,406.94,15.01,3.0,Simple,0.87,SW
23,163.57,351.34,9.29,1.86,Simple,0.87,SW
24,215.56,334.6,10.95,2.19,Simple/Overlapping,0.87,SE
25,320.35,285.56,8.44,1.69,Simple,0.86,SE
26,81.25,242.19,9.34,1.87,Simple,0.86,SW
27,175.05,6.97,8.99,1.8,Simple,0.86,NW
28,260.31,392.57,13.63,2.73,Simple/Overlapping,0.86,SE
29,177.61,320.15,11.67,2.33,Simple,0.85,SW
30,177.57,376.09,8.05,1.61,Simple,0.85,SW
31,173.39,361.38,9.13,1.83,Simple,0.85,SW
32,153.56,254.24,7.48,1.5,Simple,0.85,SW
33,169.49,278.58,7.92,1.58,Simple,0.85,SW
34,160.79,360.19,10.35,2.07,Simple,0.84,SW
35,265.96,290.73,8.76,1.75,Simple,0.84,SE
36,156.91,368.43,11.51,2.3,Simple,0.83,SW
37,193.29,296.88,8.24,1.65,Simple,0.83,SW
38,146.3,149.32,6.96,1.39,Simple,0.82,NW
39,294.49,107.31,7.26,1.45,Simple,0.81,NE
40,166.88,155.53,8.05,1.61,Simple,0.81,NW
41,199.48,178.16,7.79,1.56,Simple,0.81,NW
42,318.67,139.85,9.08,1.82,Simple,0.81,NE
43,188.81,262.87,8.86,1.77,Simple/Overlapping,0.81,SW
44,265.68,404.81,7.8,1.56,Simple,0.81,SE
45,235.51,13.66,7.56,1.51,Simple,0.8,NE
46,283.59,289.35,6.94,1.39,Simple,0.8,SE
47,205.89,331.33,9.25,1.85,Simple/Overlapping,0.8,SW
48,257.16,265.46,8.24,1.65,Simple,0.79,SE
49,104.78,328.2,8.97,1.79,Simple,0.78,SW
50,143.92,163.48,9.56,1.91,Simple,0.78,NW
51,62.61,305.72,7.64,1.53,Simple,0.78,SW
52,261.03,396.47,11.83,2.37,Simple/Overlapping,0.78,SE
53,144.12,410.85,11.48,2.3,Simple,0.77,SW
54,361.29,378.42,8.05,1.61,Simple,0.77,SE
55,135.01,367.39,7.19,1.44,Simple,0.77,SW
56,161.26,213.9,7.92,1.58,Simple,0.77,SW
57,130.15,345.25,8.75,1.75,Simple,0.77,SW
58,329.04,363.35,8.17,1.63,Simple,0.77,SE
59,124.88,156.31,8.72,1.74,Simple,0.77,NW
