ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,292.07,401.83,22.59,4.52,Complex,0.92,SE
2,197.63,323.15,16.09,3.22,Simple,0.92,SW
3,251.3,325.66,8.9,1.78,Simple,0.9,SE
4,336.66,203.16,10.1,2.02,Simple,0.9,NE
5,257.36,181.83,16.49,3.3,Simple,0.9,NE
6,222.36,325.23,12.0,2.4,Simple,0.89,SE
7,292.99,98.65,10.71,2.14,Simple,0.89,NE
8,300.89,171.61,13.7,2.74,Simple,0.89,NE
9,187.69,254.04,19.52,3.9,Simple,0.89,SW
10,192.08,165.46,21.41,4.28,Complex,0.89,NW
11,127.41,38.3,12.41,2.48,Simple,0.88,NW
12,262.03,165.42,10.59,2.12,Simple,0.88,NE
13,118.64,382.11,9.62,1.92,Simple,0.88,SW
14,106.75,145.71,8.77,1.75,Simple,0.88,NW
15,97.26,194.49,12.96,2.59,Simple,0.88,NW
16,213.47,121.16,12.11,2.42,Simple,0.87,NE
17,122.12,87.61,27.14,5.43,Complex,0.87,NW
18,93.27,44.82,9.61,1.92,Simple,0.87,NW
19,146.36,249.89,17.66,3.53,Simple,0.87,SW
20,145.54,117.59,10.03,2.01,Simple,0.87,NW
21,146.62,96.03,10.77,2.15,Simple,0.86,NW
22,128.78,54.46,8.0,1.6,Simple,0.86,NW
23,246.11,268.05,8.86,1.77,Simple,0.86,SE
24,247.63,166.55,7.62,1.52,Simple,0.86,NE
25,90.28,97.7,7.78,1.56,Simple,0.86,NW
26,158.86,141.65,12.03,2.41,Simple,0.86,NW
27,157.83,289.16,9.57,1.91,Simple,0.86,SW
28,228.98,276.84,10.9,2.18,Simple,0.86,SE
29,122.93,203.5,21.11,4.22,Complex,0.86,NW
30,156.79,316.8,25.62,5.12,Complex,0.85,SW
31,247.01,390.44,16.17,3.23,Simple/Overlapping,0.85,SE
32,185.56,39.69,19.95,3.99,Simple/Overlapping,0.85,NW
33,320.49,397.66,6.77,1.35,Simple,0.85,SE
34,168.01,260.21,10.2,2.04,Simple,0.85,SW
35,145.31,143.14,10.67,2.13,Simple,0.85,NW
36,136.06,46.98,13.07,2.61,Simple,0.84,NW
37,96.19,269.54,8.03,1.61,Simple,0.84,SW
38,277.91,337.99,11.11,2.22,Simple,0.84,SE
39,302.89,210.1,7.34,1.47,Simple,0.84,SE
40,79.1,200.47,11.17,2.23,Simple,0.83,NW
41,109.84,251.04,7.18,1.44,Simple,0.83,SW
42,325.76,320.48,37.71,7.54,Complex,0.83,SE
43,186.73,57.21,29.37,5.87,Complex/Overlapping,0.83,NW
44,85.61,240.85,21.93,4.39,Complex/Overlapping,0.83,SW
45,84.02,62.95,9.86,1.97,Simple,0.82,NW
46,81.27,183.52,9.19,1.84,Simple,0.82,NW
47,134.13,300.5,20.19,4.04,Complex/Overlapping,0.82,SW
48,230.56,179.56,6.26,1.25,Simple,0.82,NE
