ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,234.97,211.73,60.06,12.01,Complex,0.95,SE
2,202.52,175.78,11.92,2.38,Simple,0.9,NW
3,286.92,142.06,25.84,5.17,Complex,0.89,NE
4,97.86,271.22,7.87,1.57,Simple,0.89,SW
5,334.4,361.17,11.23,2.25,Simple,0.88,SE
6,229.69,153.96,21.68,4.34,Complex,0.88,NE
7,310.28,317.94,24.19,4.84,Complex,0.86,SE
8,80.16,373.29,12.43,2.49,Simple,0.84,SW
9,123.41,268.24,18.8,3.76,Simple,0.84,SW
10,240.38,24.95,11.02,2.2,Simple,0.83,NE
11,137.67,250.89,11.38,2.28,Simple,0.8,SW
12,110.82,87.51,9.9,1.98,Simple,0.79,NW
13,296.97,244.5,9.24,1.85,Simple,0.79,SE
14,110.62,319.92,16.29,3.26,Simple,0.75,SW
15,98.98,222.88,15.63,3.13,Simple,0.74,SW
16,206.09,334.09,13.93,2.79,Simple,0.74,SW
17,290.42,260.3,8.72,1.74,Simple,0.73,SE
18,150.54,25.97,28.77,5.75,Complex,0.72,NW
19,162.49,194.77,7.25,1.45,Simple,0.7,NW
20,309.74,374.07,9.49,1.9,Simple,0.69,SE
21,134.39,70.95,9.67,1.93,Simple,0.67,NW
22,145.27,128.87,52.89,10.58,Complex,0.66,NW
23,78.21,329.46,11.77,2.35,Simple,0.65,SW
24,242.7,246.56,7.35,1.47,Simple,0.63,SE
25,188.73,106.8,23.62,4.72,Complex,0.62,NW
26,79.97,205.69,9.1,1.82,Simple,0.6,NW
27,218.15,273.15,14.46,2.89,Simple,0.6,SE
28,104.71,377.27,29.8,5.96,Complex,0.6,SW
29,244.96,292.91,13.43,2.69,Simple,0.59,SE
30,260.93,143.53,21.73,4.35,Complex,0.58,NE
31,159.11,170.21,26.24,5.25,Complex,0.57,NW
32,221.54,285.53,6.92,1.38,Simple,0.56,SE
33,295.17,178.12,30.03,6.01,Complex,0.56,NE
34,281.08,246.37,6.91,1.38,Simple,0.55,SE
35,112.85,5.45,10.65,2.13,Simple,0.54,NW
36,165.49,216.76,10.51,2.1,Simple,0.54,SW
37,159.13,246.65,14.23,2.85,Simple,0.54,SW
38,165.82,204.94,7.09,1.42,Simple,0.53,NW
39,329.24,331.43,9.94,1.99,Simple,0.53,SE
40,317.7,22.01,39.09,7.82,Complex/Overlapping,0.51,NE
41,233.09,384.64,28.59,5.72,Complex/Overlapping,0.5,SE
42,232.56,370.35,12.39,2.48,Simple,0.5,SE
43,232.79,299.1,14.22,2.84,Simple,0.5,SE
44,121.76,251.22,6.81,1.36,Simple,0.49,SW
45,218.12,299.45,16.27,3.25,Simple,0.48,SE
46,336.64,69.61,17.7,3.54,Degraded,0.48,NE
47,138.72,333.89,37.08,7.42,Complex,0.47,SW
48,140.53,57.11,14.22,2.84,Simple,0.45,NW
49,338.13,211.31,10.0,2.0,Simple,0.43,SE
50,207.45,265.68,12.02,2.4,Simple,0.43,SW
51,183.21,188.91,6.92,1.38,Simple,0.42,NW
52,330.17,188.6,7.61,1.52,Simple,0.42,NE
53,326.18,260.61,26.68,5.34,Complex/Overlapping,0.42,SE
54,184.37,29.4,15.29,3.06,Simple,0.4,NW
55,248.23,104.57,24.19,4.84,Complex,0.4,NE
56,124.52,94.62,7.36,1.47,Simple,0.39,NW
57,116.81,169.22,9.63,1.93,Simple,0.39,NW
58,268.15,66.27,62.34,12.47,Complex,0.39,NE
59,211.39,326.03,8.92,1.78,Simple,0.38,SE
60,162.61,318.46,22.41,4.48,Complex,0.37,SW
61,308.02,192.51,17.96,3.59,Simple,0.37,NE
62,256.57,297.29,11.04,2.21,Simple,0.37,SE
63,337.27,282.53,14.53,2.91,Simple/Overlapping,0.37,SE
64,338.03,318.73,5.58,1.12,Simple,0.36,SE
65,236.13,391.16,12.11,2.42,Degraded/Overlapping,0.35,SE
66,289.06,312.94,23.11,4.62,Complex,0.35,SE
67,312.47,19.45,43.81,8.76,Complex/Overlapping,0.35,NE
68,100.56,55.5,45.17,9.03,Complex,0.35,NW
69,323.03,268.74,5.84,1.17,Simple,0.35,SE
70,230.23,270.7,10.53,2.11,Simple,0.34,SE
71,331.55,304.43,24.93,4.99,Complex,0.33,SE
72,276.15,388.1,9.61,1.92,Simple,0.33,SE
73,320.71,409.33,16.13,3.23,Simple,0.33,SE
74,310.72,236.92,21.04,4.21,Complex,0.32,SE
75,316.16,388.3,13.47,2.69,Simple,0.31,SE
76,169.11,153.9,10.96,2.19,Simple,0.31,NW
77,221.17,96.41,18.36,3.67,Simple,0.3,NE
78,219.3,83.87,9.21,1.84,Simple,0.3,NE
79,310.84,402.75,10.6,2.12,Simple,0.27,SE
80,213.48,342.77,11.32,2.26,Simple,0.26,SE
81,149.29,384.2,8.88,1.78,Simple,0.26,SW
82,336.68,276.84,26.06,5.21,Degraded/Overlapping,0.25,SE
