ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,169.06,251.87,22.49,4.5,Complex,0.95,SW
2,165.5,405.69,19.27,3.85,Simple,0.93,SW
3,166.59,195.64,24.18,4.84,Complex,0.92,NW
4,132.22,100.37,21.72,4.34,Complex,0.92,NW
5,231.18,225.73,8.7,1.74,Simple,0.91,SE
6,157.19,170.63,17.98,3.6,Simple,0.91,NW
7,129.41,7.4,11.26,2.25,Simple,0.9,NW
8,154.79,326.75,10.65,2.13,Simple,0.9,SW
9,182.44,215.7,9.24,1.85,Simple,0.9,SW
10,125.8,393.05,10.17,2.03,Simple,0.89,SW
11,282.83,367.2,8.26,1.65,Simple,0.88,SE
12,142.66,408.46,8.75,1.75,Simple,0.88,SW
13,269.64,306.87,30.18,6.04,Complex/Overlapping,0.88,SE
14,156.12,47.91,26.56,5.31,Complex,0.88,NW
15,202.56,288.81,9.17,1.83,Simple,0.87,SW
16,163.65,339.45,9.91,1.98,Simple,0.87,SW
17,197.2,198.69,8.37,1.67,Simple,0.86,NW
18,152.08,302.43,10.76,2.15,Simple,0.86,SW
19,234.04,86.87,17.58,3.52,Simple,0.86,NE
20,177.4,309.26,9.51,1.9,Simple,0.86,SW
21,207.97,354.36,10.24,2.05,Simple,0.85,SW
22,147.65,97.66,11.17,2.23,Simple,0.85,NW
23,214.88,307.3,12.59,2.52,Simple,0.85,SE
24,214.44,366.22,7.52,1.5,Simple/Overlapping,0.85,SE
25,170.17,85.36,7.71,1.54,Simple,0.85,NW
26,234.08,260.78,7.66,1.53,Simple,0.84,SE
27,289.94,360.92,8.12,1.62,Simple,0.84,SE
28,294.34,293.93,10.06,2.01,Simple/Overlapping,0.84,SE
29,130.34,76.87,12.94,2.59,Simple,0.84,NW
30,119.16,52.22,8.39,1.68,Simple,0.84,NW
31,160.45,147.36,7.46,1.49,Simple,0.84,NW
32,168.68,295.11,11.07,2.21,Simple,0.84,SW
33,172.53,265.72,12.32,2.46,Simple,0.83,SW
34,178.14,18.24,24.22,4.84,Complex/Overlapping,0.83,NW
35,271.71,268.41,34.83,6.97,Complex,0.83,SE
36,299.87,378.24,10.74,2.15,Simple,0.83,SE
37,244.88,326.72,19.19,3.84,Simple,0.82,SE
38,177.72,35.33,19.53,3.91,Simple/Overlapping,0.82,NW
39,120.4,163.42,7.85,1.57,Simple,0.82,NW
40,185.85,75.56,11.51,2.3,Simple,0.82,NW
41,206.22,379.05,11.93,2.39,Simple/Overlapping,0.82,SW
42,286.44,182.78,7.44,1.49,Simple,0.8,NE
43,206.56,389.32,10.0,2.0,Simple,0.8,SW
44,134.49,235.93,32.63,6.53,Complex/Overlapping,0.79,SW
45,139.19,267.58,52.46,10.49,Complex/Overlapping,0.79,SW
46,153.39,19.54,15.36,3.07,Simple,0.79,NW
47,121.25,300.75,10.26,2.05,Simple,0.78,SW
48,159.04,125.65,13.62,2.72,Simple,0.78,NW
49,173.72,359.63,13.43,2.69,Simple,0.78,SW
50,141.55,84.55,15.16,3.03,Simple,0.78,NW
51,174.28,74.45,8.14,1.63,Simple,0.76,NW
52,121.3,318.19,9.69,1.94,Simple,0.74,SW
53,124.55,185.6,8.22,1.64,Simple,0.74,NW
54,193.24,303.55,10.92,2.18,Simple,0.74,SW
55,143.35,381.77,7.06,1.41,Simple,0.74,SW
56,251.86,351.05,6.38,1.28,Simple,0.74,SE
57,182.22,324.2,10.17,2.03,Simple/Overlapping,0.74,SW
58,191.56,358.43,7.95,1.59,Simple,0.73,SW
59,180.94,385.73,8.41,1.68,Simple,0.73,SW
60,143.63,7.58,8.59,1.72,Simple,0.72,NW
61,120.77,82.58,8.14,1.63,Simple,0.72,NW
62,217.52,403.33,6.83,1.37,Simple,0.7,SE
63,285.07,385.01,8.71,1.74,Simple,0.69,SE
64,205.76,397.6,8.23,1.65,Simple,0.68,SW
65,183.02,330.52,8.56,1.71,Simple/Overlapping,0.66,SW
66,122.65,203.27,29.06,5.81,Complex,0.66,NW
67,109.41,42.07,8.51,1.7,Simple,0.65,NW
68,113.73,156.78,7.4,1.48,Simple,0.64,NW
69,181.26,376.7,7.29,1.46,Simple,0.63,SW
70,112.79,330.02,9.72,1.94,Simple,0.63,SW
71,188.72,411.38,5.86,1.17,Simple,0.62,SW
72,138.82,320.87,10.27,2.05,Simple,0.61,SW
73,182.91,263.13,7.64,1.53,Simple,0.61,SW
