ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,322.82,73.37,28.06,5.61,Complex,0.93,NE
2,117.29,334.96,10.9,2.18,Simple,0.92,SW
3,240.84,405.68,14.8,2.96,Simple,0.92,SE
4,275.58,244.49,13.14,2.63,Simple,0.91,SE
5,293.91,274.05,8.11,1.62,Simple,0.91,SE
6,173.53,141.61,8.11,1.62,Simple,0.91,NW
7,200.5,183.0,9.52,1.9,Simple,0.9,NW
8,301.85,87.82,14.41,2.88,Simple,0.9,NE
9,207.63,248.36,8.22,1.64,Simple,0.9,SW
10,199.17,58.36,7.64,1.53,Simple,0.89,NW
11,318.02,111.04,13.49,2.7,Simple,0.88,NE
12,236.94,142.37,10.01,2.0,Simple,0.88,NE
13,237.86,379.5,7.61,1.52,Simple,0.88,SE
14,149.36,181.21,7.81,1.56,Simple,0.88,NW
15,209.13,300.02,6.86,1.37,Simple,0.85,SE
16,190.51,119.32,6.85,1.37,Simple,0.85,NW
17,301.78,51.98,10.33,2.07,Simple,0.84,NE
18,284.39,184.0,43.81,8.76,Complex,0.83,NE
19,253.26,100.36,8.07,1.61,Simple,0.83,NE
20,197.44,340.25,9.02,1.8,Simple,0.83,SW
21,195.52,282.49,6.36,1.27,Simple,0.83,SW
22,216.19,386.05,8.32,1.66,Simple,0.83,SE
23,309.41,95.26,10.22,2.04,Simple,0.81,NE
24,276.15,37.25,13.44,2.69,Simple,0.81,NE
25,218.95,377.91,7.08,1.42,Simple,0.81,SE
26,214.79,393.32,8.63,1.73,Simple,0.81,SE
27,330.72,296.09,8.07,1.61,Simple,0.81,SE
28,138.29,400.5,7.44,1.49,Simple,0.81,SW
29,326.46,321.57,15.1,3.02,Simple,0.8,SE
30,181.61,341.74,14.48,2.9,Simple/Overlapping,0.8,SW
31,311.88,318.52,15.94,3.19,Simple,0.8,SE
32,289.19,33.91,8.51,1.7,Simple/Overlapping,0.79,NE
33,138.98,153.54,12.22,2.44,Simple,0.79,NW
34,280.27,60.19,20.86,4.17,Complex,0.79,NE
35,321.02,58.09,11.32,2.26,Simple,0.78,NE
36,278.87,242.47,113.22,22.64,Complex/Overlapping,0.78,SE
37,248.52,90.35,6.83,1.37,Simple,0.77,NE
38,191.09,50.85,6.81,1.36,Simple,0.77,NW
39,309.59,361.29,7.23,1.45,Simple,0.75,SE
40,185.73,386.21,7.1,1.42,Simple,0.74,SW
41,87.46,126.78,6.38,1.28,Simple,0.74,NW
42,330.18,128.3,13.17,2.63,Simple/Overlapping,0.73,NE
43,211.38,74.02,14.46,2.89,Simple,0.73,NE
44,153.47,317.05,22.79,4.56,Complex,0.73,SW
45,240.13,62.56,7.11,1.42,Simple,0.72,NE
46,184.94,332.3,13.57,2.71,Simple/Overlapping,0.72,SW
47,294.24,24.58,10.49,2.1,Simple,0.71,NE
48,212.39,100.37,6.84,1.37,Simple,0.7,NE
49,94.54,355.67,22.44,4.49,Complex,0.7,SW
50,203.06,365.65,6.04,1.21,Simple,0.7,SW
51,310.07,23.03,7.3,1.46,Simple,0.67,NE
52,163.76,318.91,6.51,1.3,Simple,0.67,SW
53,178.28,89.34,8.08,1.62,Simple,0.66,NW
54,164.97,283.65,7.14,1.43,Simple,0.64,SW
55,232.26,104.65,6.21,1.24,Simple,0.64,NE
56,95.67,269.24,6.35,1.27,Simple,0.63,SW
57,232.21,30.51,18.82,3.76,Simple,0.63,NE
58,292.77,10.68,10.6,2.12,Simple,0.63,NE
59,193.13,164.67,6.08,1.22,Simple,0.62,NW
60,315.72,2.76,9.4,1.88,Degraded,0.6,NE
61,265.34,152.47,6.69,1.34,Simple,0.6,NE
62,192.9,4.19,12.48,2.5,Degraded,0.6,NW
63,273.42,16.03,7.37,1.47,Simple,0.59,NE
64,223.56,155.35,6.19,1.24,Simple,0.59,NE
65,279.47,9.73,8.11,1.62,Simple,0.57,NE
66,142.32,390.94,8.54,1.71,Simple,0.57,SW
67,310.02,381.77,5.48,1.1,Simple,0.54,SE
68,275.4,25.29,10.99,2.2,Simple/Overlapping,0.52,NE
69,290.36,291.29,55.72,11.14,Complex/Overlapping,0.51,SE
70,200.59,70.96,6.69,1.34,Simple/Overlapping,0.51,NW
71,164.25,394.69,7.22,1.44,Simple,0.5,SW
72,141.9,209.43,6.45,1.29,Simple,0.5,SW
73,288.51,50.33,7.97,1.59,Simple,0.5,NE
74,320.51,359.46,6.49,1.3,Simple,0.49,SE
75,293.81,228.05,5.8,1.16,Simple,0.48,SE
76,268.18,52.1,7.21,1.44,Simple,0.48,NE
77,279.15,22.13,7.12,1.42,Simple/Overlapping,0.48,NE
78,188.41,82.53,6.19,1.24,Simple,0.47,NW
79,181.04,391.06,6.2,1.24,Simple,0.47,SW
80,311.74,197.17,6.74,1.35,Simple,0.47,NE
81,252.61,75.57,21.19,4.24,Complex,0.46,NE
82,276.05,48.24,9.69,1.94,Simple,0.45,NE
83,273.89,28.19,8.79,1.76,Simple/Overlapping,0.44,NE
84,304.91,75.05,8.24,1.65,Simple,0.44,NE
85,289.21,374.26,5.93,1.19,Simple,0.44,SE
86,184.12,335.6,18.68,3.74,Simple/Overlapping,0.44,SW
87,271.78,394.66,6.53,1.31,Simple,0.43,SE
88,167.99,377.52,10.94,2.19,Simple,0.43,SW
89,206.19,191.38,6.96,1.39,Simple,0.42,NW
90,307.84,338.97,51.22,10.24,Complex,0.42,SE
91,328.28,162.76,6.54,1.31,Simple,0.42,NE
92,308.97,81.37,6.39,1.28,Simple,0.42,NE
93,313.65,87.19,7.09,1.42,Simple,0.41,NE
94,205.03,403.93,6.18,1.24,Simple,0.4,SW
95,189.07,265.99,6.99,1.4,Simple,0.4,SW
96,226.67,406.82,4.81,0.96,Simple,0.39,SE
97,249.66,47.73,30.32,6.06,Complex,0.39,NE
98,175.63,128.66,5.35,1.07,Simple,0.39,NW
99,216.99,221.09,5.89,1.18,Simple,0.38,SE
100,171.11,130.54,5.62,1.12,Simple,0.37,NW
101,326.02,283.14,5.19,1.04,Simple,0.37,SE
102,332.42,127.16,12.75,2.55,Simple/Overlapping,0.36,NE
103,158.25,406.33,36.59,7.32,Degraded,0.35,SW
104,219.8,67.8,5.62,1.12,Simple,0.35,NE
105,239.48,105.44,6.19,1.24,Simple,0.34,NE
106,198.25,73.95,7.47,1.49,Simple/Overlapping,0.34,NW
107,324.26,17.87,5.87,1.17,Simple,0.34,NE
108,303.41,21.54,6.41,1.28,Simple,0.34,NE
109,310.39,303.68,5.77,1.15,Simple,0.33,SE
