ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,72.48,271.22,18.13,3.63,Simple,0.93,SW
2,218.18,124.0,16.79,3.36,Simple,0.93,NE
3,17.51,21.94,11.73,2.35,Simple,0.92,NW
4,196.08,335.22,23.81,4.76,Complex,0.91,SW
5,219.97,221.25,7.85,1.57,Simple,0.91,SE
6,118.8,225.48,18.47,3.69,Simple,0.91,SW
7,153.94,85.91,11.13,2.23,Simple,0.9,NW
8,399.81,145.73,39.21,7.84,Complex,0.9,NE
9,336.06,235.79,7.2,1.44,Simple,0.9,SE
10,118.68,84.61,10.9,2.18,Simple,0.9,NW
11,245.37,87.15,11.7,2.34,Simple,0.9,NE
12,330.63,226.37,75.4,15.08,Complex/Overlapping,0.9,SE
13,83.94,373.08,9.09,1.82,Simple,0.89,SW
14,198.32,280.78,26.12,5.22,Complex,0.89,SW
15,296.67,133.2,9.28,1.86,Simple,0.89,NE
16,91.73,233.27,7.98,1.6,Simple,0.89,SW
17,169.28,152.81,8.18,1.64,Simple,0.89,NW
18,77.04,251.0,25.02,5.0,Complex,0.89,SW
19,211.61,334.11,8.69,1.74,Simple,0.89,SE
20,213.19,197.38,17.94,3.59,Simple,0.89,NE
21,84.09,168.81,19.73,3.95,Simple,0.89,NW
22,393.15,252.14,10.5,2.1,Simple,0.88,SE
23,320.8,206.05,10.5,2.1,Simple,0.88,NE
24,330.21,339.58,74.12,14.82,Complex/Overlapping,0.88,SE
25,46.26,125.8,8.57,1.71,Simple,0.88,NW
26,118.44,197.04,14.51,2.9,Simple,0.88,NW
27,198.05,374.64,16.75,3.35,Simple,0.88,SW
28,359.45,103.78,11.01,2.2,Simple,0.88,NE
29,175.27,44.98,10.6,2.12,Simple,0.88,NW
30,19.17,336.1,7.96,1.59,Simple,0.88,SW
31,78.99,216.78,20.45,4.09,Complex,0.88,SW
32,213.73,369.14,12.61,2.52,Simple,0.87,SE
33,304.41,153.22,8.88,1.78,Simple,0.87,NE
34,36.91,201.75,14.23,2.85,Simple,0.87,NW
35,255.71,333.54,13.77,2.75,Simple,0.86,SE
36,28.88,74.21,8.78,1.76,Simple,0.86,NW
37,364.13,370.22,43.27,8.65,Complex/Overlapping,0.85,SE
38,283.06,184.13,15.93,3.19,Simple,0.85,NE
39,21.07,357.47,7.67,1.53,Simple,0.85,SW
40,122.62,38.03,22.7,4.54,Complex,0.84,NW
41,50.39,410.09,7.03,1.41,Simple,0.84,SW
42,275.3,96.12,11.2,2.24,Simple,0.84,NE
43,49.53,367.37,6.43,1.29,Simple,0.82,SW
