ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,355.43,373.98,10.46,2.09,Simple,0.92,SE
2,204.67,153.14,15.55,3.11,Simple,0.9,NW
3,272.35,326.22,11.75,2.35,Simple,0.9,SE
4,266.83,50.49,10.95,2.19,Simple,0.89,NE
5,282.5,88.84,10.99,2.2,Simple,0.89,NE
6,282.25,38.3,13.61,2.72,Simple,0.89,NE
7,362.51,222.84,12.11,2.42,Simple,0.87,SE
8,310.11,117.93,14.32,2.86,Simple/Overlapping,0.87,NE
9,239.53,165.32,12.46,2.49,Simple,0.87,NE
10,359.76,127.66,10.92,2.18,Simple,0.87,NE
11,351.48,398.89,8.99,1.8,Simple,0.87,SE
12,60.56,350.52,12.09,2.42,Simple,0.87,SW
13,204.08,202.5,14.15,2.83,Simple,0.86,NW
14,315.08,97.93,11.79,2.36,Simple,0.86,NE
15,302.23,101.82,8.29,1.66,Simple,0.86,NE
16,330.05,288.5,11.74,2.35,Simple,0.86,SE
17,179.97,250.55,9.54,1.91,Simple,0.86,SW
18,266.38,154.12,10.63,2.13,Simple,0.85,NE
19,58.78,402.5,10.54,2.11,Simple,0.85,SW
20,68.44,314.89,10.5,2.1,Simple,0.84,SW
21,282.17,201.12,13.79,2.76,Simple,0.84,NE
22,153.4,225.29,10.65,2.13,Simple,0.83,SW
23,315.38,127.6,13.67,2.73,Simple/Overlapping,0.83,NE
24,240.55,122.42,8.43,1.69,Simple,0.83,NE
25,342.73,178.24,15.3,3.06,Simple,0.83,NE
26,187.74,193.24,11.1,2.22,Simple,0.83,NW
27,143.37,272.5,6.27,1.25,Simple,0.83,SW
28,326.81,83.6,8.55,1.71,Simple,0.82,NE
29,157.66,358.2,10.4,2.08,Simple,0.82,SW
30,183.02,408.12,14.61,2.92,Simple,0.82,SW
31,180.66,235.98,9.7,1.94,Simple,0.82,SW
32,324.9,147.25,7.59,1.52,Simple,0.82,NE
33,355.41,5.35,12.11,2.42,Simple,0.82,NE
34,248.73,178.17,8.51,1.7,Simple,0.82,NE
35,145.09,246.09,7.88,1.58,Simple,0.81,SW
36,194.88,172.07,8.31,1.66,Simple,0.81,NW
37,211.84,172.07,9.39,1.88,Simple,0.81,NE
38,288.59,146.7,11.56,2.31,Simple,0.8,NE
39,215.77,182.33,12.05,2.41,Simple/Overlapping,0.8,NE
40,50.79,367.55,9.59,1.92,Simple,0.8,SW
41,170.21,176.82,11.63,2.33,Simple,0.79,NW
42,329.23,174.58,11.83,2.37,Simple,0.79,NE
43,308.2,166.07,9.92,1.98,Simple,0.78,NE
44,250.91,70.68,9.4,1.88,Simple,0.78,NE
45,183.43,202.59,10.74,2.15,Simple,0.78,NW
46,320.76,381.22,7.76,1.55,Simple,0.77,SE
47,299.71,395.74,13.31,2.66,Simple/Overlapping,0.76,SE
48,213.85,195.6,14.24,2.85,Simple,0.76,NE
49,162.35,350.11,8.2,1.64,Simple,0.75,SW
50,257.81,189.05,14.08,2.82,Simple,0.75,NE
51,113.15,72.42,16.1,3.22,Simple/Overlapping,0.75,NW
52,314.96,254.48,14.53,2.91,Simple,0.75,SE
53,324.18,411.77,7.49,1.5,Simple,0.75,SE
54,54.39,211.3,17.32,3.46,Simple,0.74,SW
55,111.32,368.52,10.99,2.2,Simple,0.74,SW
56,240.96,189.55,7.02,1.4,Simple,0.74,NE
57,173.32,205.19,8.68,1.74,Simple,0.73,NW
58,117.84,283.18,12.21,2.44,Simple,0.73,SW
59,180.49,211.42,9.22,1.84,Simple,0.72,SW
60,139.44,222.62,9.17,1.83,Simple,0.72,SW
61,317.0,188.28,13.0,2.6,Simple,0.72,NE
62,162.15,171.94,7.55,1.51,Simple,0.72,NW
63,331.98,185.7,7.96,1.59,Simple,0.71,NE
64,345.08,31.6,7.02,1.4,Simple,0.7,NE
65,256.36,166.75,9.79,1.96,Simple,0.7,NE
66,354.98,28.22,9.32,1.86,Simple,0.69,NE
67,157.07,207.88,8.82,1.76,Simple,0.69,NW
68,168.67,390.58,9.37,1.87,Simple,0.69,SW
69,298.5,387.73,8.18,1.64,Simple/Overlapping,0.68,SE
70,172.49,216.73,9.06,1.81,Simple,0.67,SW
71,239.97,271.93,7.58,1.52,Simple,0.67,SE
72,219.51,164.28,8.86,1.77,Simple,0.66,NE
73,251.58,391.93,7.49,1.5,Simple,0.66,SE
74,220.89,243.48,13.02,2.6,Simple,0.65,SE
75,288.64,209.58,12.06,2.41,Simple,0.64,SE
76,178.92,179.27,6.75,1.35,Simple,0.64,NW
77,270.98,5.82,9.11,1.82,Simple,0.63,NE
78,251.91,210.87,11.46,2.29,Simple,0.63,SE
79,255.7,294.7,7.59,1.52,Simple,0.61,SE
80,296.76,239.54,21.57,4.31,Complex,0.61,SE
81,112.01,227.51,10.49,2.1,Simple,0.61,SW
82,274.15,167.48,8.3,1.66,Simple,0.6,NE
83,340.25,380.8,7.08,1.42,Simple,0.59,SE
84,275.31,93.64,6.81,1.36,Simple,0.59,NE
85,136.8,25.61,8.67,1.73,Simple,0.59,NW
86,236.85,178.59,6.99,1.4,Simple,0.58,NE
87,167.76,194.18,8.83,1.77,Simple,0.58,NW
88,362.71,164.99,9.44,1.89,Simple,0.58,NE
89,333.76,393.94,6.84,1.37,Simple,0.57,SE
90,131.8,360.29,7.93,1.59,Simple,0.57,SW
91,339.12,143.67,7.6,1.52,Simple,0.57,NE
92,242.17,209.49,8.45,1.69,Simple,0.57,SE
93,319.04,359.58,6.86,1.37,Simple,0.57,SE
94,332.15,226.76,6.88,1.38,Simple,0.56,SE
95,54.22,303.55,21.52,4.3,Complex/Overlapping,0.55,SW
96,193.84,215.39,14.99,3.0,Simple/Overlapping,0.55,SW
97,299.4,70.93,6.31,1.26,Simple,0.55,NE
98,316.39,171.23,11.47,2.29,Simple,0.54,NE
99,341.36,374.09,6.92,1.38,Simple,0.54,SE
100,298.98,165.95,7.06,1.41,Simple,0.54,NE
101,363.97,188.39,9.05,1.81,Simple,0.54,NE
102,179.83,315.47,16.14,3.23,Simple,0.52,SW
103,270.23,204.65,11.37,2.27,Simple,0.52,NE
104,231.79,211.52,8.04,1.61,Simple,0.52,SE
105,325.48,136.59,8.24,1.65,Simple,0.52,NE
106,157.04,166.2,6.91,1.38,Simple,0.52,NW
107,124.45,227.84,7.37,1.47,Simple,0.51,SW
108,300.36,149.89,7.81,1.56,Simple,0.51,NE
109,141.0,121.58,9.95,1.99,Simple,0.51,NW
110,326.64,234.17,8.21,1.64,Simple,0.51,SE
111,289.75,265.67,7.62,1.52,Simple,0.5,SE
112,332.62,333.62,8.06,1.61,Simple,0.49,SE
113,97.62,345.19,6.11,1.22,Simple,0.48,SW
114,195.79,316.81,17.7,3.54,Simple,0.47,SW
115,73.52,377.87,6.67,1.33,Simple,0.47,SW
116,314.54,66.18,8.33,1.67,Simple,0.47,NE
117,363.34,180.07,7.34,1.47,Simple,0.46,NE
118,155.21,117.86,6.16,1.23,Simple,0.45,NW
119,81.14,342.4,7.93,1.59,Simple,0.44,SW
120,319.49,3.69,6.39,1.28,Simple,0.44,NE
