ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,106.1,224.17,21.99,4.4,Complex,0.95,SW
2,390.87,40.89,31.91,6.38,Complex/Overlapping,0.94,NE
3,343.92,259.52,24.64,4.93,Complex,0.93,SE
4,354.75,318.33,66.66,13.33,Complex,0.93,SE
5,168.02,337.97,14.97,2.99,Simple,0.92,SW
6,58.08,50.81,18.11,3.62,Simple,0.92,NW
7,113.5,192.69,14.15,2.83,Simple,0.92,NW
8,131.25,214.97,19.53,3.91,Simple,0.91,SW
9,359.97,172.06,13.22,2.64,Simple,0.91,NE
10,335.22,233.07,12.25,2.45,Simple,0.91,SE
11,50.1,233.66,14.29,2.86,Simple,0.91,SW
12,35.13,297.75,13.97,2.79,Simple,0.91,SW
13,339.3,157.38,14.82,2.96,Simple,0.9,NE
14,208.28,205.29,8.94,1.79,Simple,0.9,NE
15,395.58,300.95,11.41,2.28,Simple,0.9,SE
16,253.1,217.31,11.25,2.25,Simple,0.9,SE
17,253.58,231.04,13.61,2.72,Simple,0.89,SE
18,175.34,251.55,16.13,3.23,Simple,0.89,SW
19,303.16,42.62,9.91,1.98,Simple,0.89,NE
20,93.56,327.02,9.67,1.93,Simple,0.89,SW
21,316.36,56.0,12.36,2.47,Simple,0.89,NE
22,165.28,264.38,11.18,2.24,Simple,0.88,SW
23,56.16,338.46,14.69,2.94,Simple,0.88,SW
24,266.9,159.93,10.41,2.08,Simple,0.88,NE
25,215.0,219.51,9.41,1.88,Simple,0.88,SE
26,170.19,224.23,8.35,1.67,Simple,0.87,SW
27,250.07,193.96,8.58,1.72,Simple,0.87,NE
28,150.89,188.84,11.34,2.27,Simple,0.87,NW
29,328.79,370.15,13.46,2.69,Simple,0.87,SE
30,283.3,268.44,16.29,3.26,Simple,0.87,SE
31,147.3,250.81,10.45,2.09,Simple,0.87,SW
32,34.82,24.49,17.09,3.42,Simple/Overlapping,0.87,NW
33,372.86,77.91,8.73,1.75,Simple,0.86,NE
34,48.75,219.67,7.55,1.51,Simple,0.86,SW
35,185.24,201.79,13.95,2.79,Simple,0.86,NW
36,61.66,300.01,7.85,1.57,Simple,0.86,SW
37,358.33,144.16,8.07,1.61,Simple,0.86,NE
38,32.09,44.78,17.5,3.5,Simple/Overlapping,0.86,NW
39,74.08,61.24,15.12,3.02,Simple/Overlapping,0.84,NW
40,317.35,372.9,9.04,1.81,Simple,0.84,SE
