ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,123.69,240.72,14.2,2.84,Simple,0.91,SW
2,281.62,353.94,34.44,6.89,Complex,0.91,SE
3,153.17,230.97,17.22,3.44,Simple,0.9,SW
4,282.08,399.96,24.64,4.93,Complex,0.9,SE
5,151.82,359.45,20.75,4.15,Complex/Overlapping,0.9,SW
6,136.9,226.21,16.37,3.27,Simple,0.9,SW
7,180.32,257.73,24.74,4.95,Complex,0.9,SW
8,197.7,272.72,32.76,6.55,Complex,0.88,SW
9,202.34,380.16,9.14,1.83,Simple,0.87,SW
10,254.95,371.34,28.08,5.62,Complex,0.87,SE
11,255.55,267.06,10.33,2.07,Simple,0.86,SE
12,225.1,384.27,9.44,1.89,Simple/Overlapping,0.86,SE
13,122.29,220.41,15.24,3.05,Simple,0.86,SW
14,216.0,377.27,11.55,2.31,Simple/Overlapping,0.85,SE
15,177.41,334.74,9.51,1.9,Simple,0.85,SW
16,245.3,288.9,9.28,1.86,Simple/Overlapping,0.85,SE
17,203.61,361.52,9.83,1.97,Simple/Overlapping,0.84,SW
18,141.51,200.49,12.82,2.56,Simple,0.84,NW
19,278.3,376.54,16.59,3.32,Simple,0.84,SE
20,258.37,405.37,12.15,2.43,Simple,0.84,SE
21,170.83,394.83,9.45,1.89,Simple,0.83,SW
22,242.48,176.57,15.04,3.01,Simple,0.83,NE
23,247.89,280.84,8.5,1.7,Simple,0.83,SE
24,148.13,168.87,50.94,10.19,Complex,0.83,NW
25,155.94,372.58,22.23,4.45,Complex/Overlapping,0.82,SW
26,178.9,326.66,7.85,1.57,Simple,0.81,SW
27,235.34,349.2,13.66,2.73,Simple/Overlapping,0.81,SE
28,209.54,319.87,10.95,2.19,Simple/Overlapping,0.81,SE
29,125.42,268.9,10.43,2.09,Simple,0.8,SW
30,177.07,384.88,9.01,1.8,Simple,0.79,SW
31,229.72,370.78,8.04,1.61,Simple,0.79,SE
32,199.63,317.88,9.66,1.93,Simple,0.79,SW
33,164.55,317.41,17.48,3.5,Simple,0.78,SW
34,283.0,313.58,7.01,1.4,Simple,0.78,SE
35,137.53,211.82,12.38,2.48,Simple,0.77,SW
36,189.62,313.6,7.41,1.48,Simple,0.77,SW
37,175.72,155.68,13.35,2.67,Simple,0.77,NW
38,140.09,284.38,10.66,2.13,Simple,0.77,SW
39,143.28,236.68,8.03,1.61,Simple,0.77,SW
40,211.34,329.32,10.76,2.15,Simple/Overlapping,0.77,SE
41,180.35,398.98,11.36,2.27,Simple,0.76,SW
42,164.15,239.86,13.88,2.78,Simple,0.76,SW
43,168.63,360.92,11.38,2.28,Simple,0.75,SW
44,163.78,408.6,8.35,1.67,Simple,0.75,SW
45,225.83,258.57,10.34,2.07,Simple/Overlapping,0.75,SE
46,200.06,412.42,9.1,1.82,Simple,0.75,SW
47,127.62,203.9,10.15,2.03,Simple,0.73,NW
48,242.15,329.46,17.47,3.49,Simple,0.73,SE
49,132.42,394.21,9.84,1.97,Simple,0.72,SW
50,208.86,407.48,7.69,1.54,Simple,0.72,SE
51,232.95,299.33,9.56,1.91,Simple,0.72,SE
52,274.73,298.57,11.8,2.36,Simple,0.72,SE
53,166.88,387.38,8.02,1.6,Simple,0.71,SW
54,132.12,247.19,9.69,1.94,Simple,0.69,SW
55,156.32,197.55,19.34,3.87,Simple,0.69,NW
56,130.14,327.63,7.74,1.55,Simple,0.69,SW
57,212.87,390.61,8.13,1.63,Simple,0.68,SE
58,245.2,297.59,8.78,1.76,Simple,0.68,SE
59,160.78,331.84,12.2,2.44,Simple,0.68,SW
60,162.98,296.93,10.0,2.0,Simple,0.68,SW
61,209.32,368.27,8.14,1.63,Simple/Overlapping,0.68,SE
62,135.04,408.04,7.63,1.53,Simple,0.64,SW
63,245.65,406.86,12.19,2.44,Simple,0.63,SE
64,143.59,296.87,8.79,1.76,Simple,0.63,SW
65,231.3,327.04,9.73,1.95,Simple,0.62,SE
66,245.57,341.54,11.49,2.3,Simple/Overlapping,0.62,SE
67,239.38,275.47,7.79,1.56,Simple,0.61,SE
68,148.7,257.64,7.63,1.53,Simple,0.61,SW
69,195.62,325.03,7.47,1.49,Simple,0.6,SW
70,130.6,287.51,8.39,1.68,Simple,0.6,SW
71,231.75,283.47,7.48,1.5,Simple,0.6,SE
72,265.7,285.29,7.41,1.48,Simple,0.59,SE
73,260.31,189.7,7.66,1.53,Simple,0.59,NE
74,167.03,265.93,6.94,1.39,Simple,0.59,SW
75,185.46,381.02,7.83,1.57,Simple/Overlapping,0.57,SW
76,261.22,197.32,7.5,1.5,Simple,0.57,NE
77,137.07,255.93,8.75,1.75,Simple,0.56,SW
78,225.23,399.91,7.35,1.47,Simple,0.55,SE
79,242.64,258.42,6.78,1.36,Simple,0.54,SE
80,189.75,373.66,6.87,1.37,Simple,0.53,SW
81,155.06,262.71,8.89,1.78,Simple,0.53,SW
82,116.71,327.59,7.28,1.46,Simple,0.52,SW
83,234.57,311.14,8.1,1.62,Simple,0.51,SE
84,226.19,357.78,9.61,1.92,Simple,0.51,SE
85,176.49,280.55,9.91,1.98,Simple,0.5,SW
86,115.85,349.87,10.82,2.16,Simple,0.49,SW
87,201.26,331.29,6.96,1.39,Simple,0.48,SW
88,230.61,413.17,7.7,1.54,Degraded,0.48,SE
89,183.09,224.03,10.38,2.08,Simple/Overlapping,0.48,SW
90,132.68,296.56,6.88,1.38,Simple,0.48,SW
91,159.32,249.54,7.5,1.5,Simple,0.48,SW
