ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,299.97,340.05,8.34,1.67,Simple,0.95,SE
2,194.22,34.02,26.58,5.32,Complex,0.95,NW
3,118.95,138.33,60.41,12.08,Complex,0.94,NW
4,50.23,59.06,19.41,3.88,Simple,0.93,NW
5,154.21,276.28,22.05,4.41,Complex,0.93,SW
6,364.57,374.91,17.3,3.46,Simple,0.93,SE
7,50.05,252.14,12.43,2.49,Simple,0.93,SW
8,35.66,320.84,18.91,3.78,Simple,0.93,SW
9,41.23,284.87,15.55,3.11,Simple,0.93,SW
10,150.99,93.11,16.58,3.32,Simple,0.92,NW
11,127.92,204.4,11.26,2.25,Simple,0.92,NW
12,301.11,320.03,18.47,3.69,Simple,0.92,SE
13,216.19,310.63,10.66,2.13,Simple,0.92,SE
14,258.42,170.6,8.82,1.76,Simple,0.91,NE
15,165.88,22.0,21.44,4.29,Complex,0.91,NW
16,321.14,252.69,17.79,3.56,Simple,0.91,SE
17,51.62,215.35,14.05,2.81,Simple,0.91,SW
18,148.69,159.74,25.81,5.16,Complex,0.91,NW
19,51.26,317.17,8.96,1.79,Simple,0.91,SW
20,357.31,323.31,8.55,1.71,Simple,0.9,SE
21,31.14,231.89,10.97,2.19,Simple,0.9,SW
22,124.3,401.98,14.85,2.97,Simple/Overlapping,0.9,SW
23,210.93,147.84,38.45,7.69,Complex,0.9,NE
24,135.88,323.65,13.38,2.68,Simple,0.89,SW
25,393.88,193.51,12.29,2.46,Simple,0.89,NE
26,66.96,108.85,52.15,10.43,Complex/Overlapping,0.89,NW
27,263.18,113.94,13.61,2.72,Simple,0.89,NE
28,376.87,344.22,7.5,1.5,Simple,0.89,SE
29,215.84,379.45,8.69,1.74,Simple,0.89,SE
30,159.81,319.52,9.28,1.86,Simple,0.89,SW
31,34.0,117.16,8.97,1.79,Simple,0.89,NW
32,268.75,40.9,9.18,1.84,Simple,0.88,NE
33,163.68,126.05,13.24,2.65,Simple,0.88,NW
34,144.48,192.26,9.64,1.93,Simple,0.88,NW
35,180.89,193.97,34.24,6.85,Complex,0.88,NW
36,99.91,188.9,10.91,2.18,Simple,0.88,NW
37,405.31,387.31,9.54,1.91,Simple,0.88,SE
38,132.25,37.92,7.83,1.57,Simple,0.88,NW
39,54.03,290.51,7.16,1.43,Simple,0.88,SW
40,14.17,331.11,14.67,2.93,Simple,0.88,SW
41,181.48,136.25,30.12,6.02,Complex,0.88,NW
42,276.68,256.99,28.34,5.67,Complex,0.88,SE
43,233.12,321.05,13.06,2.61,Simple/Overlapping,0.87,SE
44,216.9,255.88,13.46,2.69,Simple,0.87,SE
45,255.0,395.63,8.84,1.77,Simple,0.87,SE
46,154.68,251.43,8.05,1.61,Simple,0.87,SW
47,63.66,331.29,17.42,3.48,Simple,0.87,SW
48,359.86,385.12,11.03,2.21,Simple,0.87,SE
49,149.36,52.97,44.44,8.89,Complex,0.87,NW
50,118.89,185.28,10.43,2.09,Simple,0.87,NW
51,88.16,260.03,13.48,2.7,Simple,0.87,SW
52,284.21,350.23,12.32,2.46,Simple,0.87,SE
53,313.51,225.25,87.81,17.56,Complex,0.87,SE
54,17.21,116.66,7.7,1.54,Simple,0.87,NW
55,128.27,293.89,10.53,2.11,Simple,0.87,SW
56,125.07,170.37,10.7,2.14,Simple,0.86,NW
57,328.16,358.37,30.34,6.07,Complex,0.86,SE
58,316.61,372.14,12.22,2.44,Simple,0.86,SE
59,147.17,319.15,9.6,1.92,Simple,0.86,SW
60,40.23,350.65,13.11,2.62,Simple,0.86,SW
61,154.0,298.55,14.2,2.84,Simple,0.86,SW
62,104.83,325.78,11.67,2.33,Simple,0.85,SW
63,201.61,230.56,20.88,4.18,Complex,0.85,SW
64,334.11,205.89,8.5,1.7,Simple,0.85,NE
65,257.37,234.74,10.55,2.11,Simple,0.85,SE
