ID,X_Center,Y_Center,Diameter,Depth_Est,Morphology,Confidence,Quadrant
1,333.45,74.43,10.88,2.18,Simple,0.93,NE
2,149.03,192.96,27.26,5.45,Complex,0.93,NW
3,346.56,178.9,10.94,2.19,Simple,0.91,NE
4,127.39,156.72,23.72,4.74,Complex,0.91,NW
5,256.26,371.59,24.22,4.84,Complex,0.91,SE
6,324.73,17.91,8.88,1.78,Simple,0.91,NE
7,191.12,47.93,19.09,3.82,Simple,0.9,NW
8,308.09,113.17,10.02,2.0,Simple,0.9,NE
9,239.85,335.78,10.53,2.11,Simple,0.89,SE
10,371.44,89.43,9.3,1.86,Simple,0.89,NE
11,111.37,162.15,11.5,2.3,Simple,0.89,NW
12,196.5,249.39,11.29,2.26,Simple,0.88,SW
13,116.06,96.61,11.12,2.22,Simple,0.88,NW
14,332.48,120.56,11.52,2.3,Simple,0.87,NE
15,108.33,300.18,12.63,2.53,Simple,0.86,SW
16,253.97,123.1,11.05,2.21,Simple,0.86,NE
17,138.78,36.04,9.32,1.86,Simple,0.85,NW
18,156.26,375.19,10.52,2.1,Simple,0.84,SW
19,157.75,245.49,8.52,1.7,Simple,0.84,SW
20,376.43,48.11,12.38,2.48,Simple,0.84,NE
21,25.14,292.86,12.36,2.47,Simple,0.84,SW
22,122.74,230.89,7.46,1.49,Simple,0.83,SW
23,109.36,13.24,9.93,1.99,Simple,0.83,NW
24,215.6,32.52,14.01,2.8,Simple,0.82,NE
25,228.92,83.42,7.49,1.5,Simple,0.82,NE
26,222.6,157.96,7.45,1.49,Simple,0.81,NE
27,199.7,97.33,9.57,1.91,Simple,0.8,NW
28,332.68,235.25,7.42,1.48,Simple,0.79,SE
29,75.25,134.25,11.82,2.36,Simple,0.79,NW
30,256.1,327.72,11.81,2.36,Simple,0.78,SE
31,369.85,399.97,7.34,1.47,Simple,0.78,SE
32,310.44,324.46,8.53,1.71,Simple,0.77,SE
33,101.59,254.84,22.96,4.59,Complex,0.77,SW
34,160.77,171.82,12.97,2.59,Simple,0.76,NW
35,228.79,130.39,7.2,1.44,Simple,0.76,NE
36,135.02,244.39,32.32,6.46,Complex,0.75,SW
37,259.11,351.26,20.38,4.08,Complex,0.75,SE
38,159.9,87.6,6.98,1.4,Simple,0.74,NW
39,166.19,103.84,9.29,1.86,Simple,0.74,NW
40,175.04,396.72,10.0,2.0,Simple,0.73,SW
41,16.41,286.02,7.91,1.58,Simple,0.73,SW
42,267.61,114.4,18.19,3.64,Simple,0.73,NE
43,193.44,190.78,11.44,2.29,Simple/Overlapping,0.72,NW
44,223.88,105.72,10.66,2.13,Simple,0.71,NE
45,392.3,84.18,11.82,2.36,Simple,0.71,NE
46,267.2,394.3,6.24,1.25,Simple,0.7,SE
47,89.13,68.19,7.08,1.42,Simple,0.69,NW
48,308.87,26.49,12.47,2.49,Simple,0.69,NE
49,34.63,272.52,24.7,4.94,Complex,0.69,SW
50,324.01,335.32,6.67,1.33,Simple,0.68,SE
51,190.84,79.86,9.46,1.89,Simple,0.68,NW
52,188.89,389.47,19.06,3.81,Simple,0.67,SW
53,166.29,44.98,7.94,1.59,Simple,0.66,NW
54,356.49,210.54,6.06,1.21,Simple,0.66,SE
